Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
Наименование Избирательной комиссии:    Кореневская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562					
1	"Число избирателей, внесенных в список избирателей"	14904	1621	2197	1609	331	99	189	456	158	908	916	209	473	242	528	87	688	366	661	466	194	354	105	621	165	478	233	550					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15120	1600	2100	1600	350	100	200	460	160	950	930	200	480	260	540	80	680	380	660	480	180	370	100	680	170	540	250	620					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8059	796	1249	895	198	71	128	228	82	566	443	137	275	161	267	59	329	189	333	251	121	206	52	312	91	265	102	253					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1322	95	84	33	58	12	16	68	20	81	85	23	62	41	52	8	60	38	110	44	33	29	21	77	8	36	36	92					
6	Число погашенных избирательных бюллетеней	5739	709	767	672	94	17	56	164	58	303	402	40	143	58	221	13	291	153	217	185	26	135	27	291	71	239	112	275					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1322	95	84	33	58	12	16	68	20	81	85	23	62	41	52	8	60	38	110	44	33	29	21	77	8	36	36	92					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8058	796	1249	894	198	71	128	228	82	566	443	137	275	161	267	59	329	189	333	251	121	206	52	312	91	265	102	253					
9	Число недействительных избирательных бюллетеней	141	11	18	16	1	0	3	3	2	10	7	5	9	5	1	2	3	5	9	4	6	5	1	3	1	3	1	7					
10	Число действительных избирательных бюллетеней	9239	880	1315	911	255	83	141	293	100	637	521	155	328	197	318	65	386	222	434	291	148	230	72	386	98	298	137	338					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	380	10	20	30	15	10	15	20	5	21	15	5	5	7	10	5	10	5	10	12	5	10	5	25	5	50	10	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	301	9	19	26	14	6	9	3	3	21	15	2	3	7	6	5	6	3	6	12	0	10	2	22	0	47	7	38					
