Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Кавказская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  1501	УИК  1502	УИК  1503	УИК  1504	УИК  1505	УИК  1506	УИК  1507	УИК  1508	УИК  1509	УИК  1510	УИК  1511	УИК  1512	УИК  1513	УИК  1514	УИК  1515	УИК  1516	УИК  1517	УИК  1518	УИК  1519	УИК  1520	УИК  1521	УИК  1522	УИК  1523					
1	"Число избирателей, внесенных в списки"	34838	2777	2783	2195	2060	2356	211	378	1703	514	2578	1718	734	1117	246	180	174	272	371	2247	2850	2767	2820	1787					
2	"Число бюллетеней, полученных участковыми комиссиями"	34175	2780	2600	2100	2040	2340	200	390	1710	500	2550	1720	700	1100	240	196	174	265	370	2230	2800	2740	2820	1610					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18705	1269	1412	1151	1074	1350	162	264	1003	306	1579	946	467	752	173	140	108	197	257	1172	1388	1280	1280	975					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1025	103	40	85	48	79	0	0	17	16	48	49	6	46	0	4	0	0	0	182	44	57	65	136					
6	Число погашенных бюллетеней	14445	1408	1148	864	918	911	38	126	690	178	923	725	227	302	67	52	66	68	113	876	1368	1403	1475	499					
7	Число бюллетеней в переносных ящиках для голосования	1025	103	40	85	48	79	0	0	17	16	48	49	6	46	0	4	0	0	0	182	44	57	65	136					
8	Число бюллетеней в стационарных ящиках для голосования	18603	1269	1412	1069	1074	1350	162	264	1003	306	1579	946	467	752	173	140	108	197	257	1171	1388	1261	1280	975					
9	Число недействительных бюллетеней	270	50	12	16	18	7	1	3	15	9	29	22	3	3	5	0	0	4	6	16	18	14	0	19					
10	Число действительных бюллетеней	19358	1322	1440	1138	1104	1422	161	261	1005	313	1598	973	470	795	168	144	108	193	251	1337	1414	1304	1345	1092					
