Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:     Ступинская 																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК  2773	УИК  2774	УИК  2775	УИК  2776	УИК  2777	УИК  2778	УИК  2779	УИК  2780	УИК  2781	УИК  2782	УИК  2783	УИК  2784	УИК  2785	УИК  2786	УИК  2787	УИК  2788	УИК  2789	УИК  2790	УИК  2791	УИК  2792	УИК  2793	УИК  2794	УИК  2795	УИК  2796	УИК  2797	УИК  2798	УИК  2799	УИК  2800	УИК  2801	УИК  2802	УИК  2803	УИК  2804	УИК  2805	УИК  2806	УИК  2807	УИК  2808	УИК  2809	УИК  2810	УИК  2811	УИК  2812	УИК  2813	УИК  2814	УИК  2815	УИК  2816	УИК  2817	УИК  2818	УИК  2819	УИК  2820	УИК  2821	УИК  2822	УИК  2823	УИК  2824	УИК  2825	УИК  2826	УИК  2827					
1	"Число избирателей, внесенных в списки"	91042	1140	1223	1167	1250	1279	2523	2478	2387	2180	2205	2427	2396	2116	1685	1641	1699	2430	2210	2159	1547	1829	1999	1420	385	1985	2429	1288	1590	1925	2219	1179	2221	2058	2467	886	1253	1195	1748	1146	1573	1052	1576	1022	1414	686	2051	359	1780	1356	2549	1108	169	828	1216	2939					
2	"Число бюллетеней, полученных участковыми комиссиями"	90245	1128	1210	1136	1165	1264	2509	2473	2387	2166	2210	2406	2395	2114	1678	1641	1684	2421	2214	2163	1547	1823	1985	1417	362	1987	2422	1279	1588	1924	2188	1168	2210	2042	2476	863	1242	1180	1757	1124	1576	1043	1565	1030	1405	678	1906	349	1783	1348	2516	1067	148	826	1157	2900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43147	488	445	406	664	468	1028	1280	1163	1090	1179	1210	1181	1031	840	862	771	1338	1223	1219	692	948	997	644	258	1015	1232	622	780	878	1130	503	875	959	1094	247	584	438	883	472	624	446	670	400	391	235	949	176	849	505	1230	467	76	449	686	1857					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2774	27	33	76	5	12	24	10	31	34	24	16	7	11	16	16	21	9	24	23	13	24	16	5	43	26	21	15	19	60	52	36	27	19	38	214	82	147	39	83	95	88	58	114	257	144	26	38	103	195	20	110	25	103	0	0					
6	Число погашенных бюллетеней	44315	613	732	654	496	784	1457	1183	1193	1042	1007	1180	1207	1072	822	763	892	1074	958	921	842	851	972	768	61	946	1169	642	789	986	1006	629	1308	1064	1344	402	576	595	835	569	857	509	837	516	757	299	931	135	831	648	1266	490	47	274	471	1043					
7	Число бюллетеней в переносных ящиках для голосования	2774	27	33	76	5	12	24	10	31	34	24	16	7	11	16	16	21	9	24	23	13	24	16	5	43	26	21	15	19	60	52	36	27	19	38	214	82	147	39	83	95	88	58	114	257	144	26	38	103	195	20	110	25	103	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	43075	488	445	406	664	467	1028	1280	1163	1090	1179	1210	1177	1029	840	862	771	1338	1214	1208	692	948	997	643	258	1015	1232	622	778	878	1130	503	875	959	1092	247	584	438	844	472	624	446	670	400	391	235	949	176	849	505	1229	467	76	449	686	1857					
9	Число недействительных бюллетеней	921	16	13	9	5	7	30	7	16	14	27	10	8	15	13	17	16	38	12	44	25	22	7	9	1	17	22	11	4	20	28	14	20	8	22	25	23	9	5	24	41	22	18	18	17	11	36	4	8	22	23	17	9	14	9	19					
10	Число действительных бюллетеней	44928	499	465	473	664	472	1022	1283	1178	1110	1176	1216	1176	1025	843	861	776	1309	1226	1187	680	950	1006	639	300	1024	1231	626	793	918	1154	525	882	970	1108	436	643	576	878	531	678	512	710	496	631	368	939	210	944	678	1226	560	92	538	677	1838					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2259	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	45					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	442	3	1	2	25	1	6	4	9	8	16	9	12	10	7	7	7	7	12	9	6	6	8	2	0	10	10	0	7	18	12	4	5	14	17	5	0	7	9	4	6	6	2	6	1	4	11	2	23	12	1	3	0	9	12	45					
