Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Борисоглебская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
1	"Число избирателей, внесенных в списки"	64902	1796	2570	2497	1209	1692	2690	962	1187	2476	1213	1362	1957	935	2241	1120	2262	2327	554	1744	1265	1350	1580	599	1447	1676	2464	2181	1581	1358	601	1139	1569	1169	1403	1107	442	206	453	1038	602	519	936	1069	1062	398	400	335	649	465	1045					
2	"Число бюллетеней, полученных участковыми комиссиями"	61950	1650	2440	2430	1120	1600	2630	930	1170	2310	1120	1160	1730	860	1710	1090	2210	2200	520	1660	1150	1260	1430	1100	1370	1590	2240	2200	1500	1270	580	1090	1510	1150	1340	1060	420	200	440	1040	600	520	940	1080	1050	380	400	330	650	490	1030					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32774	921	1322	934	542	753	1438	600	637	1219	600	726	890	480	1189	616	1344	1244	298	802	653	742	746	568	693	826	1049	1035	555	646	172	570	738	639	731	500	258	76	274	429	295	344	622	545	520	220	241	210	418	185	719					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2625	62	45	138	71	55	50	17	22	43	44	35	126	16	27	30	22	18	23	18	40	59	37	31	40	20	54	60	65	14	162	14	68	21	19	139	23	53	45	80	69	49	46	50	147	58	80	27	38	123	32					
6	Число погашенных бюллетеней	26551	667	1073	1358	507	792	1142	313	511	1048	476	399	714	364	494	444	844	938	199	840	457	459	647	501	637	744	1137	1105	880	610	246	506	704	490	590	421	139	71	121	531	236	127	272	485	383	102	79	93	194	182	279					
7	Число бюллетеней в переносных ящиках для голосования	2623	62	45	138	71	55	50	17	22	43	44	35	126	16	27	30	22	18	23	18	40	59	37	31	40	20	54	58	65	14	162	14	68	21	19	139	23	53	45	80	69	49	46	50	147	58	80	27	38	123	32					
8	Число бюллетеней в стационарных ящиках для голосования	32753	921	1321	934	542	753	1436	600	637	1219	600	726	890	480	1189	616	1341	1244	298	796	653	742	746	568	693	826	1049	1029	555	646	172	570	737	639	731	500	258	76	274	429	295	344	622	545	518	220	241	210	418	185	719					
9	Число недействительных бюллетеней	535	26	22	9	7	13	19	32	12	13	19	6	18	10	8	9	11	10	9	14	9	17	15	7	9	20	11	17	13	9	22	11	10	9	4	11	0	0	2	12	7	0	14	6	9	2	8	1	4	6	3					
10	Число действительных бюллетеней	34841	957	1344	1063	606	795	1467	585	647	1249	625	755	998	486	1208	637	1352	1252	312	800	684	784	768	592	724	826	1092	1070	607	651	312	573	795	651	746	628	281	129	317	497	357	393	654	589	656	276	313	236	452	302	748					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	307	6	6	6	6	6	12	6	6	6	6	16	6	6	6	6	6	11	6	6	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	129	0	6	1	2	1	9	1	1	5	2	16	4	5	1	5	6	11	1	3	1	8	3	3	3	0	3	3	2	0	0	0	2	3	3	0	0	0	1	0	2	1	2	2	0	0	2	0	2	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	1	3	2	1	2	4	4	2	2	0	2	3	1	4	2	2	3	0	0	15	1	7	3	0	1	2	1	0	0	0	0	0	0	1	3	0	1	1	1	0	4	1	1	1	2	1	0	1	1	2					
14	Число погашенных открепительных удостоверений	178	6	0	5	4	5	3	5	5	1	4	0	2	1	5	1	0	0	5	3	5	0	3	3	3	6	3	3	4	6	6	6	4	3	3	5	5	5	4	5	3	4	3	3	5	5	3	5	3	3	4					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	288	8	9	10	8	5	11	4	6	6	8	5	3	3	3	2	14	7	4	9	2	3	6	1	5	6	11	11	7	9	5	3	9	4	3	4	2	2	7	6	2	8	6	1	5	3	1	3	8	12	8					
		0.81%	0.81%	0.65%	0.93%	1.30%	0.61%	0.74%	0.64%	0.91%	0.47%	1.24%	0.65%	0.29%	0.60%	0.24%	0.30%	1.02%	0.55%	1.24%	1.10%	0.28%	0.37%	0.76%	0.16%	0.68%	0.70%	0.99%	1.01%	1.12%	1.36%	1.49%	0.51%	1.11%	0.60%	0.4%	0.62%	0.71%	1.55%	2.19%	1.17%	0.54%	2.03%	0.89%	0.16%	0.75%	1.07%	0.31%	1.26%	1.75%	3.89%	1.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	357	3	13	5	6	8	15	9	18	15	6	16	9	11	21	8	26	13	4	4	9	8	7	11	7	5	15	4	1	5	3	8	5	5	8	4	0	0	6	6	4	4	3	3	9	1	3	1	0	0	2					
		1.00%	0.30%	0.95%	0.46%	0.97%	0.99%	1.00%	1.45%	2.73%	1.18%	0.93%	2.10%	0.88%	2.21%	1.72%	1.23%	1.90%	1.03%	1.24%	0.49%	1.29%	0.99%	0.89%	1.83%	0.95%	0.59%	1.35%	0.36%	0.16%	0.75%	0.89%	1.36%	0.62%	0.75%	1.06%	0.62%	0.0%	0.0%	1.88%	1.17%	1.09%	1.01%	0.44%	0.50%	1.35%	0.35%	0.93%	0.42%	0.0%	0.0%	0.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	512	19	23	12	5	4	29	14	11	17	11	8	14	4	15	19	13	22	9	7	7	13	10	6	9	21	9	22	5	11	9	17	10	3	12	10	8	0	6	4	5	8	7	6	12	3	3	2	7	7	4					
		1.44%	1.93%	1.68%	1.11%	0.81%	0.49%	1.95%	2.26%	1.66%	1.34%	1.70%	1.05%	1.37%	0.80%	1.23%	2.94%	0.95%	1.74%	2.80%	0.85%	1.01%	1.62%	1.27%	1.00%	1.22%	2.48%	0.81%	2.02%	0.80%	1.66%	2.69%	2.91%	1.24%	0.45%	1.6%	1.56%	2.84%	0.0%	1.88%	0.78%	1.37%	2.03%	1.04%	1.00%	1.80%	1.07%	0.93%	0.84%	1.53%	2.27%	0.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	575	16	12	17	6	10	37	20	17	21	12	12	23	12	14	16	17	28	10	15	19	17	18	6	7	14	27	18	8	14	4	7	10	15	14	14	3	1	7	2	2	1	5	2	8	2	1	2	1	7	4					
		1.62%	1.62%	0.87%	1.58%	0.97%	1.23%	2.48%	3.24%	2.57%	1.66%	1.86%	1.57%	2.26%	2.41%	1.15%	2.47%	1.24%	2.21%	3.11%	1.84%	2.74%	2.12%	2.29%	1.00%	0.95%	1.65%	2.44%	1.65%	1.29%	2.12%	1.19%	1.19%	1.24%	2.27%	1.86%	2.19%	1.06%	0.77%	2.19%	0.39%	0.54%	0.25%	0.74%	0.33%	1.20%	0.71%	0.31%	0.84%	0.21%	2.27%	0.53%					
22	"5. ""За Русь Святую"""	172	4	9	5	2	1	2	1	3	3	5	5	4	2	8	3	4	7	0	5	2	2	6	2	3	10	4	6	0	5	7	4	0	0	2	5	2	3	2	2	5	0	3	5	5	1	0	0	5	5	3					
