Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Петрозаводская городская №1																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	111497	1265	1431	2760	2609	1491	2177	1870	1742	2365	1846	2890	2939	2476	2173	2065	2246	1552	1469	1873	1755	1921	1736	1680	1705	2137	2522	1563	1505	1414	1695	1315	1487	2757	1762	1899	2047	2346	1751	1651	1744	2237	1763	1408	2262	2152	1324	2144	1968	1666	1561	1313	1408	1551	1395	1674	1818	1397	1486	1459	1880									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	104400	1200	1300	2500	2400	1400	2000	1700	1600	2100	1600	2700	2700	2300	2000	1900	2000	1500	1400	1800	1700	1800	1700	1600	1700	2000	2300	1500	1500	1400	1600	1300	1500	2500	1700	1700	1800	2200	1600	1500	1600	2100	1700	1300	2100	2000	1300	2000	1900	1600	1500	1100	1300	1500	1400	1600	1800	1300	1400	1400	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	46075	518	713	1371	936	550	844	574	714	782	583	994	1354	1084	967	975	877	658	694	856	691	785	676	768	752	902	1093	693	644	609	778	554	640	1252	821	818	903	1137	616	548	461	891	714	602	937	958	497	849	878	668	583	429	564	631	573	721	815	588	611	577	804									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	520	16	20	14	8	7	8	4	7	7	6	17	4	6	9	3	14	8	5	4	5	3	1	11	2	3	6	5	5	3	1	5	8	2	3	39	56	10	5	9	5	6	12	5	2	5	6	9	13	16	12	8	9	0	5	8	8	7	11	13	11									
6	Число погашенных избирательных бюллетеней	57804	666	567	1115	1456	843	1148	1122	879	1311	1011	1689	1342	1210	1024	922	1109	834	701	940	1004	1012	1023	821	946	1095	1201	802	851	788	821	741	852	1246	876	843	841	1053	979	943	1134	1203	974	693	1160	1037	797	1142	1009	916	905	663	727	869	822	871	977	705	778	810	985									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	520	16	20	14	8	7	8	4	7	7	6	17	4	6	9	3	14	8	5	4	5	3	1	11	2	3	6	5	5	3	1	5	8	2	3	39	56	10	5	9	5	6	12	5	2	5	6	9	13	16	12	8	9	0	5	8	8	7	11	13	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45970	518	710	1368	936	550	844	571	712	782	583	993	1341	1084	965	971	872	655	692	856	691	783	673	766	752	901	1092	692	644	608	778	552	639	1249	806	818	899	1136	616	546	460	891	713	599	933	958	496	848	874	666	582	429	564	631	571	721	815	588	611	573	803									
9	Число недействительных избирательных бюллетеней	1498	31	26	53	33	26	44	15	24	15	33	39	23	42	23	29	21	27	20	31	28	20	20	20	23	35	27	17	13	7	40	23	21	32	25	44	46	21	23	27	13	20	21	27	38	29	14	21	26	14	14	15	23	21	15	20	36	22	17	12	13									
10	Число действительных избирательных бюллетеней	44992	503	704	1329	911	531	808	560	695	774	556	971	1322	1048	951	945	865	636	677	829	668	766	654	757	731	869	1071	680	636	604	739	534	626	1219	784	813	909	1125	598	528	452	877	704	577	897	934	488	836	861	668	580	422	550	610	561	709	787	573	605	574	801									
