Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
"Наименование Избирательной комиссии:    Кемерово, Заводская"																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235					
1	"Число избирателей, внесенных в списки"	96239	371	1848	1385	1719	1667	2339	2200	2883	2486	2505	2090	2787	2688	1827	1736	2402	2631	1968	1838	2426	2467	2272	2546	2442	2696	2377	2128	2166	2496	2621	2847	2518	391	913	72	1535	829	2099	2467	1077	2593	2159	1968	1011	1295	1673	1548	2031	1206					
2	"Число бюллетеней, полученных участковыми комиссиями"	91385	375	1800	1300	1800	1600	2300	2100	2700	2000	2200	2000	2600	2600	1600	1600	2300	2400	1800	1800	2400	2300	2100	2400	2300	2600	2200	2100	2100	2300	2500	3000	2400	380	1000	80	1500	750	2000	2200	1100	2500	2000	1800	1000	1300	1600	1500	2000	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45990	371	652	553	700	813	1053	1127	1327	1280	1198	1025	1431	1241	1007	913	1307	1429	1076	988	1099	1050	1030	1204	840	1045	1295	1195	1182	1312	1369	1681	1300	201	913	51	1111	292	817	1215	482	813	655	635	398	514	645	619	1079	457					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2775	0	76	15	31	25	11	11	50	34	15	49	29	38	49	53	84	53	24	21	82	105	63	40	75	112	25	32	38	16	44	24	30	10	0	21	15	62	76	53	44	134	301	90	147	107	137	64	23	137					
6	Число погашенных бюллетеней	42620	4	1072	732	1069	762	1236	962	1323	686	987	926	1140	1321	544	634	909	918	700	791	1219	1145	1007	1156	1385	1443	880	873	880	972	1087	1295	1070	169	87	8	374	396	1107	932	574	1553	1044	1075	455	679	818	817	898	506					
7	Число бюллетеней в переносных ящиках для голосования	2775	0	76	15	31	25	11	11	50	34	15	49	29	38	49	53	84	53	24	21	82	105	63	40	75	112	25	32	38	16	44	24	30	10	0	21	15	62	76	53	44	134	301	90	147	107	137	64	23	137					
8	Число бюллетеней в стационарных ящиках для голосования	45839	371	652	553	639	820	1048	1127	1324	1280	1198	1025	1431	1241	1007	910	1307	1405	1076	988	1099	1050	1030	1204	840	1038	1295	1194	1182	1305	1369	1673	1296	201	913	51	1111	292	806	1215	480	813	647	629	398	513	644	616	1076	457					
9	Число недействительных бюллетеней	772	14	16	15	22	15	11	26	11	30	13	25	55	12	15	8	36	23	4	10	33	16	13	12	12	32	20	0	8	11	6	7	11	11	32	1	5	4	30	21	20	20	0	9	2	13	11	16	7	28					
10	Число действительных бюллетеней	47842	357	712	553	648	830	1048	1112	1363	1284	1200	1049	1405	1267	1041	955	1355	1435	1096	999	1148	1139	1080	1232	903	1118	1300	1226	1212	1310	1407	1690	1315	200	881	71	1121	350	852	1247	504	927	948	710	543	607	770	664	1092	566					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	793	0	10	8	10	9	14	13	30	25	25	12	15	25	10	20	29	15	31	44	14	14	23	24	14	15	23	12	12	14	35	18	24	2	0	0	70	5	12	13	7	15	12	11	16	7	9	9	11	7					
