Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    район Кунцево																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180					
1	"Число избирателей, внесенных в список"	91709	2161	1947	2638	1396	1874	2669	2643	2668	2606	2381	2533	2757	2560	1888	2784	2273	2269	2441	2693	2466	1229	2395	2322	2658	2031	2072	2780	2571	2298	2567	2006	2679	2547	2070	2836	2690	2301	2793	627	81	254	168	87					
2	Число полученных избирательных бюллетеней	87100	2000	1800	2500	1200	1700	2500	2500	2500	2500	2300	2300	2600	2400	1700	2600	2100	2100	2300	2500	2300	1100	2200	2100	2500	2000	2000	2600	2400	2200	2300	2000	2400	2400	2000	2600	2400	2200	2500	1200	500	500	300	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	53754	1782	1314	1508	697	1240	1339	1375	1467	1698	1349	1403	1635	1505	1230	1540	1218	1270	1325	1534	1435	994	1311	1407	1550	1222	1250	1519	1500	1096	1903	1137	1434	1305	1238	1530	1528	1371	1385	627	75	253	168	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	1415	67	120	53	71	62	51	26	30	45	45	21	48	47	50	57	30	31	34	12	22	30	43	45	18	26	34	14	18	25	30	26	18	48	19	29	27	25	18	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	31931	151	366	939	432	398	1110	1099	1003	757	906	876	917	848	420	1003	852	799	941	954	843	76	846	648	932	752	716	1067	882	1079	367	837	948	1047	743	1041	845	804	1097	573	425	247	132	213					
7	Число избирательных бюллетеней в переносных ящиках	1415	67	120	53	71	62	51	26	30	45	45	21	48	47	50	57	30	31	34	12	22	30	43	45	18	26	34	14	18	25	30	26	18	48	19	29	27	25	18	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	53536	1782	1290	1508	697	1233	1339	1375	1467	1650	1349	1403	1635	1495	1223	1538	1218	1266	1325	1534	1434	994	1311	1407	1496	1222	1250	1514	1500	1096	1903	1135	1434	1257	1238	1525	1528	1371	1385	627	75	252	168	87					
9	Число недействительных избирательных бюллетеней	2131	11	31	13	0	55	7	12	14	5	7	6	11	11	208	12	11	107	10	6	169	370	23	11	13	106	0	5	7	13	14	51	123	8	229	9	221	207	12	1	0	2	0	0					
10	Число действительных избирательных бюллетеней	52820	1838	1379	1548	768	1240	1383	1389	1483	1690	1387	1418	1672	1531	1065	1583	1237	1190	1349	1540	1287	654	1331	1441	1501	1142	1284	1523	1511	1108	1919	1110	1329	1297	1028	1545	1334	1189	1391	626	75	250	168	87					
11	Число полученных открепительных  удостоверений	1900	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1136	35	27	39	16	27	31	29	29	22	31	32	43	49	26	25	30	30	39	37	16	15	20	32	29	24	21	34	38	37	47	25	22	40	20	27	41	33	18	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	872	19	22	30	20	24	23	16	10	42	9	16	21	34	22	23	21	16	18	18	12	9	11	21	10	17	6	20	13	17	23	17	22	34	15	21	21	11	17	114	5	16	0	16					
14	Число неиспользованных открепительных удостоверений	764	15	23	11	34	23	19	21	21	28	19	18	7	1	24	25	20	20	11	13	34	35	30	18	21	26	29	16	12	13	3	25	28	10	30	23	9	17	32	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	3723	87	77	114	50	74	85	126	82	96	110	133	158	115	70	139	76	96	98	134	79	43	103	129	67	70	77	144	112	73	87	79	103	100	103	117	77	70	84	49	4	8	16	9					
		6.78%	4.71%	5.46%	7.30%	6.51%	5.71%	6.12%	8.99%	5.48%	5.66%	7.89%	9.34%	9.39%	7.46%	5.50%	8.71%	6.09%	7.40%	7.21%	8.67%	5.43%	4.20%	7.61%	8.88%	4.43%	5.61%	6.00%	9.42%	7.38%	6.51%	4.50%	6.80%	7.09%	7.66%	8.19%	7.53%	4.95%	5.01%	5.99%	7.81%	5.33%	3.17%	9.52%	10.34%					
19	. Малышкин Олег Александрович	621	18	8	19	19	15	22	24	26	9	21	15	18	10	11	31	9	16	18	8	17	4	11	9	23	18	25	16	7	14	18	7	19	21	10	22	16	15	22	2	2	2	2	2					
		1.13%	0.97%	0.57%	1.22%	2.47%	1.16%	1.58%	1.71%	1.74%	0.53%	1.51%	1.05%	1.07%	0.65%	0.86%	1.94%	0.72%	1.23%	1.32%	0.52%	1.17%	0.39%	0.81%	0.62%	1.52%	1.44%	1.95%	1.05%	0.46%	1.25%	0.93%	0.60%	1.31%	1.61%	0.80%	1.42%	1.03%	1.07%	1.57%	0.32%	2.67%	0.79%	1.19%	2.30%					
20	. Миронов Сергей Михайлович	346	8	4	9	8	6	6	4	8	11	7	15	10	16	4	43	6	10	10	8	7	5	3	6	6	1	5	13	10	1	41	6	5	5	4	8	3	6	10	4	0	1	3	0					
		0.63%	0.43%	0.28%	0.58%	1.04%	0.46%	0.43%	0.29%	0.53%	0.65%	0.50%	1.05%	0.59%	1.04%	0.31%	2.70%	0.48%	0.77%	0.74%	0.52%	0.48%	0.49%	0.22%	0.41%	0.40%	0.08%	0.39%	0.85%	0.66%	0.09%	2.12%	0.52%	0.34%	0.38%	0.32%	0.51%	0.19%	0.43%	0.71%	0.64%	0.00%	0.40%	1.79%	0.00%					
21	. Путин Владимир Владимирович	35868	1405	1061	1009	518	906	979	968	1035	1170	937	916	1082	919	717	1001	870	796	882	980	917	473	682	881	1074	818	927	926	965	778	1501	754	950	896	623	1019	933	836	985	385	50	174	105	65					
		65.27%	75.99%	75.25%	64.64%	67.45%	69.96%	70.43%	69.09%	69.14%	69.03%	67.22%	64.33%	64.29%	59.60%	56.32%	62.76%	69.71%	61.37%	64.90%	63.39%	62.98%	46.19%	50.37%	60.67%	70.94%	65.54%	72.20%	60.60%	63.57%	69.40%	77.65%	64.94%	65.43%	68.66%	49.56%	65.57%	60.00%	59.89%	70.21%	61.40%	66.67%	69.05%	62.50%	74.71%					
22	. Хакамада Ирина Муцуовна	4361	147	83	142	52	89	82	79	103	189	104	143	131	222	108	154	128	124	125	144	99	51	169	151	96	72	68	117	109	84	108	83	78	104	116	125	103	87	101	40	3	25	19	4					
		7.94%	7.95%	5.89%	9.10%	6.77%	6.87%	5.90%	5.64%	6.88%	11.15%	7.46%	10.04%	7.78%	14.40%	8.48%	9.66%	10.26%	9.56%	9.20%	9.31%	6.80%	4.98%	12.48%	10.40%	6.34%	5.77%	5.30%	7.66%	7.18%	7.49%	5.59%	7.15%	5.37%	7.97%	9.23%	8.04%	6.62%	6.23%	7.20%	6.38%	4.00%	9.92%	11.31%	4.60%					
23	. Харитонов Николай Михайлович	4411	113	68	151	75	84	121	119	132	97	123	93	168	152	85	127	79	74	126	131	89	48	240	187	128	82	95	168	156	74	70	103	103	97	94	120	99	89	105	108	10	10	12	6					
		8.03%	6.11%	4.82%	9.67%	9.77%	6.49%	8.71%	8.49%	8.82%	5.72%	8.82%	6.53%	9.98%	9.86%	6.68%	7.96%	6.33%	5.71%	9.27%	8.47%	6.11%	4.69%	17.73%	12.88%	8.45%	6.57%	7.40%	10.99%	10.28%	6.60%	3.62%	8.87%	7.09%	7.43%	7.48%	7.72%	6.37%	6.38%	7.48%	17.22%	13.33%	3.97%	7.14%	6.90%					
																																																		
24	Против всех	3490	60	78	104	46	66	88	69	97	118	85	103	105	97	70	88	69	74	90	135	79	30	123	78	107	81	87	139	152	84	94	78	71	74	78	134	103	86	84	38	6	30	11	1					
		6.35%	3.24%	5.53%	6.66%	5.99%	5.10%	6.33%	4.93%	6.48%	6.96%	6.10%	7.23%	6.24%	6.29%	5.50%	5.52%	5.53%	5.71%	6.62%	8.73%	5.43%	2.93%	9.08%	5.37%	7.07%	6.49%	6.78%	9.10%	10.01%	7.49%	4.86%	6.72%	4.89%	5.67%	6.21%	8.62%	6.62%	6.16%	5.99%	6.06%	8.00%	11.90%	6.55%	1.15%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
