Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Волховская																																								
																																								
Сводная таблица итогов голосования  по федеральному округу																																								
																																								
		Сумма	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109					
1	"Число избирателей, внесенных в списки"	31037	1717	1555	562	1407	1463	1435	1600	1301	80	488	586	2115	921	555	1984	988	207	108	968	773	155	510	243	558	1243	645	1284	194	1401	1094	1096	1536	265					
2	"Число бюллетеней, полученных участковыми комиссиями"	31556	1720	1590	580	1450	1480	1400	1630	1300	102	500	570	2100	930	600	2200	1000	200	113	970	780	154	510	230	600	1270	660	1200	177	1440	1100	1200	1540	260					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13784	712	745	198	686	714	618	722	578	65	213	218	825	345	265	862	341	118	65	401	424	128	258	79	309	681	364	595	86	384	419	444	692	230					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1844	23	11	27	47	11	18	17	16	0	22	2	78	133	42	144	60	9	0	160	51	0	65	72	78	68	32	75	35	276	83	180	9	0					
6	Число погашенных бюллетеней	15928	985	834	355	717	755	764	891	706	37	265	350	1197	452	293	1194	599	73	48	409	305	26	187	79	213	521	264	530	56	780	598	576	839	30					
7	Число бюллетеней в переносных ящиках для голосования	1844	23	11	27	47	11	18	17	16	0	22	2	78	133	42	144	60	9	0	160	51	0	65	72	78	68	32	75	35	276	83	180	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	13784	712	745	198	686	714	618	722	578	65	213	218	825	345	265	862	341	118	65	401	424	128	258	79	309	681	364	595	86	384	419	444	692	230					
9	Число недействительных бюллетеней	227	8	9	3	7	7	16	3	7	0	3	1	10	1	8	18	8	4	1	5	11	0	6	1	2	3	5	16	3	6	14	8	9	24					
10	Число действительных бюллетеней	15401	727	747	222	726	718	620	736	587	65	232	219	893	477	299	988	393	123	64	556	464	128	317	150	385	746	391	654	118	654	488	616	692	206					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	433	15	20	10	20	20	10	10	10	0	10	10	18	5	10	35	15	15	15	20	15	5	15	10	10	15	5	15	10	15	15	15	20	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	109	8	7	2	7	7	8	2	6	0	2	0	3	0	2	4	1	0	0	4	9	0	6	2	9	1	0	6	1	1	4	3	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	109	2	7	3	3	3	2	6	5	1	2	6	3	0	1	12	3	3	0	1	2	1	2	3	3	13	1	1	10	4	1	4	1	0					
14	Число погашенных открепительных удостоверений	324	7	13	8	13	13	2	8	4	0	8	10	15	5	8	31	14	15	15	16	6	5	9	8	1	14	5	9	9	14	11	12	16	0					
15	Число открепительных удостоверений выданных ТИК	42	5	0	0	3	2	3	3	5	0	0	2	1	2	0	3	3	0	0	0	1	0	3	0	0	1	0	1	1	0	0	1	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	238	8	3	2	9	12	6	5	6	2	6	2	19	8	6	7	5	0	3	11	9	2	7	3	10	18	12	13	1	4	8	10	16	5					
		1.52%	1.08%	0.39%	0.88%	1.22%	1.65%	0.94%	0.67%	1.01%	3.07%	2.55%	0.90%	2.10%	1.67%	1.95%	0.69%	1.24%	0.0%	4.61%	1.96%	1.89%	1.56%	2.16%	1.98%	2.58%	2.40%	3.03%	1.94%	0.82%	0.60%	1.59%	1.60%	2.28%	2.17%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	296	13	22	4	16	15	18	9	13	1	6	4	18	17	5	19	4	1	0	7	7	0	3	2	5	10	6	14	1	11	6	18	19	2					
		1.89%	1.76%	2.91%	1.77%	2.18%	2.06%	2.83%	1.21%	2.18%	1.53%	2.55%	1.81%	1.99%	3.55%	1.62%	1.88%	0.99%	0.78%	0.0%	1.24%	1.47%	0.0%	0.92%	1.32%	1.29%	1.33%	1.51%	2.08%	0.82%	1.66%	1.19%	2.88%	2.71%	0.86%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	469	45	22	12	19	17	22	19	20	2	8	4	17	17	8	30	11	3	4	10	12	4	20	7	18	21	8	12	5	12	13	28	15	4					
		3.00%	6.12%	2.91%	5.33%	2.59%	2.34%	3.45%	2.57%	3.36%	3.07%	3.40%	1.81%	1.88%	3.55%	2.60%	2.98%	2.74%	2.36%	6.15%	1.78%	2.52%	3.12%	6.19%	4.63%	4.65%	2.80%	2.02%	1.79%	4.13%	1.81%	2.58%	4.48%	2.13%	1.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	349	21	33	7	20	26	23	34	18	0	4	2	12	7	2	22	5	1	0	5	7	1	3	0	5	9	11	6	3	13	5	7	30	7					
		2.23%	2.85%	4.36%	3.11%	2.72%	3.58%	3.61%	4.60%	3.03%	0.0%	1.70%	0.90%	1.32%	1.46%	0.65%	2.18%	1.24%	0.78%	0.0%	0.89%	1.47%	0.78%	0.92%	0.0%	1.29%	1.20%	2.77%	0.89%	2.47%	1.96%	0.99%	1.12%	4.27%	3.04%					
22	"5. ""За Русь Святую"""	101	4	7	3	3	5	3	3	3	1	2	0	5	1	4	7	4	0	0	3	5	0	2	1	3	3	3	2	3	5	3	4	4	5					
		0.64%	0.54%	0.92%	1.33%	0.40%	0.68%	0.47%	0.40%	0.50%	1.53%	0.85%	0.0%	0.55%	0.20%	1.30%	0.69%	0.99%	0.0%	0.0%	0.53%	1.05%	0.0%	0.61%	0.66%	0.77%	0.40%	0.75%	0.29%	2.47%	0.75%	0.59%	0.64%	0.57%	2.17%					
23	"6. ""Объединенная Российская партия ""Русь"""	52	4	2	0	2	1	4	0	3	0	0	0	0	0	1	2	0	0	1	3	6	1	2	1	0	2	1	2	2	1	1	1	2	7					
		0.33%	0.54%	0.26%	0.0%	0.27%	0.13%	0.62%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.19%	0.0%	0.0%	1.53%	0.53%	1.26%	0.78%	0.61%	0.66%	0.0%	0.26%	0.25%	0.29%	1.65%	0.15%	0.19%	0.16%	0.28%	3.04%					
24	"7. ""Новый курс - Автомобильная Россия"""	111	4	6	2	7	7	3	7	9	1	0	3	8	0	3	8	0	4	0	3	4	0	0	0	0	4	2	4	0	2	6	2	9	3					
		0.71%	0.54%	0.79%	0.88%	0.95%	0.96%	0.47%	0.94%	1.51%	1.53%	0.0%	1.36%	0.88%	0.0%	0.97%	0.79%	0.0%	3.14%	0.0%	0.53%	0.84%	0.0%	0.0%	0.0%	0.0%	0.53%	0.50%	0.59%	0.0%	0.30%	1.19%	0.32%	1.28%	1.30%					
25	"8. ""Народно-республиканская партия России"""	32	1	3	0	1	0	2	1	0	1	0	0	1	1	2	2	2	0	1	0	0	1	0	0	3	2	0	1	0	1	1	3	0	2					
		0.20%	0.13%	0.39%	0.0%	0.13%	0.0%	0.31%	0.13%	0.0%	1.53%	0.0%	0.0%	0.11%	0.20%	0.65%	0.19%	0.49%	0.0%	1.53%	0.0%	0.0%	0.78%	0.0%	0.0%	0.77%	0.26%	0.0%	0.14%	0.0%	0.15%	0.19%	0.48%	0.0%	0.86%					
26	"9. ""Российская экологическая партия ""Зеленые"""	63	1	6	0	1	4	4	2	6	0	2	1	1	3	0	6	3	1	1	1	0	0	0	0	3	1	3	6	0	3	2	0	1	1					
		0.40%	0.13%	0.79%	0.0%	0.13%	0.55%	0.62%	0.27%	1.01%	0.0%	0.85%	0.45%	0.11%	0.62%	0.0%	0.59%	0.74%	0.78%	1.53%	0.17%	0.0%	0.0%	0.0%	0.0%	0.77%	0.13%	0.75%	0.89%	0.0%	0.45%	0.39%	0.0%	0.14%	0.43%					
27	"10. ""Аграрная партия России"""	760	32	12	1	21	13	17	17	12	1	5	16	64	44	4	37	18	3	8	38	13	7	14	11	18	45	20	61	6	59	68	48	17	10					
		4.86%	4.35%	1.58%	0.44%	2.86%	1.79%	2.67%	2.30%	2.02%	1.53%	2.12%	7.27%	7.08%	9.20%	1.30%	3.67%	4.48%	2.36%	12.30%	6.77%	2.73%	5.46%	4.33%	7.28%	4.65%	6.00%	5.05%	9.10%	4.95%	8.93%	13.54%	7.69%	2.42%	4.34%					
28	"11. ""Истинные патриоты России"""	16	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	3					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.13%	0.0%	0.0%	0.42%	0.45%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	1.53%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.13%	0.25%	0.14%	0.0%	0.0%	0.19%	0.0%	0.14%	1.30%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	254	15	20	8	15	17	10	19	12	0	3	1	8	2	4	19	5	0	1	6	8	0	7	4	3	11	5	13	3	8	8	7	10	2					
		1.62%	2.04%	2.64%	3.55%	2.04%	2.34%	1.57%	2.57%	2.02%	0.0%	1.27%	0.45%	0.88%	0.41%	1.30%	1.88%	1.24%	0.0%	1.53%	1.06%	1.68%	0.0%	2.16%	2.64%	0.77%	1.46%	1.26%	1.94%	2.47%	1.21%	1.59%	1.12%	1.42%	0.86%					
30	"13. ""Демократическая партия России"""	38	4	3	1	2	3	0	0	2	0	0	1	3	0	0	0	2	1	1	0	3	0	0	0	0	2	2	0	1	2	1	0	3	1					
		0.24%	0.54%	0.39%	0.44%	0.27%	0.41%	0.0%	0.0%	0.33%	0.0%	0.0%	0.45%	0.33%	0.0%	0.0%	0.0%	0.49%	0.78%	1.53%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.26%	0.50%	0.0%	0.82%	0.30%	0.19%	0.0%	0.42%	0.43%					
31	"14. ""Великая Россия - Евразийский Союз"""	34	3	0	0	2	0	2	2	1	0	0	1	2	0	1	0	5	1	0	3	0	1	0	0	0	0	0	3	1	0	2	0	1	3					
		0.21%	0.40%	0.0%	0.0%	0.27%	0.0%	0.31%	0.27%	0.16%	0.0%	0.0%	0.45%	0.22%	0.0%	0.32%	0.0%	1.24%	0.78%	0.0%	0.53%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.82%	0.0%	0.39%	0.0%	0.14%	1.30%					
32	"15. ""Партия СЛОН"""	13	0	0	0	0	0	2	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.20%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.82%	0.15%	0.0%	0.0%	0.0%	0.86%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1099	70	61	13	85	67	44	69	47	8	19	17	36	26	11	67	30	3	2	35	39	10	18	5	19	51	30	31	6	39	19	42	64	16					
		7.03%	9.52%	8.06%	5.77%	11.59%	9.24%	6.91%	9.33%	7.91%	12.30%	8.08%	7.72%	3.98%	5.43%	3.58%	6.66%	7.48%	2.36%	3.07%	6.23%	8.21%	7.81%	5.57%	3.31%	4.90%	6.80%	7.57%	4.62%	4.95%	5.90%	3.78%	6.73%	9.12%	6.95%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	63	4	3	1	4	3	1	2	0	1	0	4	2	1	0	1	1	3	0	2	3	0	1	0	2	1	5	2	1	6	1	2	2	4					
		0.40%	0.54%	0.39%	0.44%	0.54%	0.41%	0.15%	0.27%	0.0%	1.53%	0.0%	1.81%	0.22%	0.20%	0.0%	0.09%	0.24%	2.36%	0.0%	0.35%	0.63%	0.0%	0.30%	0.0%	0.51%	0.13%	1.26%	0.29%	0.82%	0.90%	0.19%	0.32%	0.28%	1.73%					
35	"18. ""ЛДПР"""	2034	86	109	22	85	88	67	120	88	7	22	16	103	68	28	176	50	26	5	99	87	26	66	14	60	70	49	91	9	54	78	73	84	8					
		13.01%	11.70%	14.41%	9.77%	11.59%	12.13%	10.53%	16.23%	14.81%	10.76%	9.36%	7.27%	11.40%	14.22%	9.12%	17.49%	12.46%	20.47%	7.69%	17.64%	18.31%	20.31%	20.43%	9.27%	15.50%	9.34%	12.37%	13.58%	7.43%	8.18%	15.53%	11.69%	11.98%	3.47%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	563	23	30	9	28	38	27	31	15	4	15	8	38	15	15	29	4	3	3	27	18	9	9	4	12	13	7	15	20	19	12	23	28	12					
		3.60%	3.12%	3.96%	4.0%	3.81%	5.24%	4.24%	4.19%	2.52%	6.15%	6.38%	3.63%	4.20%	3.13%	4.88%	2.88%	0.99%	2.36%	4.61%	4.81%	3.78%	7.03%	2.78%	2.64%	3.10%	1.73%	1.76%	2.23%	16.52%	2.87%	2.39%	3.68%	3.99%	5.21%					
37	"20. ""Политическая партия ""Единая Россия"""	6864	279	324	108	316	310	262	286	271	25	114	122	484	210	175	335	163	49	23	229	183	55	113	83	184	385	191	320	43	334	195	311	300	82					
		43.92%	37.95%	42.85%	48.0%	43.11%	42.75%	41.19%	38.70%	45.62%	38.46%	48.51%	55.45%	53.59%	43.93%	57.00%	33.30%	40.64%	38.58%	35.38%	40.81%	38.52%	42.96%	34.98%	54.96%	47.54%	51.40%	48.23%	47.76%	35.53%	50.60%	38.84%	49.83%	42.79%	35.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	56	3	1	0	0	1	3	3	0	1	0	4	5	1	0	5	4	0	0	1	3	0	2	0	2	1	0	1	0	4	3	2	3	3					
		0.35%	0.40%	0.13%	0.0%	0.0%	0.13%	0.47%	0.40%	0.0%	1.53%	0.0%	1.81%	0.55%	0.20%	0.0%	0.49%	0.99%	0.0%	0.0%	0.17%	0.63%	0.0%	0.61%	0.0%	0.51%	0.13%	0.0%	0.14%	0.0%	0.60%	0.59%	0.32%	0.42%	1.30%					
39	"22. ""Развитие предпринимательства"""	77	4	3	4	2	3	0	4	1	1	4	0	2	1	3	4	4	0	0	1	3	0	1	0	3	2	1	4	1	2	10	4	0	5					
		0.49%	0.54%	0.39%	1.77%	0.27%	0.41%	0.0%	0.54%	0.16%	1.53%	1.70%	0.0%	0.22%	0.20%	0.97%	0.39%	0.99%	0.0%	0.0%	0.17%	0.63%	0.0%	0.30%	0.0%	0.77%	0.26%	0.25%	0.59%	0.82%	0.30%	1.99%	0.64%	0.0%	2.17%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1281	70	46	20	58	58	68	66	36	3	18	11	46	36	20	173	62	21	6	44	41	9	38	14	30	65	24	32	9	52	27	23	49	6					
		8.19%	9.52%	6.08%	8.88%	7.91%	8.0%	10.69%	8.93%	6.06%	4.61%	7.65%	5.0%	5.09%	7.53%	6.51%	17.19%	15.46%	16.53%	9.23%	7.84%	8.63%	7.03%	11.76%	9.27%	7.75%	8.67%	6.06%	4.77%	7.43%	7.87%	5.37%	3.68%	6.99%	2.60%					
																																								
41	Против всех	538	33	31	5	30	29	32	36	24	6	3	1	15	18	7	38	9	3	4	28	13	2	10	1	5	28	10	20	2	22	18	8	34	13					
		3.44%	4.48%	4.10%	2.22%	4.09%	4.0%	5.03%	4.87%	4.04%	9.23%	1.27%	0.45%	1.66%	3.76%	2.28%	3.77%	2.24%	2.36%	6.15%	4.99%	2.73%	1.56%	3.09%	0.66%	1.29%	3.73%	2.52%	2.98%	1.65%	3.33%	3.58%	1.28%	4.85%	5.65%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
