Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Тальменская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35668	1124	268	250	556	290	744	274	526	281	1769	120	146	919	338	314	172	1501	516	278	1717	1640	1587	1479	447	217	1532	474	489	352	240	1173	1238	1102	1332	1277	1207	1050	1163	1123	1181	1194	986	1082									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35000	1100	250	250	500	250	700	250	550	300	1700	150	150	900	350	300	200	1500	500	300	1650	1550	1500	1400	450	200	1500	500	500	350	250	1300	1150	1100	1300	1300	1150	1050	1150	1100	1150	1150	1000	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14357	430	124	114	278	134	273	113	297	142	1105	76	103	354	132	113	60	558	227	133	572	672	478	543	346	87	770	230	210	143	84	503	420	455	498	414	455	373	448	383	354	352	371	430									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1298	50	11	30	15	14	72	22	33	14	75	9	6	56	22	33	13	50	37	16	10	14	55	48	3	17	34	42	43	20	21	25	32	48	13	36	53	21	24	26	38	54	19	24									
6	Число погашенных избирательных бюллетеней	19345	620	115	106	207	102	355	115	220	144	520	65	41	490	196	154	127	892	236	151	1068	864	967	809	101	96	696	228	247	187	145	772	698	597	789	850	642	656	678	691	758	744	610	596									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1298	50	11	30	15	14	72	22	33	14	75	9	6	56	22	33	13	50	37	16	10	14	55	48	3	17	34	42	43	20	21	25	32	48	13	36	53	21	24	26	38	54	19	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14300	380	124	114	278	134	273	113	297	142	1105	76	103	354	132	113	60	558	227	133	572	672	478	542	346	87	770	230	210	143	84	502	420	455	497	414	455	373	448	383	354	352	367	430									
9	Число недействительных избирательных бюллетеней	452	13	12	2	8	5	9	12	9	3	30	4	6	6	3	6	1	14	4	6	17	20	15	13	31	5	18	8	12	1	1	17	9	10	13	16	15	5	11	12	11	16	9	14									
10	Число действительных избирательных бюллетеней	15146	417	123	142	285	143	336	123	321	153	1150	81	103	404	151	140	72	594	260	143	565	666	518	577	318	99	786	264	241	162	104	510	443	493	497	434	493	389	461	397	381	390	377	440									
