Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Юсьвинская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №5401	УИК №5402	УИК №5403	УИК №5404	УИК №5405	УИК №5406	УИК №5407	УИК №5408	УИК №5409	УИК №5410	УИК №5411	УИК №5412	УИК №5414	УИК №5416	УИК №5417	УИК №5418	УИК №5419	УИК №5420	УИК №5421	УИК №5422	УИК №5423	УИК №5424	УИК №5425									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15773	2459	621	1034	125	211	473	464	597	195	288	521	485	738	744	337	208	262	326	1305	1079	1314	1331	656									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16000	2500	620	1050	150	210	500	470	600	200	300	550	500	750	730	330	210	270	350	1280	1100	1310	1350	670									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4263	775	104	320	43	59	122	115	181	67	60	88	109	185	153	63	66	72	110	435	346	268	364	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1251	53	94	24	22	31	31	68	40	24	78	79	32	83	160	76	29	15	17	69	49	32	43	102									
6	Число погашенных избирательных бюллетеней	10486	1672	422	706	85	120	347	287	379	109	162	383	359	482	417	191	115	183	223	776	705	1010	943	410									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1251	53	94	24	22	31	31	68	40	24	78	79	32	83	160	76	29	15	17	69	49	32	43	102									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4263	775	104	320	43	59	122	115	181	67	60	88	109	185	153	63	66	72	110	435	346	268	364	158									
9	Число недействительных избирательных бюллетеней	214	27	1	19	2	5	5	8	7	5	2	9	4	11	8	2	13	5	8	19	15	17	11	11									
10	Число действительных избирательных бюллетеней	5300	801	197	325	63	85	148	175	214	86	136	158	137	257	305	137	82	82	119	485	380	283	396	249									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	50	20	30	5	5	5	5	20	5	5	20	20	20	30	5	5	5	5	30	30	30	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	56	25	0	11	0	2	2	2	1	0	0	1	0	1	1	0	0	1	0	2	1	1	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	7	1	1	4	7	2	5	2	1	0	1	2	0	1	0	1	1	1	5	4	0	2	2									
