Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Ершовская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332					
1	"Число избирателей, внесенных в списки"	38939	2143	2720	1379	1150	2756	2359	2177	2820	2140	413	825	242	286	269	1047	322	491	576	143	883	305	177	259	394	261	59	568	658	110	883	234	136	112	358	376	355	92	601	773	411	498	124	280	79	328	925	488	662	655	443	336	542	386	336	110	376	108					
2	"Число бюллетеней, полученных участковыми комиссиями"	38812	2100	2730	1300	1150	2750	2320	2240	2880	2180	420	810	240	285	268	1005	320	495	573	140	915	307	176	263	387	260	60	560	690	110	854	229	131	110	347	363	313	94	600	780	410	495	122	272	80	312	915	498	685	635	436	342	545	386	326	110	380	108					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24259	985	1142	508	530	1457	1040	1111	1482	1185	322	531	226	204	207	745	226	467	475	94	609	202	144	254	324	220	52	543	484	89	633	201	115	105	315	303	306	77	483	505	331	437	115	267	79	247	592	306	440	458	362	260	411	301	294	94	270	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1072	75	60	89	42	51	58	39	75	31	12	30	2	12	12	32	19	0	27	17	19	16	14	0	13	0	0	0	29	11	0	0	0	0	17	28	0	0	0	15	32	20	0	0	0	16	20	42	7	0	0	45	0	0	18	9	13	5					
6	Число погашенных бюллетеней	13481	1040	1528	703	578	1242	1222	1090	1323	964	86	249	12	69	49	228	75	28	71	29	287	89	18	9	50	40	8	17	177	10	221	28	16	5	15	32	7	17	117	260	47	38	7	5	1	49	303	150	238	177	74	37	134	85	14	7	97	9					
7	Число бюллетеней в переносных ящиках для голосования	1072	75	60	89	42	51	58	39	75	31	12	30	2	12	12	32	19	0	27	17	19	16	14	0	13	0	0	0	29	11	0	0	0	0	17	28	0	0	0	15	32	20	0	0	0	16	20	42	7	0	0	45	0	0	18	9	13	5					
8	Число бюллетеней в стационарных ящиках для голосования	24254	985	1142	508	530	1457	1040	1111	1482	1185	322	531	226	204	207	745	226	467	475	94	609	202	144	254	324	220	52	543	484	89	633	201	115	105	315	303	306	77	483	505	331	437	115	267	79	247	592	306	435	458	362	260	411	301	294	94	270	94					
9	Число недействительных бюллетеней	263	23	17	7	0	11	11	13	25	10	7	1	3	1	3	18	9	0	0	0	15	0	0	0	7	0	0	0	0	1	6	10	5	0	0	8	1	10	0	1	3	2	3	10	0	0	2	4	2	5	3	0	0	0	1	0	2	3					
10	Число действительных бюллетеней	25063	1037	1185	590	572	1497	1087	1137	1532	1206	327	560	225	215	216	759	236	467	502	111	613	218	158	254	330	220	52	543	513	99	627	191	110	105	332	323	305	67	483	519	360	455	112	257	79	263	610	344	440	453	359	305	411	301	311	103	281	96					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	462	18	17	17	17	25	17	22	20	22	8	10	3	3	5	15	10	8	8	3	12	5	3	3	5	5	2	8	10	3	10	3	3	2	5	5	5	3	7	10	5	8	3	3	2	5	12	7	8	8	8	5	8	7	3	3	7	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	211	10	13	7	5	23	7	19	19	22	8	3	3	1	2	5	9	3	4	0	12	1	1	0	0	1	0	0	2	0	0	0	0	0	0	4	0	0	0	6	3	0	0	0	0	0	4	7	2	0	0	2	1	0	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	9	5	14	0	6	3	1	4	6	1	1	1	2	1	0	1	0	2	2	2	2	3	2	0	0	0	2	2	1	4	2	0	0	0	3	1	0	0	1	0	4	1	2	1	1	0	2	2	2	0	0	1	0	2	0	0	1					
14	Число погашенных открепительных удостоверений	251	8	4	10	12	2	10	3	1	0	0	7	0	2	3	10	1	5	4	3	0	4	2	3	5	4	2	8	8	3	10	3	3	2	5	1	5	3	7	4	2	8	3	3	2	5	8	0	6	8	8	3	7	7	3	3	6	2					
15	Число открепительных удостоверений выданных ТИК	34	0	1	1	0	2	1	0	3	7	0	2	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	"1. ""ЕДИНЕНИЕ"""	283	14	14	24	6	20	10	16	18	11	4	3	10	6	7	22	7	1	0	1	6	1	3	0	0	0	0	0	0	1	11	4	1	1	0	17	0	2	0	0	0	7	0	3	0	4	0	0	6	10	7	0	1	1	3	0	0	0					
		1.11%	1.32%	1.16%	4.02%	1.04%	1.32%	0.91%	1.39%	1.15%	0.90%	1.19%	0.53%	4.38%	2.77%	3.19%	2.83%	2.85%	0.21%	0.0%	0.90%	0.95%	0.45%	1.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	1.73%	1.99%	0.86%	0.95%	0.0%	5.13%	0.0%	2.59%	0.0%	0.0%	0.0%	1.53%	0.0%	1.12%	0.0%	1.52%	0.0%	0.0%	1.35%	2.18%	1.93%	0.0%	0.24%	0.33%	0.96%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	131	9	8	11	3	11	5	7	14	10	4	3	5	1	1	3	1	1	0	0	0	1	0	0	0	0	1	0	0	0	5	0	2	0	0	0	0	0	3	0	0	5	2	0	0	1	0	0	3	5	0	0	2	1	2	0	0	1					
		0.51%	0.84%	0.66%	1.84%	0.52%	0.72%	0.45%	0.60%	0.89%	0.82%	1.19%	0.53%	2.19%	0.46%	0.45%	0.38%	0.40%	0.21%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	1.92%	0.0%	0.0%	0.0%	0.78%	0.0%	1.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	1.09%	1.73%	0.0%	0.0%	0.38%	0.0%	0.0%	0.67%	1.09%	0.0%	0.0%	0.48%	0.33%	0.64%	0.0%	0.0%	1.01%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	292	13	31	13	13	37	14	22	32	17	3	10	0	2	2	7	5	8	0	0	2	4	0	0	5	0	2	0	0	0	8	2	1	2	0	4	2	0	0	0	0	6	0	0	0	1	0	0	9	0	9	0	2	2	2	0	0	0					
		1.15%	1.22%	2.57%	2.17%	2.27%	2.45%	1.27%	1.91%	2.05%	1.39%	0.89%	1.78%	0.0%	0.92%	0.91%	0.90%	2.04%	1.71%	0.0%	0.0%	0.31%	1.83%	0.0%	0.0%	1.48%	0.0%	3.84%	0.0%	0.0%	0.0%	1.26%	0.99%	0.86%	1.90%	0.0%	1.20%	0.65%	0.0%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	2.03%	0.0%	2.48%	0.0%	0.48%	0.66%	0.64%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	218	22	13	7	8	21	16	28	18	32	6	6	6	1	5	2	0	1	0	1	3	0	0	1	0	0	5	0	0	0	0	0	4	0	0	1	0	0	2	0	0	1	0	0	0	0	5	0	0	0	1	0	1	1	0	0	0	0					
