Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Тальменская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544					
1	"Число избирателей, внесенных в список избирателей"	36726	1177	282	287	580	319	763	281	545	293	1819	143	175	976	365	217	191	1531	539	293	1719	1679	1617	1488	432	241	1537	478	532	374	235	1245	1202	1288	1332	1270	1309	1066	1154	1113	1261	1191	1086	1101					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35920	1200	250	250	550	300	750	250	550	300	1800	140	180	950	350	350	180	1500	500	300	1500	1500	1500	1500	450	240	1500	490	500	350	230	1270	1225	1150	1320	1250	1325	1090	1150	1100	1280	1200	1050	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18026	524	146	142	352	191	347	153	327	169	1088	85	118	451	170	168	80	822	319	195	752	827	684	713	198	139	907	254	270	208	118	615	541	620	635	581	547	503	539	458	503	453	573	541					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2142	96	7	24	21	29	86	12	44	24	141	6	7	62	33	49	21	50	59	15	28	30	69	51	144	11	53	83	36	19	36	46	43	65	41	42	268	30	32	50	39	53	44	43					
6	Число погашенных избирательных бюллетеней	15752	580	97	84	177	80	317	85	179	107	571	49	55	437	147	133	79	628	122	90	720	643	747	736	108	90	540	153	194	123	76	609	641	465	644	627	510	557	579	592	738	694	433	516					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2140	96	7	24	21	29	86	12	44	24	141	6	7	62	33	49	21	50	59	15	28	30	69	51	144	11	53	83	36	19	36	46	43	65	41	42	266	30	32	50	39	53	44	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18026	524	146	142	352	191	347	153	327	169	1088	85	118	451	170	168	80	822	319	195	752	827	684	713	198	139	907	254	270	208	118	615	541	620	635	581	547	503	539	458	503	453	573	541					
9	Число недействительных избирательных бюллетеней	411	9	1	4	6	4	8	9	6	2	19	5	1	6	1	4	1	20	9	5	11	12	14	19	55	3	17	5	8	3	4	8	10	17	13	9	20	8	15	10	8	8	8	6					
10	Число действительных избирательных бюллетеней	19755	611	152	162	367	216	425	156	365	191	1210	86	124	507	202	213	100	852	369	205	769	845	739	745	287	147	943	332	298	224	150	653	574	668	663	614	793	525	556	498	534	498	609	578					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	477	14	10	10	10	3	15	1	5	2	15	2	2	15	3	3	2	12	1	5	20	24	20	20	1	3	35	15	5	2	2	20	22	10	16	13	13	20	16	14	13	13	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	408	14	4	5	4	3	13	0	4	0	15	0	1	13	1	3	0	12	0	5	18	22	18	13	0	1	31	15	2	1	2	17	22	10	16	13	11	20	15	14	12	13	15	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	225	6	3	4	2	3	4	4	3	2	15	4	1	7	5	6	3	8	4	3	4	5	8	5	2	3	21	11	2	4	6	10	6	6	9	7	4	2	2	3	8	3	6	1					
14	Число погашенных неиспользованных открепительных удостоверений	69	0	6	5	6	0	2	1	1	2	0	2	1	2	2	0	2	0	1	0	2	2	2	7	1	2	4	0	3	1	0	3	0	0	0	0	2	0	1	0	1	0	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	3	0	3	3	1	0	1	1	0	1	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2822	111	12	22	35	29	67	24	24	17	95	11	10	99	36	27	20	106	33	28	115	126	115	101	43	22	153	44	36	36	14	90	104	104	95	96	100	86	77	86	73	105	79	116					
		13.99%	17.90%	7.84%	13.25%	9.38%	13.18%	15.47%	14.55%	6.47%	8.81%	7.73%	12.09%	8.00%	19.30%	17.73%	12.44%	19.80%	12.16%	8.73%	13.33%	14.74%	14.70%	15.27%	13.22%	12.57%	14.67%	15.94%	13.06%	11.76%	15.86%	9.09%	13.62%	17.81%	15.18%	14.05%	15.41%	12.30%	16.14%	13.49%	16.93%	13.47%	20.75%	12.80%	19.86%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3409	90	15	25	76	62	78	39	47	45	128	18	18	77	38	27	15	87	103	51	114	112	110	103	37	20	166	43	55	40	25	122	87	120	123	169	134	89	124	97	131	109	134	106					
		16.90%	14.52%	9.80%	15.06%	20.38%	28.18%	18.01%	23.64%	12.67%	23.32%	10.41%	19.78%	14.40%	15.01%	18.72%	12.44%	14.85%	9.98%	27.25%	24.29%	14.62%	13.07%	14.61%	13.48%	10.82%	13.33%	17.29%	12.76%	17.97%	17.62%	16.23%	18.46%	14.90%	17.52%	18.20%	27.13%	16.48%	16.70%	21.72%	19.09%	24.17%	21.54%	21.72%	18.15%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	174	5	2	0	4	2	1	2	7	1	8	2	1	5	2	3	0	6	1	0	2	11	5	5	26	3	7	2	0	1	1	9	3	3	6	2	3	6	5	3	4	5	5	5					
		0.86%	0.81%	1.31%	0.00%	1.07%	0.91%	0.23%	1.21%	1.89%	0.52%	0.65%	2.20%	0.80%	0.97%	0.99%	1.38%	0.00%	0.69%	0.26%	0.00%	0.26%	1.28%	0.66%	0.65%	7.60%	2.00%	0.73%	0.59%	0.00%	0.44%	0.65%	1.36%	0.51%	0.44%	0.89%	0.32%	0.37%	1.13%	0.88%	0.59%	0.74%	0.99%	0.81%	0.86%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5125	107	53	34	71	41	59	26	85	22	169	3	14	125	37	67	20	286	57	49	214	288	190	244	71	55	274	83	98	58	32	223	158	206	182	133	271	160	149	142	144	108	163	154					
