Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
"Наименование Избирательной комиссии:    Воронеж, Советская"																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373					
1	"Число избирателей, внесенных в списки"	153463	2762	2818	2988	3016	2341	2878	2091	2814	2253	2436	2621	2705	2592	2264	2531	2275	1371	2042	2605	2010	368	2341	2252	2391	2564	2464	2891	2366	2118	2682	2150	1653	2900	2728	2854	2812	632	2352	2581	2667	1759	1643	127	2203	2549	2419	2597	1499	1332	2415	2796	2679	2322	1410	2254	2415	2622	2319	1713	2158	2114	2020	1703	2545	1436	3029	2323	1702	37	49	19	9	67					
2	"Число бюллетеней, полученных участковыми комиссиями"	143719	2500	2650	2900	2650	2250	2694	2100	2700	2147	2500	2500	2400	2500	2000	2450	2200	1300	2150	2400	1900	300	2397	2100	2100	2400	2300	2700	2400	2000	2500	1900	1500	2800	2650	2600	2900	570	2300	2400	2300	1300	1500	100	2100	2400	2500	2300	1300	1200	2200	2400	2500	2100	1350	2200	2300	2400	2250	1700	2100	1900	1900	1401	2000	1400	2800	2200	1600	50	80	50	50	80					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	71874	1221	1179	1422	1346	1059	1244	832	1202	898	1136	1194	1343	1126	791	1181	1078	669	936	1374	1094	2	1063	874	1071	1297	1333	1416	1217	1044	1305	876	921	1164	1415	1398	1580	253	1255	1281	1393	933	875	20	1052	1333	1274	1354	720	666	1190	1441	1333	1113	626	1103	1189	1197	1115	781	1175	884	901	633	1105	477	1193	911	685	5	12	19	9	67					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1642	20	12	20	16	14	45	21	21	29	27	35	31	24	34	26	27	22	25	41	32	0	22	4	15	15	28	54	31	17	21	14	9	22	23	15	15	8	21	33	19	16	24	0	25	27	17	18	34	10	17	32	33	39	3	29	33	17	44	49	23	21	18	16	3	81	87	15	3	0	0	0	0	0					
6	Число погашенных бюллетеней	70203	1259	1459	1458	1288	1177	1405	1247	1477	1220	1337	1271	1026	1350	1175	1243	1095	609	1189	985	774	298	1312	1222	1014	1088	939	1230	1152	939	1174	1010	570	1614	1212	1187	1305	309	1024	1086	888	351	601	80	1023	1040	1209	928	546	524	993	927	1134	948	721	1068	1078	1186	1091	870	902	995	981	752	892	842	1520	1274	912	45	68	31	41	13					
7	Число бюллетеней в переносных ящиках для голосования	1642	20	12	20	16	14	45	21	21	29	27	35	31	24	34	26	27	22	25	41	32	0	22	4	15	15	28	54	31	17	21	14	9	22	23	15	15	8	21	33	19	16	24	0	25	27	17	18	34	10	17	32	33	39	3	29	33	17	44	49	23	21	18	16	3	81	87	15	3	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	71773	1221	1179	1422	1346	1059	1244	832	1202	898	1133	1194	1342	1126	791	1181	1078	669	935	1374	1094	2	1063	874	1071	1294	1333	1416	1217	1036	1305	876	921	1162	1412	1398	1580	253	1255	1281	1393	924	872	20	1049	1333	1274	1350	720	666	1188	1409	1333	1113	624	1103	1189	1197	1115	781	1175	860	901	633	1105	477	1193	910	685	5	12	19	9	67					
9	Число недействительных бюллетеней	930	23	16	15	3	24	21	7	18	19	10	21	24	10	8	20	6	9	9	11	10	0	8	9	8	15	6	10	11	15	23	15	11	19	14	27	9	7	7	15	24	13	11	0	20	18	24	14	15	13	9	10	17	5	5	23	18	20	8	12	9	0	10	5	25	7	32	37	11	0	0	0	0	2					
10	Число действительных бюллетеней	72485	1218	1175	1427	1359	1049	1268	846	1205	908	1150	1208	1349	1140	817	1187	1099	682	951	1404	1116	2	1077	869	1078	1294	1355	1460	1237	1038	1303	875	919	1165	1421	1386	1586	254	1269	1299	1388	927	885	20	1054	1342	1267	1354	739	663	1196	1431	1349	1147	622	1109	1204	1194	1151	818	1189	881	909	644	1083	551	1248	888	677	5	12	19	9	65					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1348	20	20	25	20	15	25	10	20	15	15	40	40	19	15	22	40	20	20	35	25	0	35	30	14	50	20	40	15	25	40	10	10	25	20	20	20	5	15	30	20	10	10	0	18	20	30	25	10	10	15	25	20	15	10	15	15	20	15	10	20	10	10	30	20	10	20	10	20	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	761	4	13	11	12	5	18	9	13	7	5	19	21	13	3	15	24	8	12	20	18	0	12	15	7	22	16	22	14	15	13	5	8	10	12	20	14	1	11	9	17	7	5	0	16	16	28	15	10	2	8	11	9	10	6	13	12	10	14	8	13	9	7	5	9	9	8	4	4	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	479	1	3	7	6	2	8	4	14	9	7	6	8	8	6	5	6	3	6	11	8	2	6	10	10	6	7	6	4	8	3	6	3	3	3	6	8	5	11	8	5	3	5	20	7	7	3	7	10	2	7	12	3	10	7	9	12	6	1	12	3	8	3	4	5	5	3	1	0	5	12	19	9	11					
14	Число погашенных открепительных удостоверений	587	16	7	14	8	10	7	1	7	8	10	21	19	6	12	7	16	12	8	15	7	0	23	15	7	28	4	18	1	10	27	5	2	15	8	0	6	4	4	21	3	3	5	0	2	4	2	10	0	8	7	14	11	5	4	2	3	10	1	2	7	1	3	25	11	1	12	6	16	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
18	"1. ""ЕДИНЕНИЕ"""	577	12	19	10	5	9	12	7	6	8	4	13	18	13	4	7	6	3	5	15	14	0	12	7	18	5	9	11	5	1	11	5	6	7	11	5	5	2	11	12	5	8	6	1	5	14	6	4	9	11	8	12	14	6	4	4	8	9	12	0	4	7	6	10	15	3	20	16	12	0	0	1	0	4					
		0.78%	0.96%	1.59%	0.69%	0.36%	0.83%	0.93%	0.82%	0.49%	0.86%	0.34%	1.05%	1.31%	1.13%	0.48%	0.57%	0.54%	0.43%	0.52%	1.06%	1.24%	0.0%	1.10%	0.79%	1.65%	0.38%	0.66%	0.74%	0.40%	0.09%	0.82%	0.56%	0.64%	0.59%	0.76%	0.35%	0.31%	0.76%	0.86%	0.91%	0.35%	0.85%	0.66%	5.0%	0.46%	1.02%	0.46%	0.29%	1.19%	1.62%	0.66%	0.83%	1.02%	0.52%	0.63%	0.35%	0.65%	0.74%	1.03%	0.0%	0.33%	0.79%	0.65%	1.54%	1.35%	0.53%	1.56%	1.72%	1.74%	0.0%	0.0%	5.26%	0.0%	5.97%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3398	33	31	35	71	45	77	31	41	43	57	52	57	45	34	39	36	39	33	105	70	0	46	28	51	59	81	52	62	37	62	39	29	43	108	66	82	5	62	76	80	44	42	1	49	55	72	73	30	36	39	79	78	52	22	43	58	46	68	65	85	42	29	37	56	10	77	28	37	0	1	0	0	2					
		4.62%	2.65%	2.60%	2.42%	5.21%	4.19%	5.97%	3.63%	3.35%	4.63%	4.91%	4.23%	4.15%	3.91%	4.12%	3.23%	3.25%	5.64%	3.43%	7.42%	6.21%	0.0%	4.23%	3.18%	4.69%	4.50%	5.95%	3.53%	4.96%	3.51%	4.67%	4.38%	3.11%	3.63%	7.52%	4.67%	5.14%	1.91%	4.85%	5.78%	5.66%	4.68%	4.68%	5.0%	4.56%	4.04%	5.57%	5.33%	3.97%	5.32%	3.23%	5.48%	5.71%	4.51%	3.50%	3.79%	4.74%	3.78%	5.86%	7.83%	7.09%	4.76%	3.15%	5.70%	5.05%	1.79%	6.01%	3.02%	5.37%	0.0%	8.33%	0.0%	0.0%	2.98%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2029	28	30	28	36	24	38	21	34	20	25	40	53	30	26	47	30	23	33	49	40	0	30	13	17	42	46	45	44	48	35	29	27	21	35	70	41	7	42	36	29	28	25	1	33	33	37	44	26	12	24	44	37	27	6	44	40	29	25	24	24	12	17	18	20	20	25	22	20	0	0	0	0	0					
