Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Усть-Калманская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1006	УИК №1007	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12723	254	151	177	2009	1738	1434	395	1273	449	586	330	788	558	1023	501	863	194									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12240	250	150	180	2000	1700	1400	350	1200	440	500	330	750	500	1000	500	800	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4417	103	57	74	752	587	441	131	398	169	231	129	287	193	360	174	273	58									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	481	12	12	14	46	44	33	14	32	38	60	42	6	30	33	7	22	36									
6	Число погашенных избирательных бюллетеней	7342	135	81	92	1202	1069	926	205	770	233	209	159	457	277	607	319	505	96									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	481	12	12	14	46	44	33	14	32	38	60	42	6	30	33	7	22	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4415	103	57	74	752	587	441	131	398	169	231	129	287	193	358	174	273	58									
9	Число недействительных избирательных бюллетеней	120	0	0	2	20	13	16	7	10	3	6	1	11	9	13	2	6	1									
10	Число действительных избирательных бюллетеней	4776	115	69	86	778	618	458	138	420	204	285	170	282	214	378	179	289	93									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	137	2	1	3	20	20	15	5	8	7	5	2	7	10	15	5	7	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	64	0	0	2	19	12	7	3	3	0	1	2	4	2	7	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	1	2	2	5	5	2	2	1	1	6	3	2	5	4	3	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	73	2	1	1	1	8	8	2	5	7	4	0	3	8	8	4	6	5									
