Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Алагирская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36					
1	"Число избирателей, внесенных в список"	25573	149	2127	1061	2259	1978	1782	820	1996	150	1540	462	1417	556	410	546	255	729	660	859	814	68	1097	102	124	45	1245	839	131	125	135	220	435	22	216	75	124					
2	Число полученных избирательных бюллетеней	25519	150	2100	1038	2254	1956	1876	806	1985	150	1523	462	1440	550	393	560	259	725	640	845	783	69	1080	104	126	44	1220	835	130	119	137	218	500	24	220	75	123					
3	"Число избирательных бюллетеней, выданных  досрочно"	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22400	133	1644	944	2102	1851	1586	789	1734	150	1347	428	1269	515	360	396	234	706	593	825	715	58	866	99	106	40	1001	642	111	105	120	194	391	22	139	75	110					
5	"Число избирательных бюллетеней, выданных вне помещения"	478	11	46	11	79	28	34	3	19	0	39	5	0	0	0	19	2	4	0	4	61	0	14	0	14	0	38	21	11	0	5	4	6	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2564	6	410	83	73	77	256	14	232	0	137	29	171	35	33	145	23	15	47	16	7	11	200	5	6	4	181	172	8	14	12	20	103	2	4	0	13					
7	Число избирательных бюллетеней в переносных ящиках	555	11	46	11	79	28	34	3	19	0	39	5	0	0	0	19	2	4	0	4	61	0	14	0	14	0	38	21	11	0	5	4	6	0	77	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	22399	133	1644	944	2102	1851	1586	789	1734	150	1347	428	1269	515	360	396	234	706	593	825	715	58	866	99	106	40	1001	641	111	105	120	194	391	22	139	75	110					
9	Число недействительных избирательных бюллетеней	180	0	15	5	21	7	10	0	6	4	47	14	1	0	2	0	5	1	2	10	1	0	10	0	0	0	4	10	1	0	0	0	2	0	1	0	1					
10	Число действительных избирательных бюллетеней	22774	144	1675	950	2160	1872	1610	792	1747	146	1339	419	1268	515	358	415	231	709	591	819	775	58	870	99	120	40	1035	652	121	105	125	198	395	22	215	75	109					
11	Число полученных открепительных  удостоверений	410	5	20	20	20	20	20	10	20	0	15	10	15	10	10	5	5	10	10	10	10	5	25	5	5	5	30	30	5	10	10	10	5	5	5	5	5					
12	Число выданных открепительных удостоверений	87	0	6	2	15	9	10	2	5	0	0	0	0	3	1	3	2	2	2	10	2	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	0	4	0	3	5	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	323	5	14	18	5	11	10	8	15	0	15	10	15	7	9	2	3	8	8	0	8	5	25	5	5	5	21	26	5	10	10	10	5	5	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
