Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Лежневская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586	УИК  587	УИК  588	УИК  589	УИК  590	УИК  591	УИК  592	УИК  593	УИК  594	УИК  595	УИК  596					
1	"Число избирателей, внесенных в списки"	15968	1016	1427	801	862	1357	1141	639	325	267	331	625	258	906	781	1540	495	736	1127	1334					
2	"Число бюллетеней, полученных участковыми комиссиями"	14029	868	1228	669	733	1160	1001	568	292	236	302	570	237	797	703	1388	450	667	1006	1154					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7031	498	616	361	394	665	508	279	115	43	176	267	37	427	386	763	211	298	447	540					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1230	28	25	31	74	71	36	39	49	121	61	113	117	79	68	46	52	64	102	54					
6	Число погашенных бюллетеней	5768	342	587	277	265	424	457	250	128	72	65	190	83	291	249	579	187	305	457	560					
7	Число бюллетеней в переносных ящиках для голосования	1230	28	25	31	74	71	36	39	49	121	61	113	117	79	68	46	52	64	102	54					
8	Число бюллетеней в стационарных ящиках для голосования	7030	498	615	361	394	665	508	279	115	43	176	267	37	427	386	763	211	298	447	540					
9	Число недействительных бюллетеней	116	8	6	1	6	5	15	4	2	3	9	1	0	3	6	8	6	6	14	13					
10	Число действительных бюллетеней	8144	518	634	391	462	731	529	314	162	161	228	379	154	503	448	801	257	356	535	581					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	159	8	13	8	8	12	12	8	4	4	4	8	4	8	8	14	4	8	12	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	34	0	0	1	1	0	0	4	0	0	3	2	2	4	4	5	0	3	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	4	4	3	7	4	1	2	0	1	1	0	0	6	0	4	0	1	1	4					
14	Число погашенных открепительных удостоверений	125	8	13	7	7	12	12	4	4	4	1	6	2	4	4	9	4	5	8	11					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	102	3	9	2	6	11	4	2	3	2	2	7	2	11	8	8	4	2	10	6					
		1.23%	0.57%	1.40%	0.51%	1.28%	1.49%	0.73%	0.62%	1.82%	1.21%	0.84%	1.84%	1.29%	2.17%	1.76%	0.98%	1.52%	0.55%	1.82%	1.01%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	144	12	12	9	7	10	6	3	1	0	1	6	4	33	8	14	6	1	7	4					
		1.74%	2.28%	1.87%	2.29%	1.49%	1.35%	1.10%	0.94%	0.60%	0.0%	0.42%	1.57%	2.59%	6.52%	1.76%	1.73%	2.28%	0.27%	1.27%	0.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	285	13	21	12	18	26	22	14	13	4	5	5	2	18	10	31	7	17	21	26					
		3.45%	2.47%	3.28%	3.06%	3.84%	3.53%	4.04%	4.40%	7.92%	2.43%	2.10%	1.31%	1.29%	3.55%	2.20%	3.83%	2.66%	4.69%	3.82%	4.37%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	219	20	25	16	17	20	18	4	3	7	2	11	1	8	13	14	9	4	20	7					
		2.65%	3.80%	3.90%	4.08%	3.63%	2.71%	3.30%	1.25%	1.82%	4.26%	0.84%	2.89%	0.64%	1.58%	2.86%	1.73%	3.42%	1.10%	3.64%	1.17%					
22	"5. ""За Русь Святую"""	55	6	4	0	2	3	1	2	0	0	2	7	4	4	3	7	1	0	5	4					
		0.66%	1.14%	0.62%	0.0%	0.42%	0.40%	0.18%	0.62%	0.0%	0.0%	0.84%	1.84%	2.59%	0.79%	0.66%	0.86%	0.38%	0.0%	0.91%	0.67%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	1	3	2	1	3	0	0	0	1	0	0	0	1	1	2	1	3	1	1					
		0.25%	0.19%	0.46%	0.51%	0.21%	0.40%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.19%	0.22%	0.24%	0.38%	0.82%	0.18%	0.16%					
24	"7. ""Новый курс - Автомобильная Россия"""	39	0	4	5	2	7	0	3	0	0	1	0	0	4	7	1	0	0	4	1					
		0.47%	0.0%	0.62%	1.27%	0.42%	0.95%	0.0%	0.94%	0.0%	0.0%	0.42%	0.0%	0.0%	0.79%	1.54%	0.12%	0.0%	0.0%	0.72%	0.16%					
25	"8. ""Народно-республиканская партия России"""	12	1	1	0	0	0	1	0	1	2	0	0	0	0	0	2	0	1	2	1					
		0.14%	0.19%	0.15%	0.0%	0.0%	0.0%	0.18%	0.0%	0.60%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.27%	0.36%	0.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	25	2	2	0	1	1	3	2	0	0	1	1	0	0	1	4	1	1	2	3					
		0.30%	0.38%	0.31%	0.0%	0.21%	0.13%	0.55%	0.62%	0.0%	0.0%	0.42%	0.26%	0.0%	0.0%	0.22%	0.49%	0.38%	0.27%	0.36%	0.50%					
27	"10. ""Аграрная партия России"""	647	31	35	21	24	58	35	43	10	11	46	32	30	50	61	62	22	36	18	22					
		7.83%	5.89%	5.46%	5.35%	5.12%	7.88%	6.43%	13.52%	6.09%	6.70%	19.40%	8.42%	19.48%	9.88%	13.43%	7.66%	8.36%	9.94%	3.27%	3.70%					
28	"11. ""Истинные патриоты России"""	15	2	1	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	2	5					
		0.18%	0.38%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.19%	0.0%	0.24%	0.38%	0.0%	0.36%	0.84%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	124	10	6	1	8	11	11	17	3	1	2	6	1	6	3	17	4	5	8	4					
		1.50%	1.90%	0.93%	0.25%	1.70%	1.49%	2.02%	5.34%	1.82%	0.60%	0.84%	1.57%	0.64%	1.18%	0.66%	2.10%	1.52%	1.38%	1.45%	0.67%					
30	"13. ""Демократическая партия России"""	23	1	4	4	0	1	2	1	0	2	0	0	0	2	1	1	1	0	1	2					
		0.27%	0.19%	0.62%	1.02%	0.0%	0.13%	0.36%	0.31%	0.0%	1.21%	0.0%	0.0%	0.0%	0.39%	0.22%	0.12%	0.38%	0.0%	0.18%	0.33%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	1	1	0	0	1	0	2	0	0	0	1	0	2	1	2	1	2	4	1					
		0.23%	0.19%	0.15%	0.0%	0.0%	0.13%	0.0%	0.62%	0.0%	0.0%	0.0%	0.26%	0.0%	0.39%	0.22%	0.24%	0.38%	0.55%	0.72%	0.16%					
32	"15. ""Партия СЛОН"""	14	0	1	0	1	1	0	1	0	0	0	2	0	4	0	0	0	2	0	2					
		0.16%	0.0%	0.15%	0.0%	0.21%	0.13%	0.0%	0.31%	0.0%	0.0%	0.0%	0.52%	0.0%	0.79%	0.0%	0.0%	0.0%	0.55%	0.0%	0.33%					
33	"16. ""Родина"" (народно-патриотический союз)"""	590	47	42	23	43	54	56	18	6	20	9	16	8	21	18	89	18	22	34	46					
		7.14%	8.93%	6.56%	5.86%	9.18%	7.33%	10.29%	5.66%	3.65%	12.19%	3.79%	4.21%	5.19%	4.15%	3.96%	11.00%	6.84%	6.07%	6.19%	7.74%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	22	1	2	1	2	3	0	0	0	0	1	3	1	1	2	2	0	1	2	0					
		0.26%	0.19%	0.31%	0.25%	0.42%	0.40%	0.0%	0.0%	0.0%	0.0%	0.42%	0.78%	0.64%	0.19%	0.44%	0.24%	0.0%	0.27%	0.36%	0.0%					
35	"18. ""ЛДПР"""	1241	68	104	48	62	118	71	40	20	27	18	39	12	66	62	169	19	61	113	124					
		15.02%	12.92%	16.25%	12.24%	13.24%	16.03%	13.05%	12.57%	12.19%	16.46%	7.59%	10.26%	7.79%	13.04%	13.65%	20.88%	7.22%	16.85%	20.58%	20.87%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	228	8	11	18	16	20	15	8	4	3	5	9	2	13	14	20	11	8	18	25					
		2.76%	1.52%	1.71%	4.59%	3.41%	2.71%	2.75%	2.51%	2.43%	1.82%	2.10%	2.36%	1.29%	2.56%	3.08%	2.47%	4.18%	2.20%	3.27%	4.20%					
37	"20. ""Политическая партия ""Единая Россия"""	2958	189	241	157	177	239	171	98	74	67	91	185	70	181	175	211	114	127	181	210					
		35.81%	35.93%	37.65%	40.05%	37.82%	32.47%	31.43%	30.81%	45.12%	40.85%	38.39%	48.68%	45.45%	35.77%	38.54%	26.08%	43.34%	35.08%	32.96%	35.35%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	0	0	0	2	1	1	1	0	0	3	0	0	0	1	3	1	1	4	0					
		0.21%	0.0%	0.0%	0.0%	0.42%	0.13%	0.18%	0.31%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.22%	0.37%	0.38%	0.27%	0.72%	0.0%					
39	"22. ""Развитие предпринимательства"""	14	0	0	0	1	4	2	1	0	0	1	1	0	1	0	1	0	1	0	1					
		0.16%	0.0%	0.0%	0.0%	0.21%	0.54%	0.36%	0.31%	0.0%	0.0%	0.42%	0.26%	0.0%	0.19%	0.0%	0.12%	0.0%	0.27%	0.0%	0.16%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	856	75	72	50	51	75	86	31	15	8	21	34	10	64	32	71	24	44	43	50					
		10.36%	14.25%	11.25%	12.75%	10.89%	10.19%	15.80%	9.74%	9.14%	4.87%	8.86%	8.94%	6.49%	12.64%	7.04%	8.77%	9.12%	12.15%	7.83%	8.41%					
																										
41	Против всех	473	27	33	22	21	64	24	23	9	6	16	14	7	12	27	68	12	17	35	36					
		5.72%	5.13%	5.15%	5.61%	4.48%	8.69%	4.41%	7.23%	5.48%	3.65%	6.75%	3.68%	4.54%	2.37%	5.94%	8.40%	4.56%	4.69%	6.37%	6.06%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
