Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Калининская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374					
1	"Число избирателей, внесенных в списки"	42434	1972	276	2011	650	1476	768	431	586	405	306	1435	165	1067	1286	633	2186	589	360	486	605	724	703	996	103	319	507	1521	928	324	713	295	405	1153	805	195	332	1302	529	1199	375	286	414	780	531	239	241	1469	104	649	157	402	159	1432	375	2881	255	939					
2	"Число бюллетеней, полученных участковыми комиссиями"	42127	1956	274	2015	656	1472	765	418	584	386	304	1419	166	1065	1269	631	2209	589	351	485	593	729	697	997	99	309	496	1475	932	321	705	295	405	1129	782	189	332	1300	515	1203	371	279	417	773	523	236	240	1460	105	633	141	389	157	1436	374	2895	250	931					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20150	972	138	990	355	807	291	197	201	229	116	689	78	581	694	381	1233	309	221	252	226	340	412	423	37	113	232	713	504	167	370	152	129	406	290	81	137	501	199	589	197	114	181	273	295	102	115	553	57	222	44	184	104	688	150	1611	83	422					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3365	18	10	15	20	48	139	82	101	70	56	58	66	26	23	47	11	0	0	46	99	55	59	101	33	76	98	111	0	16	20	27	114	203	72	61	83	203	104	8	61	56	63	81	124	44	25	165	18	142	30	20	0	19	16	29	76	17					
6	Число погашенных бюллетеней	18612	966	126	1010	281	617	335	139	282	87	132	672	22	458	552	203	965	280	130	187	268	334	226	473	29	120	166	651	428	138	315	116	162	520	420	47	112	596	212	606	113	109	173	419	104	90	100	742	30	269	67	185	53	729	208	1255	91	492					
7	Число бюллетеней в переносных ящиках для голосования	3365	18	10	15	20	48	139	82	101	70	56	58	66	26	23	47	11	0	0	46	99	55	59	101	33	76	98	111	0	16	20	27	114	203	72	61	83	203	104	8	61	56	63	81	124	44	25	165	18	142	30	20	0	19	16	29	76	17					
8	Число бюллетеней в стационарных ящиках для голосования	20148	972	138	990	355	807	291	197	201	229	116	689	78	581	694	381	1232	309	221	252	226	340	411	423	37	113	232	713	504	167	370	152	129	406	290	81	137	501	199	589	197	114	181	273	295	102	115	553	57	222	44	184	104	688	150	1611	83	422					
9	Число недействительных бюллетеней	355	26	0	17	5	18	9	0	1	4	0	16	2	21	6	2	23	2	0	4	6	6	11	6	0	1	7	15	13	5	6	7	3	12	7	3	2	14	2	8	0	1	5	10	1	2	3	8	0	2	0	1	3	5	3	15	3	3					
10	Число действительных бюллетеней	23158	964	148	988	370	837	421	279	301	295	172	731	142	586	711	426	1220	307	221	294	319	389	459	518	70	188	323	809	491	178	384	172	240	597	355	139	218	690	301	589	258	169	239	344	418	144	137	710	75	362	74	203	101	702	163	1625	156	436					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	616	20	6	20	10	19	10	8	7	6	6	20	6	16	16	22	20	10	8	8	10	10	10	10	6	6	10	20	10	6	10	6	6	16	9	6	8	20	10	16	8	6	8	10	10	6	6	20	6	10	6	6	6	20	6	23	6	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	234	5	3	12	4	11	5	2	0	0	4	11	0	9	7	22	7	3	1	3	5	3	3	4	0	1	3	4	3	4	0	0	0	6	0	0	1	11	0	12	8	0	4	3	2	1	1	10	0	3	0	2	0	4	0	23	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	346	13	0	10	2	7	2	7	4	12	3	15	0	6	6	1	3	4	9	4	15	5	6	6	6	11	13	21	2	5	2	3	0	11	2	8	1	7	3	2	10	2	2	11	8	5	1	15	1	10	6	5	3	8	5	5	5	7					
14	Число погашенных открепительных удостоверений	382	15	3	8	6	8	5	6	7	6	2	9	6	7	9	0	13	7	7	5	5	7	7	6	6	5	7	16	7	2	10	6	6	10	9	6	7	9	10	4	0	6	4	7	8	5	5	10	6	7	6	4	6	16	6	0	3	9					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
