Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Радужная городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501					
1	"Число избирателей, внесенных в список избирателей"	14645	2013	2957	2885	2839	1985	1966					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10515	1440	2120	2070	2020	1435	1430					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7996	1111	1541	1585	1605	1065	1089					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	194	25	47	48	35	14	25					
6	Число погашенных избирательных бюллетеней	2327	304	534	437	380	356	316					
7	Число избирательных бюллетеней в переносных ящиках для голосования	194	25	47	48	35	14	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7996	1111	1541	1585	1605	1065	1089					
9	Число недействительных избирательных бюллетеней	117	16	20	27	15	23	16					
10	Число действительных избирательных бюллетеней	8073	1120	1568	1606	1625	1056	1098					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	181	30	30	30	30	30	31					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	137	18	23	18	30	19	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	7	15	11	9	10	8					
14	Число погашенных неиспользованных открепительных удостоверений	44	12	7	12	0	11	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	3	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	2	0	2	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2056	299	391	434	397	247	288					
		25.10%	26.32%	24.62%	26.58%	24.21%	22.89%	25.85%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	936	126	195	181	169	158	107					
		11.43%	11.09%	12.28%	11.08%	10.30%	14.64%	9.61%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	156	22	26	32	28	20	28					
		1.90%	1.94%	1.64%	1.96%	1.71%	1.85%	2.51%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1982	289	347	403	387	248	308					
		24.20%	25.44%	21.85%	24.68%	23.60%	22.98%	27.65%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	365	47	63	81	81	45	48					
		4.46%	4.14%	3.97%	4.96%	4.94%	4.17%	4.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2510	330	534	465	550	327	304					
		30.65%	29.05%	33.63%	28.48%	33.54%	30.31%	27.29%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	68	7	12	10	13	11	15					
		0.83%	0.62%	0.76%	0.61%	0.79%	1.02%	1.35%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
