Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Окинская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469					
1	"Число избирателей, внесенных в списки избирателей"	3341	274	326	332	281	246	308	294	290	294	331	365					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3356	270	327	332	286	253	312	297	296	292	326	365					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	650	126	79	122	0	0	0	0	0	149	69	105					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1652	82	131	108	175	159	184	195	208	53	181	176					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	60	0	5	3	6	6	6	4	12	3	6	9					
6	Число погашенных избирательных бюллетеней	994	62	112	99	105	88	122	98	76	87	70	75					
7	Число избирательных бюллетеней в переносных ящиках для голосования	710	126	84	125	6	6	6	4	12	152	75	114					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1652	82	131	108	175	159	184	195	208	53	181	176					
9	Число недействительных избирательных бюллетеней	69	16	5	5	2	0	7	7	8	9	2	8					
10	Число действительных избирательных бюллетеней	2293	192	210	228	179	165	183	192	212	196	254	282					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	130	10	12	12	12	12	12	12	12	12	12	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	40	0	3	0	5	7	4	3	6	5	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	44	11	2	1	1	2	1	5	2	0	9	10					
14	Число погашенных неиспользованных открепительных удостоверений	90	10	9	12	7	5	8	9	6	7	9	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	14	4	2	4	0	0	0	0	0	0	1	3					
		0.59%	1.92%	0.93%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	1.03%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	1	1	0	0	0	0	0	0	0	0	1					
		0.13%	0.48%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%					
20	3.Политическая партия «Демократическая партия России»	2	1	0	0	0	0	0	0	0	0	1	0					
		0.08%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	69	12	13	6	3	9	3	1	6	6	3	7					
		2.92%	5.77%	6.05%	2.58%	1.66%	5.45%	1.58%	0.50%	2.73%	2.93%	1.17%	2.41%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	1	0	0	0	0	0	0	0	1	0	2					
		0.17%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.69%					
23	6.Политическая партия «Партия социальной справедливости»	2	0	0	1	0	0	1	0	0	0	0	0					
		0.08%	0.00%	0.00%	0.43%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	28	8	4	7	2	0	1	3	0	3	0	0					
		1.19%	3.85%	1.86%	3.00%	1.10%	0.00%	0.53%	1.51%	0.00%	1.46%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	724	21	49	82	72	55	79	87	65	59	48	107					
		30.65%	10.10%	22.79%	35.19%	39.78%	33.33%	41.58%	43.72%	29.55%	28.78%	18.75%	36.90%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	10	2	1	0	0	0	1	0	0	2	3	1					
		0.42%	0.96%	0.47%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.98%	1.17%	0.34%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1435	141	140	128	102	101	98	101	141	125	197	161					
		60.75%	67.79%	65.12%	54.94%	56.35%	61.21%	51.58%	50.75%	64.09%	60.98%	76.95%	55.52%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2	1	0	0	0	0	0	0	0	0	1	0					
		0.08%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
