Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Сухоложская городская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556					
1	"Число избирателей, внесенных в список избирателей"	39735	2953	1272	2169	1422	1363	2595	2545	947	1354	972	1811	2173	2148	2667	314	1425	962	328	746	410	1119	301	302	1841	874	1205	1806	316	789	289	317					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38500	2900	1300	2100	1350	1200	2500	2500	900	1300	950	1700	2100	2100	2600	300	1400	950	300	750	400	1100	250	300	1800	800	1200	1800	300	800	250	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17494	1247	448	975	672	622	1090	1244	425	648	503	770	1066	922	1152	127	509	365	105	402	172	587	101	153	731	363	491	860	123	418	93	110					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1084	39	30	24	6	150	16	11	12	9	12	25	29	22	38	17	41	49	85	20	4	20	23	7	50	41	26	100	45	25	46	62					
6	Число погашенных избирательных бюллетеней	19922	1614	822	1101	672	428	1394	1245	463	643	435	905	1005	1156	1410	156	850	536	110	328	224	493	126	140	1019	396	683	840	132	357	111	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1084	39	30	24	6	150	16	11	12	9	12	25	29	22	38	17	41	49	85	20	4	20	23	7	50	41	26	100	45	25	46	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17491	1247	448	975	672	622	1090	1244	425	648	503	769	1066	922	1152	127	509	365	105	402	172	587	101	153	731	363	491	858	123	418	93	110					
9	Число недействительных избирательных бюллетеней	490	44	18	17	17	30	14	53	9	21	13	15	34	29	34	4	12	9	5	5	8	19	3	3	14	5	15	18	6	10	5	1					
10	Число действительных избирательных бюллетеней	18085	1242	460	982	661	742	1092	1202	428	636	502	779	1061	915	1156	140	538	405	185	417	168	588	121	157	767	399	502	940	162	433	134	171					
