Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262					
1	"Число избирателей, внесенных в список избирателей"	169125	2119	1882	2020	2186	2329	2668	1832	1842	2153	2111	2175	2202	2267	2336	2265	1924	2020	2339	2401	2439	2387	2409	2716	2358	2614	2522	2597	2493	2249	2518	2462	2376	1729	2433	2709	2292	2328	2507	2272	2521	2244	2673	2191	2416	1928	2367	2299	2227	2697	2617	2514	2759	2435	2384	2548	2640	2219	2343	2719	2653	2476	2632	1680	2391	1828	2150	2769	2424	2592	2701	1965	380	138	2124					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	161323	2000	1800	1900	2100	2200	2600	1700	1700	2100	1900	2100	2100	2200	2200	2100	1800	1900	2300	2300	2300	2300	2300	2600	2300	2500	2400	2500	2400	2100	2400	2400	2300	1600	2300	2600	2200	2200	2400	2200	2400	2200	2500	2100	2300	1800	2300	2200	2100	2600	2500	2400	2700	2300	2300	2500	2400	2100	2200	2600	2600	2400	2500	1600	2300	1700	2100	2700	2300	2500	2600	1900	385	138	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	100675	1291	1025	1162	1235	1409	1349	927	990	1146	1172	1227	1265	1320	1277	1306	1279	1229	1461	1794	1795	1535	1753	1973	1503	1694	1660	1549	1408	1223	1417	1369	1757	979	1300	1634	1161	1219	1385	1292	1586	1475	1474	1140	1442	1110	1383	1292	1143	1698	1570	1450	1590	1341	1569	1691	1518	1393	1754	1605	1501	1468	1268	1098	1619	1014	1351	1751	1098	1478	1625	1233	333	131	1013					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2561	21	44	50	55	42	65	99	31	40	44	15	55	67	52	54	36	18	41	34	59	25	51	64	43	42	48	66	47	18	35	38	27	23	41	19	28	39	24	20	8	31	29	45	30	14	44	7	15	22	20	32	32	36	32	28	4	26	15	32	29	30	15	20	15	9	21	13	137	30	34	22	47	7	10					
6	Число погашенных избирательных бюллетеней	58087	688	731	688	810	749	1186	674	679	914	684	858	780	813	871	740	485	653	798	472	446	740	496	563	754	764	692	885	945	859	948	993	516	598	959	947	1011	942	991	888	806	694	997	915	828	676	873	901	942	880	910	918	1078	923	699	781	878	681	431	963	1070	902	1217	482	666	677	728	936	1065	992	941	645	5	0	777					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2561	21	44	50	55	42	65	99	31	40	44	15	55	67	52	54	36	18	41	34	59	25	51	64	43	42	48	66	47	18	35	38	27	23	41	19	28	39	24	20	8	31	29	45	30	14	44	7	15	22	20	32	32	36	32	28	4	26	15	32	29	30	15	20	15	9	21	13	137	30	34	22	47	7	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	100570	1290	1025	1162	1233	1409	1349	927	989	1146	1172	1227	1265	1319	1277	1305	1277	1229	1461	1794	1795	1535	1753	1973	1503	1693	1660	1549	1408	1223	1415	1369	1757	979	1287	1634	1161	1219	1383	1292	1586	1471	1474	1138	1438	1110	1382	1292	1142	1696	1569	1416	1584	1341	1567	1690	1518	1391	1752	1605	1501	1468	1266	1086	1619	1013	1351	1751	1098	1478	1625	1233	333	131	1011					
9	Число недействительных избирательных бюллетеней	1560	20	18	0	21	31	38	29	4	10	8	9	10	12	6	29	47	20	12	30	29	0	31	68	0	52	20	41	39	45	13	37	0	18	19	4	32	11	26	5	43	28	10	20	44	2	21	25	9	31	38	28	33	25	29	10	10	16	30	9	15	0	17	4	39	15	15	30	25	0	38	13	3	2	39					
10	Число действительных избирательных бюллетеней	101571	1291	1051	1212	1267	1420	1376	997	1016	1176	1208	1233	1310	1374	1323	1330	1266	1227	1490	1798	1825	1560	1773	1969	1546	1683	1688	1574	1416	1196	1437	1370	1784	984	1309	1649	1157	1247	1381	1307	1551	1474	1493	1163	1424	1122	1405	1274	1148	1687	1551	1420	1583	1352	1570	1708	1512	1401	1737	1628	1515	1498	1264	1102	1595	1007	1357	1734	1210	1508	1621	1242	377	136	982					
