Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264					
1	"Число избирателей, внесенных в списки избирателей"	166536	2184	1944	2158	2251	2310	2707	2178	1991	2236	2053	2082	2324	2358	2453	2484	1905	2013	2397	2437	2471	2495	2520	2869	2425	2701	2848	2345	2649	2280	2657	2449	2453	1803	2470	2878	2448	2952	2915	1382	2403	2308	2427	2330	2523	1770	2569	1648	2245	2951	2486	2266	3127	2304	2484	2559	1220	2198	2238	2641	3062	2389	2547	1186	2332	1465	2155	2014	2446	1884	2636	2784	375	89					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	159325	2100	1900	2100	2200	2200	2600	2000	1900	2250	2100	2000	2300	2300	2400	2300	1800	1900	2400	2400	2400	2400	2400	2700	2400	2500	2700	2300	2500	2300	2500	2400	2400	1700	2450	2800	2300	2850	2800	1200	2300	2200	2250	2300	2400	1700	2400	1500	2100	2800	2400	2200	2850	2250	2400	2400	1160	2000	2200	2550	2800	2300	2500	1100	2200	1350	2050	1900	2300	1700	2550	2600	376	89					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	133540	1744	1495	1750	1741	1950	2283	1908	1547	1858	1769	1807	2128	1868	1895	1924	1598	1573	1873	1918	1725	2070	2019	2379	2065	2047	2271	1984	2222	1689	2230	1704	2312	1376	1898	2242	2003	2035	2148	1018	1784	1810	2023	1828	1989	1451	2083	1414	1885	2430	2282	2034	2564	2011	1652	2191	1083	1911	2049	1865	2501	2012	1624	781	1819	1240	1831	1572	1505	1491	2059	2306	305	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3194	52	66	43	79	22	32	92	53	36	73	32	61	73	71	83	65	51	45	36	80	53	34	42	33	50	47	64	54	79	55	39	43	61	46	23	25	58	68	28	19	39	27	48	38	15	64	13	12	40	49	22	39	54	106	20	5	32	18	40	17	43	37	22	31	10	25	47	58	22	33	32	70	0					
6	Число погашенных избирательных бюллетеней	22591	304	339	307	380	228	285	0	300	356	258	161	111	359	434	293	137	276	482	446	595	277	347	279	302	403	382	252	224	532	215	657	45	263	506	535	272	757	584	154	497	351	200	424	373	234	253	73	203	330	69	144	247	185	642	189	72	57	133	645	282	245	839	297	350	100	194	281	737	187	458	262	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3194	52	66	43	79	22	32	92	53	36	73	32	61	73	71	83	65	51	45	36	80	53	34	42	33	50	47	64	54	79	55	39	43	61	46	23	25	58	68	28	19	39	27	48	38	15	64	13	12	40	49	22	39	54	106	20	5	32	18	40	17	43	37	22	31	10	25	47	58	22	33	32	70	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	133434	1744	1494	1750	1741	1950	2283	1902	1547	1858	1769	1807	2128	1868	1895	1924	1598	1573	1873	1918	1725	2070	2019	2379	2065	2047	2271	1920	2222	1689	2230	1704	2312	1376	1898	2241	2003	2035	2148	1018	1779	1800	2023	1828	1989	1451	2083	1414	1881	2427	2281	2034	2564	2011	1652	2191	1083	1911	2049	1865	2501	2012	1624	781	1819	1240	1826	1566	1505	1491	2059	2306	305	89					
9	Число недействительных избирательных бюллетеней	913	2	3	10	21	0	0	11	9	0	12	10	5	1	18	20	11	10	3	13	1	10	16	15	18	28	0	19	0	18	15	7	0	9	15	15	40	24	29	3	8	32	5	9	23	9	18	15	11	14	52	8	45	4	27	17	10	15	30	11	18	18	16	7	0	9	10	0	18	0	13	0	0	0					
10	Число действительных избирательных бюллетеней	135715	1794	1557	1783	1799	1972	2315	1983	1591	1894	1830	1829	2184	1940	1948	1987	1652	1614	1915	1941	1804	2113	2037	2406	2080	2069	2318	1965	2276	1750	2270	1736	2355	1428	1929	2249	1988	2069	2187	1043	1790	1807	2045	1867	2004	1457	2129	1412	1882	2453	2278	2048	2558	2061	1731	2194	1078	1928	2037	1894	2500	2037	1645	796	1850	1241	1841	1613	1545	1513	2079	2338	375	89					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4436	70	62	50	60	88	60	60	62	60	60	60	60	60	62	62	69	59	67	60	62	60	62	62	62	60	70	68	59	77	63	60	63	60	68	69	62	70	67	60	60	60	62	62	63	60	72	60	64	60	61	80	62	62	77	62	30	62	60	68	62	60	67	33	75	60	65	57	68	44	63	60	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	4381	69	62	50	60	86	60	60	62	59	60	60	60	60	62	62	69	57	66	60	61	60	61	61	61	59	70	67	59	77	61	60	63	60	67	66	62	68	66	60	60	60	61	62	63	59	72	60	63	60	60	80	60	62	76	62	29	62	60	68	62	60	67	29	70	52	61	56	66	43	63	60	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	4236	27	46	74	30	60	25	49	81	20	16	40	34	42	56	61	26	38	15	43	19	37	28	92	18	17	113	35	94	57	43	22	34	21	61	54	77	88	72	107	43	36	64	21	73	22	115	74	93	68	48	40	36	61	10	34	415	63	42	37	38	36	42	22	55	73	49	64	51	43	56	58	293	89					
14	Число погашенных неиспользованных открепительных удостоверений	55	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	1	1	1	1	0	1	0	0	2	0	0	0	1	3	0	2	1	0	0	0	1	0	0	1	0	0	1	0	1	0	2	0	1	0	1	0	0	0	0	0	0	4	5	8	4	1	2	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
