Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
Наименование Избирательной комиссии:    Мезенская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542					
1	"Число избирателей, внесенных в список избирателей"	9949	2317	761	99	73	110	1650	953	390	93	217	97	70	113	200	161	391	120	80	145	212	90	544	310	395	99	215	44					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10080	2290	780	100	70	90	1720	980	390	100	220	90	70	110	210	160	400	120	80	150	210	90	560	320	410	90	230	40					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	94	19	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	25	12	11	0	0	0	0	0	0	3	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4250	997	320	47	33	58	665	390	200	47	90	60	35	36	87	73	176	42	31	64	117	42	210	138	143	28	92	29					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	440	94	22	4	4	26	66	40	20	1	23	2	4	2	10	12	12	3	3	9	13	0	42	10	14	4	0	0					
6	Число погашенных избирательных бюллетеней	5296	1180	438	49	33	6	989	550	170	52	107	28	31	48	113	75	212	50	34	66	80	48	308	172	253	58	135	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	534	113	22	4	4	26	66	40	20	1	23	2	4	26	10	12	12	28	15	20	13	0	42	10	14	4	3	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4250	997	320	47	33	58	665	390	200	47	90	60	35	36	87	73	176	42	31	64	117	42	210	138	143	28	92	29					
9	Число недействительных избирательных бюллетеней	39	15	4	0	0	0	12	2	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	4745	1095	338	51	37	84	719	428	220	48	113	62	39	62	96	84	187	69	46	83	130	42	251	148	157	32	95	29					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	182	20	10	3	3	3	20	15	7	5	5	5	3	5	5	3	5	3	3	3	10	5	10	5	10	3	10	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	58	14	7	0	0	0	2	2	4	2	0	0	0	0	3	0	0	1	0	0	5	2	1	2	3	0	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	9	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	4	0	1	1	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	124	6	3	3	3	3	18	13	3	3	5	5	3	5	2	3	5	2	3	3	5	3	9	3	7	3	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	4	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1589	400	138	15	13	25	275	187	92	14	31	28	7	19	24	30	54	10	5	17	30	6	75	28	29	3	30	4					
		33.21%	36.04%	40.35%	29.41%	35.14%	29.76%	37.62%	43.49%	41.82%	29.17%	27.43%	45.16%	17.95%	30.65%	24.74%	35.29%	28.72%	14.29%	10.87%	20.24%	23.08%	14.29%	29.76%	18.92%	18.47%	9.38%	31.58%	13.79%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	675	129	47	9	4	7	129	63	29	5	14	8	3	9	9	15	19	16	7	16	22	16	33	21	20	4	14	7					
		14.11%	11.62%	13.74%	17.65%	10.81%	8.33%	17.65%	14.65%	13.18%	10.42%	12.39%	12.90%	7.69%	14.52%	9.28%	17.65%	10.11%	22.86%	15.22%	19.05%	16.92%	38.10%	13.10%	14.19%	12.74%	12.50%	14.74%	24.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	11	5	0	0	1	6	1	1	0	1	0	0	1	0	1	2	1	0	0	2	0	1	6	1	0	1	2					
