Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Бескудниковский район																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №3048					
1	"Число избирателей, внесенных в списки"	48942	2801	2553	2596	2577	2641	2710	2526	2755	2738	2831	2659	2864	2680	2702	2737	2673	2846	2846	207					
2	"Число бюллетеней, полученных участковыми комиссиями"	48900	2800	2600	2600	2600	2700	2700	2500	2800	2700	2800	2700	2800	2700	2700	2700	2700	2800	2700	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26588	1632	1302	1447	1434	1186	1485	1429	1449	1433	1635	1424	1647	1505	1512	1568	1472	1446	1401	181					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1082	52	44	30	51	233	60	51	49	43	40	42	25	64	68	47	67	42	48	26					
6	Число погашенных бюллетеней	21230	1116	1254	1123	1115	1281	1155	1020	1302	1224	1125	1234	1128	1131	1120	1085	1161	1312	1251	93					
7	Число бюллетеней в переносных ящиках для голосования	1082	52	44	30	51	233	60	51	49	43	40	42	25	64	68	47	67	42	48	26					
8	Число бюллетеней в стационарных ящиках для голосования	26433	1632	1300	1442	1431	1176	1482	1419	1449	1429	1595	1424	1647	1505	1508	1521	1468	1445	1379	181					
9	Число недействительных бюллетеней	349	7	21	17	15	13	7	13	18	18	19	23	45	14	30	30	25	19	14	1					
10	Число действительных бюллетеней	27166	1677	1323	1455	1467	1396	1535	1457	1480	1454	1616	1443	1627	1555	1546	1538	1510	1468	1413	206					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	900	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	579	30	34	28	26	39	47	34	40	23	32	27	25	35	33	36	30	32	28	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	337	36	16	14	22	17	11	26	15	18	14	21	14	17	13	22	12	12	16	21					
14	Число погашенных открепительных удостоверений	321	20	16	22	24	11	3	16	10	27	18	23	25	15	17	14	20	18	22	0					
15	Число открепительных удостоверений выданных ТИК	23	0	3	2	2	1	1	1	1	3	1	1	0	1	0	1	4	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	188	11	18	8	14	9	6	11	20	9	8	17	8	7	6	16	8	5	5	2					
		0.68%	0.65%	1.33%	0.54%	0.94%	0.63%	0.38%	0.74%	1.33%	0.61%	0.48%	1.15%	0.47%	0.44%	0.38%	1.02%	0.52%	0.33%	0.35%	0.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1621	178	67	108	80	65	94	53	90	75	110	87	98	78	75	96	81	92	87	7					
		5.89%	10.57%	4.98%	7.33%	5.39%	4.61%	6.09%	3.60%	6.00%	5.09%	6.72%	5.93%	5.86%	4.97%	4.75%	6.12%	5.27%	6.18%	6.09%	3.38%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	589	21	28	30	35	32	28	30	32	36	40	30	23	56	40	35	32	32	28	1					
		2.14%	1.24%	2.08%	2.03%	2.36%	2.27%	1.81%	2.04%	2.13%	2.44%	2.44%	2.04%	1.37%	3.56%	2.53%	2.23%	2.08%	2.15%	1.96%	0.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2264	190	86	142	127	108	123	98	91	109	151	68	162	131	130	121	142	166	103	16					
		8.22%	11.28%	6.39%	9.64%	8.56%	7.66%	7.97%	6.66%	6.07%	7.40%	9.23%	4.63%	9.68%	8.34%	8.24%	7.71%	9.25%	11.16%	7.21%	7.72%					
22	"5. ""За Русь Святую"""	143	13	13	3	6	11	6	4	4	8	13	10	5	9	7	3	5	14	8	1					
		0.51%	0.77%	0.96%	0.20%	0.40%	0.78%	0.38%	0.27%	0.26%	0.54%	0.79%	0.68%	0.29%	0.57%	0.44%	0.19%	0.32%	0.94%	0.56%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	49	1	5	2	5	2	3	2	0	1	2	3	7	3	6	2	1	4	0	0					
		0.17%	0.05%	0.37%	0.13%	0.33%	0.14%	0.19%	0.13%	0.0%	0.06%	0.12%	0.20%	0.41%	0.19%	0.38%	0.12%	0.06%	0.26%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	421	25	22	25	23	22	28	27	23	36	2	13	22	34	25	29	21	21	22	1					
		1.53%	1.48%	1.63%	1.69%	1.55%	1.56%	1.81%	1.83%	1.53%	2.44%	0.12%	0.88%	1.31%	2.16%	1.58%	1.84%	1.36%	1.41%	1.54%	0.48%					
25	"8. ""Народно-республиканская партия России"""	27	0	0	0	4	1	1	1	2	0	1	1	5	3	1	2	2	1	1	1					
		0.09%	0.0%	0.0%	0.0%	0.26%	0.07%	0.06%	0.06%	0.13%	0.0%	0.06%	0.06%	0.29%	0.19%	0.06%	0.12%	0.13%	0.06%	0.07%	0.48%					
26	"9. ""Российская экологическая партия ""Зеленые"""	197	10	12	12	7	9	8	14	4	7	16	8	16	15	9	12	14	12	10	2					
		0.71%	0.59%	0.89%	0.81%	0.47%	0.63%	0.51%	0.95%	0.26%	0.47%	0.97%	0.54%	0.95%	0.95%	0.57%	0.76%	0.91%	0.80%	0.70%	0.96%					
27	"10. ""Аграрная партия России"""	403	31	36	12	22	1	26	12	19	25	21	27	30	22	27	25	20	22	22	3					
		1.46%	1.84%	2.67%	0.81%	1.48%	0.07%	1.68%	0.81%	1.26%	1.69%	1.28%	1.84%	1.79%	1.40%	1.71%	1.59%	1.30%	1.47%	1.54%	1.44%					
28	"11. ""Истинные патриоты России"""	38	2	0	0	0	11	0	0	4	4	1	2	1	2	3	1	5	1	1	0					
		0.13%	0.11%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.26%	0.27%	0.06%	0.13%	0.05%	0.12%	0.19%	0.06%	0.32%	0.06%	0.07%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	304	16	14	16	28	13	16	13	15	16	18	20	14	21	22	11	10	15	24	2					
		1.10%	0.95%	1.04%	1.08%	1.88%	0.92%	1.03%	0.88%	1.00%	1.08%	1.10%	1.36%	0.83%	1.33%	1.39%	0.70%	0.65%	1.00%	1.68%	0.96%					
30	"13. ""Демократическая партия России"""	33	2	1	1	2	3	2	1	3	5	1	2	1	3	1	1	0	0	4	0					
