Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Долинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20768	549	560	1849	1860	1160	1716	2326	2250	70	401	1293	1424	859	1086	1275	2090									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18850	500	500	1700	1700	1100	1550	2100	2050	100	350	1050	1300	800	1000	1150	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7524	179	218	687	715	369	689	869	893	50	126	495	434	293	450	368	689									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	237	22	14	17	7	6	11	24	18	20	5	9	6	5	24	28	21									
6	Число погашенных избирательных бюллетеней	11089	299	268	996	978	725	850	1207	1139	30	219	546	860	502	526	754	1190									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	237	22	14	17	7	6	11	24	18	20	5	9	6	5	24	28	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7522	179	218	687	715	369	688	869	893	50	126	495	434	293	450	367	689									
9	Число недействительных избирательных бюллетеней	223	2	4	22	25	9	16	23	25	1	3	12	24	11	14	17	15									
10	Число действительных избирательных бюллетеней	7536	199	228	682	697	366	683	870	886	69	128	492	416	287	460	378	695									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	10	10	30	15	20	25	25	30	0	5	20	10	20	30	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	93	0	5	12	8	6	5	13	10	0	2	12	2	5	11	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	1	4	5	2	3	2	5	9	0	1	21	3	4	3	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	207	10	5	18	7	14	20	12	20	0	3	8	8	15	19	19	29									
