Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
Наименование Избирательной комиссии:    Учалинская																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433					
1	"Число избирателей, внесенных в списки"	54740	285	185	398	191	465	338	356	370	599	1358	145	215	195	799	204	200	166	468	382	497	571	201	258	100	2009	251	464	646	685	654	469	798	529	499	224	430	447	859	772	158	660	615	195	415	425	421	601	340	150	89	286	557	232	101	110	98	141	2186	2332	2276	2261	2694	2200	2589	2493	2647	2664	1455	1455	535	1687	452	538					
2	"Число бюллетеней, полученных участковыми комиссиями"	50853	272	182	366	218	447	324	351	370	550	1338	158	212	191	700	209	194	164	457	377	486	550	183	251	101	1986	255	450	600	678	647	469	794	536	496	228	421	477	858	1012	157	639	607	194	419	413	417	594	328	149	95	279	537	221	97	108	90	139	2000	2004	2000	2000	2400	1970	2160	2000	2340	2350	1200	1283	491	1628	447	539					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	38595	202	125	307	187	404	285	284	300	455	1051	137	200	175	645	163	164	133	361	267	359	437	168	223	88	1454	223	359	420	461	389	273	543	338	321	197	307	349	685	753	122	528	448	163	327	332	308	382	196	139	89	250	427	186	88	91	74	118	1504	1549	1491	1521	1910	1466	1749	1727	1809	1852	704	776	340	1025	308	404					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1077	10	7	3	4	2	0	12	9	23	32	8	0	2	20	11	6	3	11	9	17	11	0	5	1	36	5	15	6	7	18	14	25	11	31	7	19	17	24	19	3	12	5	1	22	12	14	30	16	5	0	10	25	15	3	7	2	7	21	83	20	18	15	19	46	19	22	20	46	29	3	27	26	14					
6	Число погашенных бюллетеней	11192	60	50	56	27	41	39	55	61	72	255	13	12	14	35	35	24	28	85	101	110	102	15	23	12	496	27	76	174	210	242	182	226	187	144	24	95	111	149	240	32	99	154	30	70	69	95	182	116	5	6	19	85	20	6	10	14	14	475	374	489	461	482	485	372	254	509	480	450	470	148	576	112	121					
7	Число бюллетеней в переносных ящиках для голосования	1165	10	7	3	4	2	0	12	9	23	32	8	0	2	20	11	6	3	11	9	17	11	0	5	88	36	5	15	6	7	18	14	25	11	31	7	19	17	24	19	3	12	5	1	22	12	14	30	16	5	0	10	25	15	3	7	2	7	21	83	20	18	16	19	46	19	22	20	46	29	3	27	26	14					
8	Число бюллетеней в стационарных ящиках для голосования	38482	202	125	307	187	404	285	284	300	455	1051	137	200	175	645	163	164	133	361	267	358	437	168	223	1	1450	223	359	419	460	389	273	543	338	321	197	307	349	685	753	122	528	448	163	327	332	308	382	196	139	89	250	427	186	88	91	74	118	1504	1544	1491	1521	1900	1465	1749	1727	1806	1852	704	776	340	1025	308	404					
9	Число недействительных бюллетеней	1493	26	18	10	14	15	32	12	15	0	30	12	0	5	29	15	10	9	23	27	18	26	19	17	6	62	15	19	15	17	23	17	32	10	19	2	11	15	53	29	14	16	31	12	22	8	25	28	12	9	4	25	16	5	5	1	12	9	24	46	32	45	49	55	43	30	34	19	26	24	5	43	19	18					
10	Число действительных бюллетеней	38154	186	114	300	177	391	253	284	294	478	1053	133	200	172	636	159	160	127	349	249	357	422	149	211	83	1424	213	355	410	450	384	270	536	339	333	202	315	351	656	743	111	524	422	152	327	336	297	384	200	135	85	235	436	196	86	97	64	116	1501	1581	1479	1494	1867	1429	1752	1716	1794	1853	724	781	338	1009	315	400					
