Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Новотроицкая городская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877					
1	"Число избирателей, внесенных в списки"	85599	1149	1022	1501	2207	1792	1681	1743	1619	1697	1653	1736	1820	1772	1448	1774	1741	1827	1691	1814	1756	1738	2312	1804	1556	1690	1610	1641	2460	1694	1933	1654	1743	2320	2210	1746	1724	1455	1260	730	2144	954	1616	1218	1028	818	1258	903	1499	253	605	2048	1494	1414	1624					
2	"Число бюллетеней, полученных участковыми комиссиями"	83100	1100	1000	1500	2200	1750	1650	1700	1600	1650	1600	1700	1800	1750	1400	1750	1700	1750	1650	1800	1750	1700	2300	1750	1500	1650	1550	1550	2400	1600	1850	1600	1650	2250	2150	1700	1700	1450	1250	650	2100	850	1550	1150	950	750	1200	850	1500	250	500	2050	1450	1350	1550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43984	559	497	745	1001	800	924	1019	864	971	918	787	784	896	790	978	1015	960	998	957	1001	941	1297	979	816	909	826	894	1391	921	966	860	929	1218	816	841	823	703	555	325	1184	472	715	601	470	354	709	398	705	131	293	1027	850	725	876					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1055	8	22	9	29	22	25	21	19	22	37	22	10	16	21	23	27	21	19	27	18	28	18	21	17	26	20	17	26	20	7	6	10	8	9	24	28	17	20	18	17	26	13	40	32	6	32	17	21	20	25	22	14	5	7					
6	Число погашенных бюллетеней	38061	533	481	746	1170	928	701	660	717	657	645	891	1006	838	589	749	658	769	633	816	731	731	985	750	667	715	704	639	983	659	877	734	711	1024	1325	835	849	730	675	307	899	352	822	509	448	390	459	435	774	99	182	1001	586	620	667					
7	Число бюллетеней в переносных ящиках для голосования	1055	8	22	9	29	22	25	21	19	22	37	22	10	16	21	23	27	21	19	27	18	28	18	21	17	26	20	17	26	20	7	6	10	8	9	24	28	17	20	18	17	26	13	40	32	6	32	17	21	20	25	22	14	5	7					
8	Число бюллетеней в стационарных ящиках для голосования	43968	559	497	745	1001	800	924	1019	864	966	913	787	784	896	790	978	1015	960	998	957	1001	941	1297	979	816	909	826	894	1391	921	966	858	929	1218	816	841	823	701	555	325	1182	472	715	601	470	354	709	398	705	131	293	1027	850	725	876					
9	Число недействительных бюллетеней	797	12	12	15	9	27	24	19	11	10	15	16	7	27	13	23	22	20	14	15	22	14	17	12	5	20	10	5	18	27	13	15	6	7	45	18	25	9	18	11	11	6	15	12	8	13	17	4	26	5	3	21	7	11	10					
10	Число действительных бюллетеней	44226	555	507	739	1021	795	925	1021	872	978	935	793	787	885	798	978	1020	961	1003	969	997	955	1298	988	828	915	836	906	1399	914	960	849	933	1219	780	847	826	709	557	332	1188	492	713	629	494	347	724	411	700	146	315	1028	857	719	873					
