Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Шиханская городская										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК №547	УИК №548	УИК №549					
1	"Число избирателей, внесенных в списки"	5782	2128	2197	1457					
2	"Число бюллетеней, полученных участковыми комиссиями"	5800	2210	2214	1376					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3518	1282	1306	930					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	272	74	110	88					
6	Число погашенных бюллетеней	2010	854	798	358					
7	Число бюллетеней в переносных ящиках для голосования	272	74	110	88					
8	Число бюллетеней в стационарных ящиках для голосования	3516	1280	1306	930					
9	Число недействительных бюллетеней	60	21	26	13					
10	Число действительных бюллетеней	3728	1333	1390	1005					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	35	35	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	33	19	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	5	16	5					
14	Число погашенных открепительных удостоверений	19	2	16	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	48	15	19	14					
		1.26%	1.10%	1.34%	1.37%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	64	24	29	11					
		1.68%	1.77%	2.04%	1.08%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	105	45	35	25					
		2.77%	3.32%	2.47%	2.45%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	83	32	34	17					
		2.19%	2.36%	2.40%	1.66%					
22	"5. ""За Русь Святую"""	24	8	9	7					
		0.63%	0.59%	0.63%	0.68%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	3	4	1					
		0.21%	0.22%	0.28%	0.09%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	8	6	8					
		0.58%	0.59%	0.42%	0.78%					
25	"8. ""Народно-республиканская партия России"""	2	0	1	1					
		0.05%	0.0%	0.07%	0.09%					
26	"9. ""Российская экологическая партия ""Зеленые"""	12	3	5	4					
		0.31%	0.22%	0.35%	0.39%					
27	"10. ""Аграрная партия России"""	55	23	24	8					
		1.45%	1.69%	1.69%	0.78%					
28	"11. ""Истинные патриоты России"""	3	0	1	2					
		0.07%	0.0%	0.07%	0.19%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	58	19	28	11					
		1.53%	1.40%	1.97%	1.08%					
30	"13. ""Демократическая партия России"""	9	6	2	1					
		0.23%	0.44%	0.14%	0.09%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	7	1	5					
		0.34%	0.51%	0.07%	0.49%					
32	"15. ""Партия СЛОН"""	2	2	0	0					
		0.05%	0.14%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	262	96	93	73					
		6.91%	7.09%	6.56%	7.17%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	12	3	2	7					
		0.31%	0.22%	0.14%	0.68%					
35	"18. ""ЛДПР"""	437	158	164	115					
		11.53%	11.66%	11.58%	11.29%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	53	21	17	15					
		1.39%	1.55%	1.20%	1.47%					
37	"20. ""Политическая партия ""Единая Россия"""	1793	612	664	517					
		47.33%	45.19%	46.89%	50.78%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	2	1	2					
		0.13%	0.14%	0.07%	0.19%					
39	"22. ""Развитие предпринимательства"""	12	4	3	5					
		0.31%	0.29%	0.21%	0.49%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	446	186	178	82					
		11.77%	13.73%	12.57%	8.05%					
										
41	Против всех	200	56	70	74					
		5.27%	4.13%	4.94%	7.26%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
