Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва								
Дата голосования: 04.12.2011								
								
Наименование Избирательной комиссии:    Восходненская поселковая								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №202					
1	"Число избирателей, внесенных в список избирателей"	1549	1549					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1400	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	968	968					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	11	11					
6	Число погашенных избирательных бюллетеней	421	421					
7	Число избирательных бюллетеней в переносных ящиках для голосования	11	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	968	968					
9	Число недействительных избирательных бюллетеней	20	20					
10	Число действительных избирательных бюллетеней	959	959					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	26	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	60					
14	Число погашенных неиспользованных открепительных удостоверений	24	24					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0					
16	Число утраченных открепительных удостоверений	0	0					
17	Число утраченных избирательных бюллетеней	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	160	160					
		16.34%	16.34%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	254	254					
		25.94%	25.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	11					
		1.12%	1.12%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	179	179					
		18.28%	18.28%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	26					
		2.66%	2.66%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	322	322					
		32.89%	32.89%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	7					
		0.72%	0.72%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
