Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Восходненская поселковая								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №197					
1	"Число избирателей, внесенных в списки избирателей"	1500	1500					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1400	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	951	951					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	9	9					
6	Число погашенных избирательных бюллетеней	440	440					
7	Число избирательных бюллетеней в переносных ящиках для голосования	9	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	951	951					
9	Число недействительных избирательных бюллетеней	13	13					
10	Число действительных избирательных бюллетеней	947	947					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	33	33					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	33	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	23	23					
14	Число погашенных неиспользованных открепительных удостоверений	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	7					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	21	21					
		2.19%	2.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	13	13					
		1.35%	1.35%					
20	3.Политическая партия «Демократическая партия России»	1	1					
		0.10%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	90	90					
		9.38%	9.38%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	9	9					
		0.94%	0.94%					
23	6.Политическая партия «Партия социальной справедливости»	0	0					
		0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	78	78					
		8.13%	8.13%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	62	62					
		6.46%	6.46%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	9	9					
		0.94%	0.94%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	652	652					
		67.92%	67.92%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	12	12					
		1.25%	1.25%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
