Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Славянская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260	УИК №4261	УИК №4262	УИК №4299					
1	"Число избирателей, внесенных в список избирателей"	96938	2567	1596	1580	1210	2856	2243	2776	2410	1655	2026	2573	2564	1394	2420	1383	2507	1226	1091	2532	1964	2498	2728	1133	2454	1813	1338	2707	262	1166	2023	217	1786	665	365	1550	1625	703	843	1051	484	2080	1875	1850	1846	1724	888	311	2996	1414	1355	2143	937	1187	1280	1281	1114	1355	1069	662	312	453	427	395					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	97807	2480	1620	1550	1280	2800	2190	2780	2450	1720	2360	2740	2480	1450	2290	1442	2600	1290	1130	2530	1980	2720	2700	1190	2530	1820	1340	2650	247	1140	2004	205	1820	711	377	1530	1560	720	846	1160	481	2100	1880	1840	1790	1690	856	327	2930	1390	1330	2160	951	1179	1260	1410	1160	1320	1060	659	317	459	426	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	65205	1473	1125	1102	772	1486	1189	1519	1301	1020	1355	1638	1621	958	1551	1023	1634	747	649	1560	1018	1478	1487	598	1932	1398	855	2165	217	916	1601	183	1183	565	280	1215	1149	474	636	836	181	1595	1545	1220	1453	1307	604	240	2197	1223	896	1697	598	813	1141	1014	790	792	764	390	175	298	317	46					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	8944	130	166	211	239	249	289	279	160	94	120	171	193	131	157	121	170	168	173	119	291	133	208	164	195	158	134	150	28	122	155	18	127	60	17	57	121	108	79	64	206	160	113	147	129	73	80	50	121	85	102	182	136	130	60	70	56	376	146	172	106	81	85	349					
6	Число погашенных избирательных бюллетеней	23658	877	329	237	269	1065	712	982	989	606	885	931	666	361	582	298	796	375	308	851	671	1109	1005	428	403	264	351	335	2	102	248	4	510	86	80	258	290	138	131	260	94	345	222	473	208	310	172	37	612	82	332	281	217	236	59	326	314	152	150	97	36	80	24	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8938	130	166	211	239	249	289	279	160	94	120	171	193	131	157	121	170	168	173	119	291	133	202	164	195	158	134	150	28	122	155	18	127	60	17	57	121	108	79	64	206	160	113	147	129	73	80	50	121	85	102	182	136	130	60	70	56	376	146	172	106	81	85	349					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65198	1472	1125	1102	772	1486	1189	1519	1301	1020	1355	1638	1621	958	1551	1023	1634	747	649	1560	1018	1478	1487	598	1932	1398	855	2165	217	916	1601	183	1183	565	280	1215	1149	474	636	836	181	1595	1545	1220	1453	1307	604	240	2197	1223	896	1697	598	813	1141	1014	789	792	764	385	175	298	317	46					
9	Число недействительных избирательных бюллетеней	581	43	2	1	1	1	19	3	20	18	20	2	4	16	2	3	35	1	2	3	1	2	2	5	0	9	11	3	0	2	1	0	8	3	2	2	23	7	6	0	3	21	31	10	61	14	2	1	13	5	19	0	5	9	19	6	1	15	30	0	0	2	30	1					
10	Число действительных избирательных бюллетеней	73555	1559	1289	1312	1010	1734	1459	1795	1441	1096	1455	1807	1810	1073	1706	1141	1769	914	820	1676	1308	1609	1687	757	2127	1547	978	2312	245	1036	1755	201	1302	622	295	1270	1247	575	709	900	384	1734	1627	1357	1521	1366	682	289	2305	1303	979	1879	729	934	1182	1078	844	1153	880	557	281	377	372	394					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	853	15	20	22	24	15	15	15	23	21	28	29	21	15	10	15	18	6	2	21	20	13	18	10	20	11	9	20	1	10	18	2	24	13	5	15	10	10	10	10	0	18	20	14	10	12	11	4	20	8	10	11	8	3	20	15	25	17	13	8	6	9	7	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	853	15	20	22	24	15	15	15	23	21	28	29	21	15	10	15	18	6	2	21	20	13	18	10	20	11	9	20	1	10	18	2	24	13	5	15	10	10	10	10	0	18	20	14	10	12	11	4	20	8	10	11	8	3	20	15	25	17	13	8	6	9	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	573	19	9	19	5	11	5	11	14	18	8	19	27	36	60	13	11	11	11	23	15	12	13	8	7	9	2	8	1	7	7	1	8	3	2	8	12	2	5	2	4	7	4	5	13	2	5	5	10	5	11	7	1	2	1	5	2	2	4	4	3	2	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	147	4	4	4	3	2	8	2	2	4	4	7	3	4	6	3	13	4	7	3	2	8	13	0	2	1	5	0	0	1	3	0	2	1	0	1	2	1	2	0	0	1	2	1	1	0	0	0	4	0	1	2	0	1	0	0	2	0	1	0	0	0	0	0					
