Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																											
Дата голосования: 04.12.2011																																																																																																											
																																																																																																											
"Наименование Избирательной комиссии:    Самара, Промышленная"																																																																																																											
																																																																																																											
Сводная таблица результатов выборов																																																																																																											
																																																																																																											
		Сумма	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706					
1	"Число избирателей, внесенных в список избирателей"	218748	2604	1895	2548	1860	2065	1915	1747	1812	1917	2443	2450	1912	1948	1782	2478	2399	2294	2920	1724	1763	1925	2087	2077	2393	2044	1973	2684	2285	2384	1459	2414	2237	1823	1907	2269	1930	2730	2509	1963	1982	1996	1922	1888	1833	2261	1929	2550	2051	2219	1951	1976	2076	2447	2096	2082	2185	2148	2494	2277	2235	2003	2230	2372	2196	2371	2630	2682	2325	2620	2402	2007	2150	2360	2427	1524	1748	2239	1678	1957	1972	2172	2094	2088	2105	1961	2489	2410	2095	2179	2255	2315	2091	2653	2727	2909	2782	2442	2689	2310	1922					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	217297	2300	1900	2550	2000	2100	1900	1700	1850	1950	2300	2500	1900	1950	1800	2500	2400	2250	2700	1750	1800	1850	2100	1800	2400	2050	1900	2650	2300	2350	1400	2400	2250	1850	1900	2250	1900	2700	2500	2000	2000	2000	1950	1900	1900	2300	1900	2600	2050	2200	1900	1950	2100	2500	2150	2100	2150	2150	2500	2300	2250	2000	2250	2400	2250	2647	2650	2700	2300	2650	2400	2050	2150	2350	2450	1550	1750	2250	1700	2000	2000	2200	2100	2100	2150	1900	2500	2350	1950	2150	2400	2350	2100	2600	2500	2700	2750	2450	1900	2300	1850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	96084	1205	695	761	603	820	677	670	784	869	944	934	738	931	748	938	891	958	1328	607	733	690	717	698	992	821	761	1042	1007	798	440	1036	977	765	831	1123	832	1344	1131	879	822	972	834	997	817	1062	895	1216	857	1021	937	957	886	1140	867	818	1159	1191	1169	1138	998	961	1023	1174	987	1319	1303	1287	1058	1192	1123	901	1026	1077	1127	725	856	1070	742	879	922	1064	995	952	955	982	1223	1175	1001	915	979	1070	900	1115	1130	1123	1182	1157	988	1137	818					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4798	21	20	29	18	10	12	95	50	11	168	51	14	51	26	35	32	37	25	25	24	152	46	319	19	40	174	37	32	46	86	29	48	57	34	36	48	22	40	45	37	39	37	25	56	35	25	34	28	27	30	27	35	40	31	50	45	26	36	34	28	28	32	18	33	10	13	29	17	20	25	44	26	24	20	17	29	30	27	32	34	35	32	20	23	25	32	46	8	18	33	24	16	8	222	191	121	17	616	5	9					
6	Число погашенных избирательных бюллетеней	116415	1074	1185	1760	1379	1270	1211	935	1016	1070	1188	1515	1148	968	1026	1527	1477	1255	1347	1118	1043	1008	1337	783	1389	1189	965	1571	1261	1506	874	1335	1225	1028	1035	1091	1020	1334	1329	1076	1141	989	1079	878	1027	1203	980	1350	1165	1152	933	966	1179	1320	1252	1232	946	933	1295	1128	1224	1011	1195	1208	1230	1318	1334	1384	1225	1438	1252	1105	1098	1249	1303	808	865	1150	931	1089	1044	1101	1073	1128	1172	893	1245	1129	941	1217	1388	1256	1184	1477	1148	1386	1447	1276	296	1158	1023					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4798	21	20	29	18	10	12	95	50	11	168	51	14	51	26	35	32	37	25	25	24	152	46	319	19	40	174	37	32	46	86	29	48	57	34	36	48	22	40	45	37	39	37	25	56	35	25	34	28	27	30	27	35	40	31	50	45	26	36	34	28	28	32	18	33	10	13	29	17	20	25	44	26	24	20	17	29	30	27	32	34	35	32	20	23	25	32	46	8	18	33	24	16	8	222	191	121	17	616	5	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	95958	1205	695	761	603	820	677	670	783	868	939	934	724	931	748	936	891	958	1303	607	731	689	716	698	973	821	761	1042	1004	798	440	1035	977	765	827	1123	832	1344	1131	879	822	972	834	995	817	1062	895	1215	857	1014	937	957	886	1139	867	816	1159	1191	1169	1138	998	961	1022	1171	987	1319	1303	1287	1058	1192	1123	901	1026	1077	1127	725	853	1067	742	868	922	1064	995	952	952	982	1221	1175	1001	914	979	1070	900	1115	1125	1123	1182	1157	988	1135	818					
9	Число недействительных избирательных бюллетеней	2206	39	17	24	17	11	10	32	22	19	27	14	19	29	22	13	24	28	22	15	22	13	27	21	13	16	17	20	17	18	13	113	18	12	26	36	20	21	11	21	23	22	18	31	37	17	21	30	24	14	19	29	13	17	12	10	20	35	30	21	21	17	26	22	29	24	22	28	27	24	26	11	20	17	16	20	14	18	16	22	16	24	16	20	15	22	39	16	31	14	23	28	17	23	34	22	27	28	26	17	6					
10	Число действительных избирательных бюллетеней	98550	1187	698	766	604	819	679	733	811	860	1080	971	719	953	752	958	899	967	1306	617	733	828	735	996	979	845	918	1059	1019	826	513	951	1007	810	835	1123	860	1345	1160	903	836	989	853	989	836	1080	899	1219	861	1027	948	955	908	1162	886	856	1184	1182	1175	1151	1005	972	1028	1167	991	1305	1294	1288	1048	1188	1122	934	1032	1084	1131	722	868	1079	753	878	940	1075	1011	952	960	985	1214	1205	978	918	989	1066	899	1100	1313	1292	1276	1146	1578	1123	821					
