Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Чемальская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8101	304	189	187	198	125	126	459	392	674	393	681	710	643	457	354	218	341	362	141	114	417	616									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8000	300	185	185	195	123	132	411	390	668	399	675	702	629	463	352	208	346	351	141	109	416	620									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3290	147	87	62	80	57	57	221	140	244	160	266	236	223	164	121	109	156	172	71	43	229	245									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	186	11	1	7	3	0	0	13	25	14	9	4	10	36	3	8	3	12	5	0	6	6	10									
6	Число погашенных избирательных бюллетеней	4524	142	97	116	112	66	75	177	225	410	230	405	456	370	296	223	96	178	174	70	60	181	365									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	186	11	1	7	3	0	0	13	25	14	9	4	10	36	3	8	3	12	5	0	6	6	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3290	147	87	62	80	57	57	221	140	244	160	266	236	223	164	121	109	156	172	71	43	229	245									
9	Число недействительных избирательных бюллетеней	78	2	1	2	3	0	0	5	4	11	1	6	4	9	3	4	4	5	1	1	4	4	4									
10	Число действительных избирательных бюллетеней	3398	156	87	67	80	57	57	229	161	247	168	264	242	250	164	125	108	163	176	70	45	231	251									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	143	6	6	6	6	6	6	6	6	8	7	8	7	7	7	7	6	6	6	6	6	6	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	38	4	0	0	0	0	1	0	3	5	3	8	3	2	1	0	0	1	1	1	0	4	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	72	8	2	0	3	2	0	2	8	9	2	6	0	9	2	2	0	3	7	1	4	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	105	2	6	6	6	6	5	6	3	3	4	0	4	5	6	7	6	5	5	5	6	2	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	254	16	7	16	10	6	10	15	8	26	11	7	16	12	1	5	12	18	10	10	2	20	16									
		7.31%	10.13%	7.95%	23.19%	12.05%	10.53%	17.54%	6.41%	4.85%	10.08%	6.51%	2.59%	6.50%	4.63%	0.60%	3.88%	10.71%	10.71%	5.65%	14.08%	4.08%	8.51%	6.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	81	1	5	1	0	2	1	4	3	3	7	3	4	7	4	8	2	10	7	2	0	5	2									
		2.33%	0.63%	5.68%	1.45%	0.00%	3.51%	1.75%	1.71%	1.82%	1.16%	4.14%	1.11%	1.63%	2.70%	2.40%	6.20%	1.79%	5.95%	3.95%	2.82%	0.00%	2.13%	0.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	40	1	2	0	0	2	2	3	0	2	1	4	1	2	5	4	0	1	2	1	1	2	4									
		1.15%	0.63%	2.27%	0.00%	0.00%	3.51%	3.51%	1.28%	0.00%	0.78%	0.59%	1.48%	0.41%	0.77%	2.99%	3.10%	0.00%	0.60%	1.13%	1.41%	2.04%	0.85%	1.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1470	67	45	31	49	18	15	72	72	88	69	118	107	85	76	49	54	78	82	28	25	136	106									
		42.29%	42.41%	51.14%	44.93%	59.04%	31.58%	26.32%	30.77%	43.64%	34.11%	40.83%	43.70%	43.50%	32.82%	45.51%	37.98%	48.21%	46.43%	46.33%	39.44%	51.02%	57.87%	41.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	0	0	0	0	0	0	2	1	2	0	0	3	1	0	1	0	0	1	2	0	1	4									
		0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.61%	0.78%	0.00%	0.00%	1.22%	0.39%	0.00%	0.78%	0.00%	0.00%	0.56%	2.82%	0.00%	0.43%	1.57%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.43%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	557	32	4	5	8	9	12	42	24	41	41	55	47	55	27	21	15	18	17	10	5	11	58									
		16.02%	20.25%	4.55%	7.25%	9.64%	15.79%	21.05%	17.95%	14.55%	15.89%	24.26%	20.37%	19.11%	21.24%	16.17%	16.28%	13.39%	10.71%	9.60%	14.08%	10.20%	4.68%	22.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	1	0	0	1	0	0	2	1	1	1	1	2	2	0	0	0	0	5	1	2	0	2									
		0.63%	0.63%	0.00%	0.00%	1.20%	0.00%	0.00%	0.85%	0.61%	0.39%	0.59%	0.37%	0.81%	0.77%	0.00%	0.00%	0.00%	0.00%	2.82%	1.41%	4.08%	0.00%	0.78%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	2	0	0	0	2	0	1	0	5	2	1	2	0	2	3	0	1	1	0	1	0	0									
		0.66%	1.27%	0.00%	0.00%	0.00%	3.51%	0.00%	0.43%	0.00%	1.94%	1.18%	0.37%	0.81%	0.00%	1.20%	2.33%	0.00%	0.60%	0.56%	0.00%	2.04%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1									
		0.14%	0.00%	1.14%	0.00%	1.20%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	1	0	0	1	0	3	5	0	4	0	0	3	3	4	1	0	0	3	1	3	3	0									
		1.01%	0.63%	0.00%	0.00%	1.20%	0.00%	5.26%	2.14%	0.00%	1.55%	0.00%	0.00%	1.22%	1.16%	2.40%	0.78%	0.00%	0.00%	1.69%	1.41%	6.12%	1.28%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	787	33	19	10	9	17	13	70	45	67	27	54	45	78	44	33	25	35	42	15	4	48	54									
		22.64%	20.89%	21.59%	14.49%	10.84%	29.82%	22.81%	29.91%	27.27%	25.97%	15.98%	20.00%	18.29%	30.12%	26.35%	25.58%	22.32%	20.83%	23.73%	21.13%	8.16%	20.43%	21.18%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0									
		0.20%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.37%	0.41%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	2.04%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	97	2	3	4	1	0	1	12	7	8	9	20	10	5	1	0	0	0	5	0	1	4	4									
		2.79%	1.27%	3.41%	5.80%	1.20%	0.00%	1.75%	5.13%	4.24%	3.10%	5.33%	7.41%	4.07%	1.93%	0.60%	0.00%	0.00%	0.00%	2.82%	0.00%	2.04%	1.70%	1.57%									
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
