Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Ашинская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870					
1	"Число избирателей, внесенных в списки"	54140	1212	1098	1399	1376	892	1671	1231	1496	1075	2021	640	908	722	1124	522	1135	1137	1169	1442	1927	412	442	844	501	1280	1148	1400	1417	1297	1332	587	1162	772	975	1759	1348	1050	846	977	1115	1012	1151	743	502	1107	1808	637	185	148	104	239	209	995	199	240					
2	"Число бюллетеней, полученных участковыми комиссиями"	51700	1150	1000	1300	1300	900	1550	1150	1450	900	2000	600	920	700	1050	500	1000	1050	1250	1450	1850	360	450	750	500	1200	1100	1450	1430	1230	1280	550	1120	750	930	1720	1400	1000	800	900	1050	950	1120	700	460	1000	1700	600	170	140	100	220	200	900	180	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27193	661	591	803	770	510	855	663	829	536	1085	290	354	283	544	229	523	510	498	609	983	199	205	316	229	676	627	815	782	695	593	351	606	376	523	968	921	437	558	525	520	469	502	310	205	413	675	263	138	77	82	175	113	507	110	106					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	740	12	13	23	8	16	29	24	38	6	29	15	18	12	26	31	22	7	31	21	4	23	14	5	17	35	25	24	16	15	26	2	5	6	7	8	0	4	3	4	10	4	0	0	0	11	24	11	0	0	0	5	20	16	15	0					
6	Число погашенных бюллетеней	23760	477	396	474	522	374	666	463	583	358	886	295	548	405	480	240	455	533	721	820	863	138	231	429	254	489	448	611	632	519	661	197	509	368	400	740	479	559	239	371	518	477	618	390	255	576	1001	326	32	63	18	40	67	377	55	114					
7	Число бюллетеней в переносных ящиках для голосования	740	12	13	23	8	16	29	24	38	6	29	15	18	12	26	31	22	7	31	21	4	23	14	5	17	35	25	24	16	15	26	2	5	6	7	8	0	4	3	4	10	4	0	0	0	11	24	11	0	0	0	5	20	16	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	27146	660	591	803	770	510	852	663	828	535	1085	290	354	283	544	228	523	510	464	609	983	199	203	316	229	676	627	815	782	695	593	351	606	376	523	964	921	437	558	525	520	469	502	310	205	413	675	263	138	77	82	175	113	507	110	106					
9	Число недействительных бюллетеней	581	9	7	10	17	0	24	13	19	12	15	3	10	8	12	6	5	13	8	40	13	8	4	9	12	24	13	25	18	16	33	4	13	5	8	17	0	2	11	5	6	13	14	9	0	12	18	0	10	2	3	0	4	12	1	6					
10	Число действительных бюллетеней	27305	663	597	816	761	526	857	674	847	529	1099	302	362	287	558	253	540	504	487	590	974	214	213	312	234	687	639	814	780	694	586	349	598	377	522	955	921	439	550	524	524	460	488	301	205	412	681	274	128	75	79	180	129	511	124	100					
