Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Овюрская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108					
1	"Число избирателей, внесенных в список избирателей"	3817	229	337	443	1809	552	447					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4065	230	345	480	1930	620	460					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	399	47	59	84	44	88	77					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2755	171	247	296	1331	369	341					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	145	11	16	16	53	30	19					
6	Число погашенных избирательных бюллетеней	766	1	23	84	502	133	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	544	58	75	100	97	118	96					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2755	171	247	296	1331	369	341					
9	Число недействительных избирательных бюллетеней	53	1	3	5	23	12	9					
10	Число действительных избирательных бюллетеней	3246	228	319	391	1405	475	428					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	50	5	6	0	25	7	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	42	5	6	0	20	7	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	4	2	0	11	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	8	0	0	0	5	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	276	6	11	17	176	53	13					
		8.37%	2.62%	3.42%	4.29%	12.32%	10.88%	2.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	39	0	10	3	16	6	4					
		1.18%	0.00%	3.11%	0.76%	1.12%	1.23%	0.92%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	3	2	2	7	7	3					
		0.73%	1.31%	0.62%	0.51%	0.49%	1.44%	0.69%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	130	5	18	11	64	22	10					
		3.94%	2.18%	5.59%	2.78%	4.48%	4.52%	2.29%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	1	0	1	4	3	2					
		0.33%	0.44%	0.00%	0.25%	0.28%	0.62%	0.46%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2753	212	278	355	1134	380	394					
		83.45%	92.58%	86.34%	89.65%	79.41%	78.03%	90.16%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	13	1	0	2	4	4	2					
		0.39%	0.44%	0.00%	0.51%	0.28%	0.82%	0.46%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
