Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Овюрская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107					
1	"Число избирателей, внесенных в списки избирателей"	4266	257	443	542	1790	650	584					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4264	257	450	569	1683	646	659					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	620	64	85	140	132	137	62					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3344	193	319	390	1476	490	476					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	171	0	39	12	65	9	46					
6	Число погашенных избирательных бюллетеней	129	0	7	27	10	10	75					
7	Число избирательных бюллетеней в переносных ящиках для голосования	791	64	124	152	197	146	108					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3344	193	319	390	1476	490	476					
9	Число недействительных избирательных бюллетеней	3	0	3	0	0	0	0					
10	Число действительных избирательных бюллетеней	4132	257	440	542	1673	636	584					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	48	5	3	4	18	10	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	19	0	2	1	10	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	11	0	2	0	9	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	29	5	1	3	8	6	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	9	1	0	0	8	0	0					
		0.22%	0.39%	0.00%	0.00%	0.48%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	1	1	0	3	0	1					
		0.15%	0.39%	0.23%	0.00%	0.18%	0.00%	0.17%					
20	3.Политическая партия «Демократическая партия России»	4	0	0	0	4	0	0					
		0.10%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	35	0	4	0	21	4	6					
		0.85%	0.00%	0.90%	0.00%	1.26%	0.63%	1.03%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	8	0	0	0	7	0	1					
		0.19%	0.00%	0.00%	0.00%	0.42%	0.00%	0.17%					
23	6.Политическая партия «Партия социальной справедливости»	4	0	0	0	4	0	0					
		0.10%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	16	0	3	0	12	0	1					
		0.39%	0.00%	0.68%	0.00%	0.72%	0.00%	0.17%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11	1	1	0	7	0	2					
		0.27%	0.39%	0.23%	0.00%	0.42%	0.00%	0.34%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	25	1	4	0	18	2	0					
		0.60%	0.39%	0.90%	0.00%	1.08%	0.31%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4003	252	426	542	1580	630	573					
		96.81%	98.05%	96.16%	10.00%	94.44%	99.06%	98.12%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	11	1	1	0	9	0	0					
		0.27%	0.39%	0.23%	0.00%	0.54%	0.00%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
