Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Амгинская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61					
1	"Число избирателей, внесенных в список"	9116	892	356	441	213	628	677	426	1199	348	390	731	338	320	503	281	1373					
2	Число полученных избирательных бюллетеней	9595	900	375	490	250	670	680	475	1215	390	410	750	380	360	550	310	1390					
3	"Число избирательных бюллетеней, выданных  досрочно"	63	0	0	14	0	9	0	1	3	0	0	4	12	12	0	5	3					
4	"Число избирательных бюллетеней, выданных в день голосования"	7224	723	336	332	197	528	509	379	813	259	337	635	261	266	411	246	992					
5	"Число избирательных бюллетеней, выданных вне помещения"	1027	141	6	89	14	54	108	38	119	74	35	64	42	42	69	21	111					
6	Число погашенных избирательных бюллетеней	1281	36	33	55	39	79	63	57	280	57	38	47	65	40	70	38	284					
7	Число избирательных бюллетеней в переносных ящиках	1090	141	6	103	14	63	108	39	122	74	35	68	54	54	69	26	114					
8	Число бюллетеней в стационарных ящиках для голосования	7224	723	336	332	197	528	509	379	813	259	337	635	261	266	411	246	992					
9	Число недействительных избирательных бюллетеней	115	19	0	4	1	9	12	9	6	3	9	7	8	1	12	2	13					
10	Число действительных избирательных бюллетеней	8199	845	342	431	210	582	605	409	929	330	363	696	307	319	468	270	1093					
11	Число полученных открепительных  удостоверений	394	35	25	20	20	30	15	25	30	22	8	25	25	35	25	25	29					
12	Число выданных открепительных удостоверений	344	28	18	20	19	25	14	22	27	21	8	21	25	30	18	24	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	19	8	6	3	9	26	1	17	6	0	6	1	8	10	6	21					
14	Число неиспользованных открепительных удостоверений	50	7	7	0	1	5	1	3	3	1	0	4	0	5	7	1	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	242	33	12	10	1	16	22	16	29	3	7	25	10	8	10	6	34					
		2.91%	3.82%	3.51%	2.30%	0.47%	2.71%	3.57%	3.83%	3.10%	0.90%	1.88%	3.56%	3.17%	2.50%	2.08%	2.21%	3.07%					
19	. Малышкин Олег Александрович	49	1	3	3	1	2	4	8	3	1	5	4	3	2	3	2	4					
		0.59%	0.12%	0.88%	0.69%	0.47%	0.34%	0.65%	1.91%	0.32%	0.30%	1.34%	0.57%	0.95%	0.62%	0.62%	0.74%	0.36%					
20	. Миронов Сергей Михайлович	58	9	5	2	1	10	3	1	4	1	0	8	1	3	5	1	4					
		0.70%	1.04%	1.46%	0.46%	0.47%	1.69%	0.49%	0.24%	0.43%	0.30%	0.00%	1.14%	0.32%	0.94%	1.04%	0.37%	0.36%					
21	. Путин Владимир Владимирович	5895	615	259	301	137	396	412	311	645	236	297	487	239	221	347	216	776					
		70.90%	71.18%	75.73%	69.20%	64.93%	67.01%	66.77%	74.40%	68.98%	70.87%	79.84%	69.27%	75.87%	69.06%	72.29%	79.41%	70.16%					
22	. Хакамада Ирина Муцуовна	788	99	22	56	48	41	53	25	116	18	11	60	20	61	42	13	103					
		9.48%	11.46%	6.43%	12.87%	22.75%	6.94%	8.59%	5.98%	12.41%	5.41%	2.96%	8.53%	6.35%	19.06%	8.75%	4.78%	9.31%					
23	. Харитонов Николай Михайлович	1023	65	35	52	20	104	103	44	114	68	33	108	28	23	53	32	141					
		12.30%	7.52%	10.23%	11.95%	9.48%	17.60%	16.69%	10.53%	12.19%	20.42%	8.87%	15.36%	8.89%	7.19%	11.04%	11.76%	12.75%					
																							
24	Против всех	144	23	6	7	2	13	8	4	18	3	10	4	6	1	8	0	31					
		1.73%	2.66%	1.75%	1.61%	0.95%	2.20%	1.30%	0.96%	1.93%	0.90%	2.69%	0.57%	1.90%	0.31%	1.67%	0.00%	2.80%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
