Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Район Нагатинский Затон																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК  3153	УИК  3154					
1	"Число избирателей, внесенных в списки"	70661	1841	2098	2523	2319	2155	2679	2467	2373	2159	2647	2215	1638	1536	1448	2810	2527	2303	2663	2210	2171	2590	2440	2183	2101	2720	2689	1801	1933	2090	2146	2101	962	23	100					
2	"Число бюллетеней, полученных участковыми комиссиями"	68652	1800	2000	2400	2300	2100	2700	2500	2300	2100	2600	2100	1600	1500	1432	2800	2500	2300	2600	2000	2100	2500	2400	2100	2100	2700	2500	1800	1500	2100	2100	2100	890	30	100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41209	1093	1207	1640	1354	1268	1508	1357	1365	1227	1437	1296	957	960	823	1646	1539	1442	1528	1258	1272	1439	1398	1308	1228	1609	1686	1027	1104	1046	1194	1238	637	18	100					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1025	33	39	27	28	45	33	31	28	27	43	41	33	27	35	33	27	54	27	28	22	31	37	23	27	25	33	24	37	35	39	39	9	5	0					
6	Число погашенных бюллетеней	26418	674	754	733	918	787	1159	1112	907	846	1120	763	610	513	574	1121	934	804	1045	714	806	1030	965	769	845	1066	781	749	359	1019	867	823	244	7	0					
7	Число бюллетеней в переносных ящиках для голосования	1025	33	39	27	28	45	33	31	28	27	43	41	33	27	35	33	27	54	27	28	22	31	37	23	27	25	33	24	37	35	39	39	9	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	40940	1093	1204	1640	1350	1268	1508	1334	1329	1225	1437	1292	957	958	823	1613	1535	1442	1527	1258	1270	1434	1378	1306	1180	1609	1649	1027	1103	1046	1194	1196	637	18	100					
9	Число недействительных бюллетеней	549	24	12	11	27	22	46	22	16	10	9	15	13	7	10	22	27	13	19	15	22	12	14	13	17	17	20	8	10	36	16	11	6	4	3					
10	Число действительных бюллетеней	41416	1102	1231	1656	1351	1291	1495	1343	1341	1242	1471	1318	977	978	848	1624	1535	1483	1535	1271	1270	1453	1401	1316	1190	1617	1662	1043	1130	1045	1217	1224	640	19	97					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1415	37	43	48	47	44	55	50	47	43	53	43	33	32	29	57	50	46	53	44	44	52	49	44	42	55	54	36	39	42	43	43	18	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	799	10	30	26	18	24	55	27	23	23	17	14	13	16	10	28	20	41	39	15	30	30	38	17	25	40	38	16	31	26	18	28	13	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	693	16	12	188	7	39	20	16	20	17	13	18	9	7	17	14	10	20	15	7	18	17	26	8	12	18	18	9	26	6	30	18	13	0	9					
14	Число погашенных открепительных удостоверений	616	27	13	22	29	20	0	23	24	20	36	29	20	16	19	29	30	5	14	29	14	22	11	27	17	15	16	20	8	16	25	15	5	0	0					
15	Число открепительных удостоверений выданных ТИК	151	4	1	15	6	5	11	17	5	2	10	3	3	3	9	7	0	4	4	1	5	1	2	4	2	1	5	2	9	1	2	6	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	266	7	2	7	5	5	6	7	10	9	6	6	8	6	5	11	10	8	9	11	4	12	14	15	13	13	8	9	3	11	10	7	6	0	3					
		0.63%	0.62%	0.16%	0.41%	0.36%	0.38%	0.38%	0.51%	0.73%	0.71%	0.40%	0.45%	0.80%	0.60%	0.58%	0.66%	0.64%	0.53%	0.57%	0.85%	0.30%	0.81%	0.98%	1.12%	1.07%	0.79%	0.47%	0.85%	0.26%	1.01%	0.81%	0.56%	0.92%	0.0%	3.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2703	105	91	132	101	82	106	80	74	90	113	110	84	61	42	88	93	88	100	59	75	95	58	81	14	145	82	57	75	67	76	80	92	3	4					
		6.44%	9.32%	7.32%	7.91%	7.32%	6.24%	6.87%	5.86%	5.45%	7.18%	7.63%	8.25%	8.48%	6.19%	4.89%	5.34%	5.95%	5.88%	6.43%	4.58%	5.80%	6.48%	4.09%	6.09%	1.15%	8.87%	4.87%	5.42%	6.57%	6.19%	6.16%	6.47%	14.24%	13.04%	4.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	887	21	31	28	36	34	26	32	23	36	26	36	17	15	13	36	32	41	35	31	25	29	21	36	6	43	42	19	23	26	23	31	10	1	3					
