Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607					
1	"Число избирателей, внесенных в списки избирателей"	109941	1900	2220	1422	1973	1900	1179	1352	1779	1809	1682	2578	2139	1960	1466	2302	1936	2585	2024	2193	1389	996	1388	2149	2216	2594	1745	1306	2273	2422	2092	1527	1372	1908	1934	1757	2028	1499	1083	1786	2336	250	1445	1520	1267	1603	1267	1674	1465	168	2530	1442	1494	1671	1331	419	1518	1234	2223	1050	2111	1342	1527	1638	2489	576	488					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	103100	1900	2200	1300	1800	1800	1100	1300	1700	1750	1600	2500	2000	1900	1400	2200	1800	2500	1900	2100	1300	900	1300	2000	2000	2500	1600	1200	2200	2300	2000	1400	1300	1800	1900	1700	1800	1400	1000	1600	1900	350	1350	1400	1200	1400	1100	1600	1400	200	2300	1250	1400	1500	1200	400	1400	1200	2100	1000	2000	1200	1400	1600	2400	500	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57097	1030	1133	819	1135	1047	676	807	1016	1020	960	1499	1281	1065	842	1180	1033	1276	1021	1274	765	438	665	875	1230	1398	1025	636	1173	1295	1136	716	708	1030	1004	910	1076	784	576	1300	1240	97	612	505	512	628	497	821	758	40	1276	862	839	832	690	245	807	686	1204	504	1188	500	597	722	1224	227	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2249	17	25	9	16	12	15	31	18	27	32	20	45	34	29	40	52	31	29	19	7	3	18	21	29	46	30	20	27	51	26	23	44	30	36	36	23	30	27	1	7	153	22	23	27	57	37	23	34	128	28	14	27	22	23	126	21	18	30	25	22	49	70	35	26	18	155					
6	Число погашенных избирательных бюллетеней	43754	853	1042	472	649	741	409	462	666	703	608	981	674	801	529	980	715	1193	850	807	528	459	617	1104	741	1056	545	544	1000	954	838	661	548	740	860	754	701	586	397	299	653	100	716	872	661	715	566	756	608	32	996	374	534	646	487	29	572	496	866	471	790	651	733	843	1150	255	115					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2248	17	25	9	16	12	15	31	18	27	32	20	45	34	29	40	52	31	29	19	7	3	18	21	29	46	30	20	27	51	26	23	44	30	36	36	23	30	27	1	7	153	22	23	27	57	37	23	34	128	28	14	27	22	23	125	21	18	30	25	22	49	70	35	26	18	155					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57050	1028	1133	819	1135	1047	676	806	1016	1017	960	1498	1272	1057	842	1179	1033	1271	1021	1274	765	438	665	875	1230	1398	1025	636	1173	1294	1135	716	707	1030	1004	909	1074	783	576	1300	1238	97	612	505	512	628	497	821	758	40	1275	862	837	832	690	244	806	686	1204	504	1187	499	597	721	1224	227	130					
9	Число недействительных избирательных бюллетеней	617	10	15	5	8	11	4	8	13	9	11	12	11	10	10	14	13	20	10	7	7	6	17	11	11	7	5	9	9	16	15	4	8	17	7	10	9	7	6	9	13	1	9	16	2	6	8	7	9	0	20	11	9	6	13	6	12	5	10	9	19	3	4	14	13	1	0					
10	Число действительных избирательных бюллетеней	58681	1035	1143	823	1143	1048	687	829	1021	1035	981	1506	1306	1081	861	1205	1072	1282	1040	1286	765	435	666	885	1248	1437	1050	647	1191	1329	1146	735	743	1043	1033	935	1088	806	597	1292	1232	249	625	512	537	679	526	837	783	168	1283	865	855	848	700	363	815	699	1224	520	1190	545	663	742	1237	244	285					
