Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Каргапольская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №368	УИК №370	УИК №371	УИК №374	УИК №376	УИК №377	УИК №378	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №1170	УИК №1171	УИК №1172	УИК №1173									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23239	146	315	476	717	581	353	810	765	213	718	459	580	799	573	706	785	864	644	372	523	599	314	272	428	1014	197	193	441	1139	840	903	664	790	743	469	162	806	716	677	473									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23100	150	300	450	700	600	350	800	750	220	700	480	600	800	600	700	800	850	650	380	520	600	300	300	400	1000	200	200	450	1100	800	900	650	800	750	450	160	800	740	650	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9723	78	104	177	324	232	162	296	288	96	365	153	297	265	224	243	279	291	265	213	255	323	210	176	206	389	121	94	204	470	334	365	265	296	344	179	60	339	321	231	189									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2262	14	93	51	81	80	23	75	111	44	17	110	82	115	32	32	26	92	93	45	36	45	40	18	49	158	26	40	69	116	34	34	38	21	56	24	28	70	69	51	24									
6	Число погашенных избирательных бюллетеней	11115	58	103	222	295	288	165	429	351	80	318	217	221	420	344	425	495	467	292	122	229	232	50	106	145	453	53	66	177	514	432	501	347	483	350	247	72	391	350	368	237									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2262	14	93	51	81	80	23	75	111	44	17	110	82	115	32	32	26	92	93	45	36	45	40	18	49	158	26	40	69	116	34	34	38	21	56	24	28	70	69	51	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9723	78	104	177	324	232	162	296	288	96	365	153	297	265	224	243	279	291	265	213	255	323	210	176	206	389	121	94	204	470	334	365	265	296	344	179	60	339	321	231	189									
9	Число недействительных избирательных бюллетеней	151	1	4	2	0	10	6	1	1	0	2	3	7	5	2	3	3	9	4	1	1	3	1	0	5	7	4	1	1	5	10	4	2	3	6	1	1	10	11	11	0									
10	Число действительных избирательных бюллетеней	11834	91	193	226	405	302	179	370	398	140	380	260	372	375	254	272	302	374	354	257	290	365	249	194	250	540	143	133	272	581	358	395	301	314	394	202	87	399	379	271	213									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	418	7	8	7	15	10	8	10	15	7	15	20	20	10	10	10	6	20	10	10	10	10	10	10	10	15	10	10	15	25	7	7	7	7	7	7	5	7	7	7	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	418	7	8	7	15	10	8	10	15	7	15	20	20	10	10	10	6	20	10	10	10	10	10	10	10	15	10	10	15	25	7	7	7	7	7	7	5	7	7	7	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	128	1	3	0	5	2	3	4	3	1	1	2	0	6	2	4	2	1	2	0	1	4	2	1	21	3	1	5	1	4	5	3	5	8	6	3	2	1	2	8	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	4	0	0	1	0	7	3	3	6	5	1	0	8	3	12	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	127	2	3	4	5	3	3	3	4	1	7	1	8	0	4	1	1	5	0	2	6	6	1	2	2	4	1	0	3	7	9	5	0	3	2	0	1	8	4	1	5									
		1.06%	2.17%	1.52%	1.75%	1.23%	0.96%	1.62%	0.81%	1.00%	0.71%	1.83%	0.38%	2.11%	0.00%	1.56%	0.36%	0.33%	1.31%	0.00%	0.78%	2.06%	1.63%	0.40%	1.03%	0.78%	0.73%	0.68%	0.00%	1.10%	1.19%	2.45%	1.25%	0.00%	0.95%	0.50%	0.00%	1.14%	1.96%	1.03%	0.35%	2.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	369	4	8	11	17	10	4	7	13	4	12	4	16	11	5	11	11	22	14	6	7	11	4	4	4	14	5	4	9	18	10	13	8	6	11	7	3	17	13	7	4									
		3.08%	4.35%	4.06%	4.82%	4.20%	3.21%	2.16%	1.89%	3.26%	2.86%	3.14%	1.52%	4.22%	2.89%	1.95%	4.00%	3.61%	5.74%	3.91%	2.33%	2.41%	2.99%	1.60%	2.06%	1.57%	2.56%	3.40%	2.99%	3.30%	3.07%	2.72%	3.26%	2.64%	1.89%	2.75%	3.45%	3.41%	4.16%	3.33%	2.48%	1.88%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	262	1	0	1	12	15	1	3	9	1	10	2	7	8	9	5	8	10	18	7	4	1	7	7	5	8	1	8	6	11	9	6	6	15	12	7	0	14	0	4	4									
		2.19%	1.09%	0.00%	0.44%	2.96%	4.81%	0.54%	0.81%	2.26%	0.71%	2.62%	0.76%	1.85%	2.11%	3.52%	1.82%	2.62%	2.61%	5.03%	2.71%	1.37%	0.27%	2.80%	3.61%	1.96%	1.46%	0.68%	5.97%	2.20%	1.88%	2.45%	1.50%	1.98%	4.73%	3.00%	3.45%	0.00%	3.42%	0.00%	1.42%	1.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5863	47	107	112	205	164	92	199	213	98	219	177	153	193	132	116	142	176	125	152	163	249	176	108	114	291	83	71	135	262	117	171	133	126	181	90	49	136	169	115	102									
		48.92%	51.09%	54.31%	49.12%	50.62%	52.56%	49.73%	53.64%	53.38%	70.00%	57.33%	67.30%	40.37%	50.79%	51.56%	42.18%	46.56%	45.95%	34.92%	58.91%	56.01%	67.66%	70.40%	55.67%	44.71%	53.20%	56.46%	52.99%	49.45%	44.71%	31.79%	42.86%	43.89%	39.75%	45.25%	44.33%	55.68%	33.25%	43.33%	40.78%	47.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	37	1	0	0	0	0	0	3	0	0	3	0	0	4	0	2	0	1	2	0	0	0	1	0	0	2	0	0	1	1	4	1	0	0	0	5	0	1	0	2	3									
		0.31%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.79%	0.00%	0.00%	1.05%	0.00%	0.73%	0.00%	0.26%	0.56%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.37%	0.00%	0.00%	0.37%	0.17%	1.09%	0.25%	0.00%	0.00%	0.00%	2.46%	0.00%	0.24%	0.00%	0.71%	1.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	1	0	0	1	0	1	0	0	2	0	2	0									
		0.13%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.37%	0.00%	0.00%	0.37%	0.17%	0.00%	0.00%	0.33%	0.00%	0.25%	0.00%	0.00%	0.49%	0.00%	0.71%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2297	17	27	37	100	56	42	85	72	22	65	28	81	57	56	67	70	64	83	39	65	40	32	31	33	120	34	24	50	155	79	72	48	66	59	36	13	106	59	58	49									
		19.17%	18.48%	13.71%	16.23%	24.69%	17.95%	22.70%	22.91%	18.05%	15.71%	17.02%	10.65%	21.37%	15.00%	21.88%	24.36%	22.95%	16.71%	23.18%	15.12%	22.34%	10.87%	12.80%	15.98%	12.94%	21.94%	23.13%	17.91%	18.32%	26.45%	21.47%	18.05%	15.84%	20.82%	14.75%	17.73%	14.77%	25.92%	15.13%	20.57%	23.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	34	0	1	0	0	1	2	1	0	0	2	0	0	3	0	0	2	4	0	0	0	0	0	0	0	2	1	0	1	1	0	1	1	1	1	0	1	3	3	1	1									
		0.28%	0.00%	0.51%	0.00%	0.00%	0.32%	1.08%	0.27%	0.00%	0.00%	0.52%	0.00%	0.00%	0.79%	0.00%	0.00%	0.66%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.68%	0.00%	0.37%	0.17%	0.00%	0.25%	0.33%	0.32%	0.25%	0.00%	1.14%	0.73%	0.77%	0.35%	0.47%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	46	1	0	0	1	0	0	1	1	0	2	0	2	3	1	2	0	1	0	0	0	0	0	0	4	2	0	0	2	2	3	2	0	3	1	0	0	4	3	4	1									
		0.38%	1.09%	0.00%	0.00%	0.25%	0.00%	0.00%	0.27%	0.25%	0.00%	0.52%	0.00%	0.53%	0.79%	0.39%	0.73%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.57%	0.37%	0.00%	0.00%	0.73%	0.34%	0.82%	0.50%	0.00%	0.95%	0.25%	0.00%	0.00%	0.98%	0.77%	1.42%	0.47%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.26%	0.00%	0.26%	0.53%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.34%	0.00%	1.20%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.17%	0.27%	0.25%	0.33%	0.00%	0.00%	0.49%	0.00%	0.24%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	68	0	2	1	0	1	0	1	1	0	0	2	1	6	1	1	3	0	2	2	1	2	0	0	4	5	0	4	1	1	0	2	2	3	5	2	3	4	1	3	1									
		0.57%	0.00%	1.02%	0.44%	0.00%	0.32%	0.00%	0.27%	0.25%	0.00%	0.00%	0.76%	0.26%	1.58%	0.39%	0.36%	0.98%	0.00%	0.56%	0.78%	0.34%	0.54%	0.00%	0.00%	1.57%	0.91%	0.00%	2.99%	0.37%	0.17%	0.00%	0.50%	0.66%	0.95%	1.25%	0.99%	3.41%	0.98%	0.26%	1.06%	0.47%									
