Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Татышлинская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19181	315	60	311	519	143	199	172	253	87	253	375	135	110	544	366	255	332	85	1215	1355	517	1354	1107	512	200	57	432	444	67	407	269	588	236	484	439	162	170	111	658	223	254	135	505	195	367	739	404	341	340	209	171									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19600	320	64	316	528	144	203	173	253	84	258	353	139	114	551	366	257	333	93	1230	1380	522	1373	1130	594	203	58	433	447	68	417	272	603	244	488	445	162	173	111	664	226	257	138	513	199	374	846	407	343	346	213	172									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17848	304	60	287	461	138	188	153	212	67	229	348	120	99	502	330	228	300	80	1192	1329	476	1245	993	460	185	57	399	439	63	374	242	531	206	438	373	158	154	105	597	214	243	117	497	190	358	683	400	332	333	192	167									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	222	0	0	0	7	0	6	8	22	5	4	5	8	4	0	6	7	5	5	1	0	0	0	39	0	0	0	0	0	0	0	6	13	11	6	30	0	2	0	5	3	2	12	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	1530	16	4	29	60	6	9	12	19	12	25	0	11	11	49	30	22	28	8	37	51	46	128	98	134	18	1	34	8	5	43	24	59	27	44	42	4	17	6	62	9	12	9	16	9	16	163	7	11	13	21	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	222	0	0	0	7	0	6	8	22	5	4	5	8	4	0	6	7	5	5	1	0	0	0	39	0	0	0	0	0	0	0	6	13	11	6	30	0	2	0	5	3	2	12	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17844	304	60	287	461	138	188	153	212	67	229	348	120	99	502	330	228	300	80	1192	1329	476	1245	993	456	185	57	399	439	63	374	242	531	206	438	373	158	154	105	597	214	243	117	497	190	358	683	400	332	333	192	167									
9	Число недействительных избирательных бюллетеней	168	0	1	0	0	0	0	0	0	4	0	0	0	0	0	5	3	0	0	0	16	0	4	7	6	0	0	0	0	0	0	0	3	0	0	5	1	10	0	5	0	0	0	0	0	0	82	0	0	13	3	0									
10	Число действительных избирательных бюллетеней	17898	304	59	287	468	138	194	161	234	68	233	353	128	103	502	331	232	305	85	1193	1313	476	1241	1025	450	185	57	399	439	63	374	248	541	217	444	398	157	146	105	597	217	245	129	497	190	358	601	400	332	320	189	167									
