Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Княгининская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №972	УИК №973	УИК №974	УИК №975	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981					
1	"Число избирателей, внесенных в список избирателей"	10025	1957	1504	829	575	998	467	465	373	479	548	314	308	217	377	614					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8200	1600	1300	650	450	800	390	350	300	400	450	300	250	160	300	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5636	1274	1026	451	348	513	234	195	154	241	230	221	160	108	138	343					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	730	48	71	45	12	37	51	107	50	33	57	43	41	8	64	63					
6	Число погашенных избирательных бюллетеней	1834	278	203	154	90	250	105	48	96	126	163	36	49	44	98	94					
7	Число избирательных бюллетеней в переносных ящиках для голосования	730	48	71	45	12	37	51	107	50	33	57	43	41	8	64	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5636	1274	1026	451	348	513	234	195	154	241	230	221	160	108	138	343					
9	Число недействительных избирательных бюллетеней	77	10	18	3	9	13	2	2	3	1	1	4	3	5	1	2					
10	Число действительных избирательных бюллетеней	6289	1312	1079	493	351	537	283	300	201	273	286	260	198	111	201	404					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	380	50	60	40	30	40	20	15	15	20	15	15	15	10	15	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	75	10	19	7	4	6	0	3	3	0	6	1	1	2	4	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	15	39	6	7	7	1	2	8	1	2	1	4	0	0	8					
14	Число погашенных неиспользованных открепительных удостоверений	305	40	41	33	26	34	20	12	12	20	9	14	14	8	11	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	856	194	156	82	52	97	24	20	37	27	41	20	21	11	15	59					
		13.45%	14.67%	14.22%	16.53%	14.44%	17.64%	8.42%	6.62%	18.14%	9.85%	14.29%	7.58%	10.45%	9.48%	7.43%	14.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	643	122	138	36	39	63	43	11	24	14	39	38	16	3	19	38					
		10.10%	9.23%	12.58%	7.26%	10.83%	11.45%	15.09%	3.64%	11.76%	5.11%	13.59%	14.39%	7.96%	2.59%	9.41%	9.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	43	2	7	5	4	4	1	3	3	1	1	6	2	3	0	1					
		0.68%	0.15%	0.64%	1.01%	1.11%	0.73%	0.35%	0.99%	1.47%	0.36%	0.35%	2.27%	0.99%	2.59%	0.00%	0.25%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1592	458	267	140	91	127	42	69	28	57	81	38	44	30	45	75					
		25.01%	34.64%	24.34%	28.23%	25.28%	23.09%	14.74%	22.85%	13.73%	20.80%	28.22%	14.39%	21.89%	25.86%	22.28%	18.47%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	64	18	12	6	7	3	2	1	1	4	2	2	2	1	0	3					
		1.01%	1.36%	1.09%	1.21%	1.94%	0.55%	0.70%	0.33%	0.49%	1.46%	0.70%	0.76%	0.99%	0.86%	0.00%	0.74%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3066	517	492	219	157	241	171	194	108	169	121	156	111	63	121	226					
		48.16%	39.11%	44.85%	44.15%	43.61%	43.82%	60.00%	64.24%	52.94%	61.68%	42.16%	59.09%	55.22%	54.31%	59.90%	55.67%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	25	1	7	5	1	2	0	2	0	1	1	0	2	0	1	2					
		0.39%	0.08%	0.64%	1.01%	0.28%	0.36%	0.00%	0.66%	0.00%	0.36%	0.35%	0.00%	0.99%	0.00%	0.50%	0.49%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
