Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Княгининская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981					
1	"Число избирателей, внесенных в списки избирателей"	9981	1672	1586	989	557	1090	478	167	298	328	429	455	99	310	319	236	365	603					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9380	1500	1200	950	550	1050	490	170	310	330	420	450	95	310	325	230	375	625					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5724	1016	948	551	274	647	218	95	177	204	248	272	56	201	164	138	166	349					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	631	42	60	30	4	43	57	10	12	62	13	18	10	49	61	15	59	86					
6	Число погашенных избирательных бюллетеней	3025	442	192	369	272	360	215	65	121	64	159	160	29	60	100	77	150	190					
7	Число избирательных бюллетеней в переносных ящиках для голосования	631	42	60	30	4	43	57	10	12	62	13	18	10	49	61	15	59	86					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5724	1016	948	551	274	647	218	95	177	204	248	272	56	201	164	138	166	349					
9	Число недействительных избирательных бюллетеней	93	12	17	5	4	14	4	3	2	5	9	3	1	3	1	5	0	5					
10	Число действительных избирательных бюллетеней	6262	1046	991	576	274	676	271	102	187	261	252	287	65	247	224	148	225	430					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	340	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	99	7	9	8	2	4	12	1	2	1	8	16	0	0	10	2	7	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	82	13	36	5	1	2	4	1	2	1	1	4	2	1	2	2	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	241	13	11	12	18	16	8	19	18	19	12	4	20	20	10	18	13	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	1.Политическая партия «Аграрная партия России»	149	15	19	7	15	9	11	1	4	9	7	7	3	9	3	7	4	19					
		2.34%	1.42%	1.88%	1.20%	5.40%	1.30%	4.00%	0.95%	2.12%	3.38%	2.68%	2.41%	4.55%	3.60%	1.33%	4.58%	1.78%	4.37%					
19	2.Всероссийская политическая партия «Гражданская Сила»	42	8	4	4	1	7	1	0	1	5	0	2	0	1	1	2	0	5					
		0.66%	0.76%	0.40%	0.69%	0.36%	1.01%	0.36%	0.00%	0.53%	1.88%	0.00%	0.69%	0.00%	0.40%	0.44%	1.31%	0.00%	1.15%					
20	3.Политическая партия «Демократическая партия России»	7	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0					
