Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва									
Дата голосования: 07.12.2003 0:00:00									
									
Наименование Избирательной комиссии:    Быстринская									
									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)									
									
		Сумма	УИК №158	УИК №159					
1	"Число избирателей, внесенных в списки"	2052	1642	410					
2	"Число бюллетеней, полученных участковыми комиссиями"	1920	1500	420					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	79	74	5					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1017	754	263					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	68	64	4					
6	Число погашенных бюллетеней	756	608	148					
7	Число бюллетеней в переносных ящиках для голосования	147	138	9					
8	Число бюллетеней в стационарных ящиках для голосования	1017	754	263					
9	Число недействительных бюллетеней	19	13	6					
10	Число действительных бюллетеней	1145	879	266					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	64	44	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	16	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	4	2					
14	Число погашенных открепительных удостоверений	43	28	15					
15	Число открепительных удостоверений выданных ТИК	6	6	0					
16	Число утраченных бюллетеней	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0					
									
18	"1. ""ЕДИНЕНИЕ"""	31	22	9					
		2.66%	2.46%	3.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	32	26	6					
		2.74%	2.91%	2.20%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	56	40	16					
		4.81%	4.48%	5.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	51	43	8					
		4.38%	4.82%	2.94%					
22	"5. ""За Русь Святую"""	11	10	1					
		0.94%	1.12%	0.36%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	2	0					
		0.17%	0.22%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	9	1					
		0.85%	1.00%	0.36%					
25	"8. ""Народно-республиканская партия России"""	2	2	0					
		0.17%	0.22%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	7	1					
		0.68%	0.78%	0.36%					
27	"10. ""Аграрная партия России"""	46	43	3					
		3.95%	4.82%	1.10%					
28	"11. ""Истинные патриоты России"""	2	2	0					
		0.17%	0.22%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	14	11	3					
		1.20%	1.23%	1.10%					
30	"13. ""Демократическая партия России"""	6	3	3					
		0.51%	0.33%	1.10%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	18	8					
		2.23%	2.01%	2.94%					
32	"15. ""Партия СЛОН"""	0	0	0					
		0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	57	46	11					
		4.89%	5.15%	4.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	1	1	0					
		0.08%	0.11%	0.0%					
35	"18. ""ЛДПР"""	144	105	39					
		12.37%	11.77%	14.33%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	23	21	2					
		1.97%	2.35%	0.73%					
37	"20. ""Политическая партия ""Единая Россия"""	524	381	143					
		45.01%	42.71%	52.57%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	3	0					
		0.25%	0.33%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	4	1					
		0.42%	0.44%	0.36%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	52	45	7					
		4.46%	5.04%	2.57%					
									
41	Против всех	39	35	4					
		3.35%	3.92%	1.47%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
