Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Зарайская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32332	435	794	1141	1459	1076	739	1240	650	1322	537	1390	777	621	760	1276	1367	1167	1146	1310	914	1122	825	1213	1287	682	734	1326	526	713	984	1364	556	879									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26700	350	650	950	1200	900	600	1000	550	1100	450	1150	650	500	650	1050	1100	950	950	1050	800	950	700	1000	1050	550	600	1100	450	600	800	1100	450	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11555	163	216	384	440	311	229	402	261	571	200	532	304	202	283	492	528	389	452	459	333	448	284	541	525	244	275	455	107	228	351	460	190	296									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1721	19	20	38	64	24	13	30	20	19	13	14	13	29	24	27	35	31	18	30	142	162	57	98	68	84	41	138	51	110	45	126	42	76									
6	Число погашенных избирательных бюллетеней	13424	168	414	528	696	565	358	568	269	510	237	604	333	269	343	531	537	530	480	561	325	340	359	361	457	222	284	507	292	262	404	514	218	378									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1721	19	20	38	64	24	13	30	20	19	13	14	13	29	24	27	35	31	18	30	142	162	57	98	68	84	41	138	51	110	45	126	42	76									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11554	163	216	384	440	311	229	402	261	571	200	532	304	202	283	492	528	389	452	459	333	448	284	541	524	244	275	455	107	228	351	460	190	296									
9	Число недействительных избирательных бюллетеней	527	2	13	11	23	26	12	8	10	27	6	19	8	4	6	34	18	22	16	23	41	23	8	21	25	8	14	16	0	16	12	32	12	11									
10	Число действительных избирательных бюллетеней	12748	180	223	411	481	309	230	424	271	563	207	527	309	227	301	485	545	398	454	466	434	587	333	618	567	320	302	577	158	322	384	554	220	361									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	575	10	10	20	20	20	10	20	10	20	10	20	20	10	10	20	20	20	20	20	40	20	10	20	20	15	10	30	20	20	20	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	343	5	3	4	9	4	7	9	4	10	0	7	11	8	8	6	12	5	9	9	40	18	6	19	14	11	10	30	20	20	10	5	2	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	201	2	1	7	10	6	8	17	10	4	3	11	5	16	4	3	4	9	3	3	9	11	1	12	0	8	1	13	1	1	13	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	232	5	7	16	11	16	3	11	6	10	10	13	9	2	2	14	8	15	11	11	0	2	4	1	6	4	0	0	0	0	10	15	8	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	0	4	1	2	2	0	1	0	2	1	4	0	2	3	4	4	2	3	3	4	3	2	0	2	5	3	0	0	1	8	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	184	5	3	7	7	2	4	13	2	16	4	10	6	2	1	8	6	9	4	9	6	8	1	8	11	2	1	5	0	2	7	5	7	3									
		1.39%	2.75%	1.27%	1.66%	1.39%	0.60%	1.65%	3.01%	0.71%	2.71%	1.88%	1.83%	1.89%	0.87%	0.33%	1.54%	1.07%	2.14%	0.85%	1.84%	1.26%	1.31%	0.29%	1.25%	1.86%	0.61%	0.32%	0.84%	0.00%	0.59%	1.77%	0.85%	3.02%	0.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	332	1	12	11	19	14	6	8	7	21	3	15	5	4	11	13	10	8	5	21	9	10	6	18	18	2	12	11	7	4	10	16	7	8									
