Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																														
Дата голосования: 04.12.2011																																														
																																														
Наименование Избирательной комиссии:    Ишимская городская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431					
1	"Число избирателей, внесенных в список избирателей"	49605	1697	1101	1093	1540	1306	1369	1295	1442	1231	1341	638	970	1687	1441	910	966	1001	987	1117	1147	1302	2256	1191	1236	1351	1518	880	1236	2664	1452	1432	1084	898	1305	1190	1125	1958	1063	185					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44700	1500	950	1000	1400	1100	1250	1150	1300	1100	1200	600	900	1550	1250	800	850	900	900	1000	1050	1200	2050	1100	1100	1200	1400	800	1100	2400	1300	1300	950	850	1200	1050	1000	1750	950	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22141	759	523	524	639	505	574	516	461	494	685	236	542	856	744	435	528	395	450	565	565	681	1196	552	627	583	813	399	459	1225	551	624	421	335	459	528	430	840	422	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1613	22	41	43	23	48	78	114	131	27	13	9	57	70	14	19	4	13	26	31	18	28	31	19	20	36	26	39	13	72	48	15	22	48	23	72	50	41	24	185					
6	Число погашенных избирательных бюллетеней	20946	719	386	433	738	547	598	520	708	579	502	355	301	624	492	346	318	492	424	404	467	491	823	529	453	581	561	362	628	1103	701	661	507	467	718	450	520	869	504	65					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1613	22	41	43	23	48	78	114	131	27	13	9	57	70	14	19	4	13	26	31	18	28	31	19	20	36	26	39	13	72	48	15	22	48	23	72	50	41	24	185					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22134	759	523	524	639	505	574	516	461	494	683	236	541	856	743	435	528	395	450	565	565	681	1196	551	627	583	813	399	459	1225	551	624	421	335	457	528	430	840	422	0					
9	Число недействительных избирательных бюллетеней	337	8	0	9	15	6	12	15	17	6	12	5	17	15	6	1	7	8	6	8	11	12	15	7	10	5	7	5	4	22	5	12	11	12	1	8	4	13	0	0					
10	Число действительных избирательных бюллетеней	23410	773	564	558	647	547	640	615	575	515	684	240	581	911	751	453	525	400	470	588	572	697	1212	563	637	614	832	433	468	1275	594	627	432	371	479	592	476	868	446	185					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1360	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	50	35	35	35	35	35	35	50	35	35	35	35	35	35	35	35	35	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	537	18	7	18	11	5	11	15	16	7	16	4	18	35	18	15	8	7	10	14	16	4	23	17	13	14	27	8	10	39	13	20	7	7	12	17	5	26	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	405	9	2	4	5	18	12	4	15	15	22	12	10	15	19	7	29	7	6	14	7	14	8	0	6	7	20	13	16	11	11	13	10	3	7	7	3	17	7	0					
14	Число погашенных неиспользованных открепительных удостоверений	823	17	28	17	24	30	24	20	19	28	19	31	17	0	17	20	27	28	25	21	19	31	27	18	22	21	8	27	25	11	22	15	28	28	23	18	30	9	29	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2867	59	33	79	84	31	92	73	57	81	76	41	85	94	103	54	56	35	40	89	78	119	165	74	100	8	130	52	56	180	73	75	59	45	57	64	62	119	71	18					
		12.07%	7.55%	5.85%	13.93%	12.69%	5.61%	14.11%	11.59%	9.63%	15.55%	10.92%	16.73%	14.21%	10.15%	13.61%	11.89%	10.53%	8.58%	8.40%	14.93%	13.38%	16.78%	13.45%	12.98%	15.46%	1.29%	15.49%	11.87%	11.86%	13.88%	12.19%	11.74%	13.32%	11.75%	11.88%	10.67%	12.92%	13.51%	15.92%	9.73%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5118	183	108	78	152	40	155	155	137	114	154	52	125	203	167	90	109	109	99	110	116	135	254	131	162	180	190	113	109	259	143	167	110	82	133	91	107	180	76	40					
		21.55%	23.43%	19.15%	13.76%	22.96%	7.23%	23.77%	24.60%	23.14%	21.88%	22.13%	21.22%	20.90%	21.92%	22.06%	19.82%	20.49%	26.72%	20.80%	18.46%	19.90%	19.04%	20.70%	22.98%	25.04%	29.08%	22.65%	25.80%	23.09%	19.97%	23.87%	26.13%	24.83%	21.41%	27.71%	15.17%	22.29%	20.43%	17.04%	21.62%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	212	8	11	6	3	0	3	6	5	5	3	5	6	10	11	5	6	3	3	5	3	10	8	9	3	2	4	3	6	13	6	3	5	3	7	5	3	8	4	3					
		0.89%	1.02%	1.95%	1.06%	0.45%	0.00%	0.46%	0.95%	0.84%	0.96%	0.43%	2.04%	1.00%	1.08%	1.45%	1.10%	1.13%	0.74%	0.63%	0.84%	0.51%	1.41%	0.65%	1.58%	0.46%	0.32%	0.48%	0.68%	1.27%	1.00%	1.00%	0.47%	1.13%	0.78%	1.46%	0.83%	0.63%	0.91%	0.90%	1.62%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4699	118	131	69	146	89	96	122	80	106	119	46	133	163	171	111	125	81	122	152	125	154	301	115	143	123	199	86	75	250	113	131	62	70	90	71	105	188	100	18					
		19.79%	15.11%	23.23%	12.17%	22.05%	16.09%	14.72%	19.37%	13.51%	20.35%	17.10%	18.78%	22.24%	17.60%	22.59%	24.45%	23.50%	19.85%	25.63%	25.50%	21.44%	21.72%	24.53%	20.18%	22.10%	19.87%	23.72%	19.63%	15.89%	19.28%	18.86%	20.50%	13.99%	18.28%	18.75%	11.83%	21.88%	21.34%	22.42%	9.73%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	545	13	15	13	18	0	9	8	11	12	24	4	17	8	28	24	21	8	6	11	17	18	37	24	27	1	19	9	8	26	14	13	12	4	8	6	20	19	12	1					
		2.30%	1.66%	2.66%	2.29%	2.72%	0.00%	1.38%	1.27%	1.86%	2.30%	3.45%	1.63%	2.84%	0.86%	3.70%	5.29%	3.95%	1.96%	1.26%	1.85%	2.92%	2.54%	3.02%	4.21%	4.17%	0.16%	2.26%	2.05%	1.69%	2.00%	2.34%	2.03%	2.71%	1.04%	1.67%	1.00%	4.17%	2.16%	2.69%	0.54%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9860	390	256	313	241	387	283	248	280	194	306	89	210	427	268	164	206	162	198	221	233	257	439	206	201	299	285	166	212	543	244	237	179	165	182	353	179	353	180	104					
		41.52%	49.94%	45.39%	55.20%	36.40%	69.98%	43.40%	39.37%	47.30%	37.24%	43.97%	36.33%	35.12%	46.11%	35.40%	36.12%	38.72%	39.71%	41.60%	37.08%	39.97%	36.25%	35.78%	36.14%	31.07%	48.30%	33.97%	37.90%	44.92%	41.87%	40.73%	37.09%	40.41%	43.08%	37.92%	58.83%	37.29%	40.07%	40.36%	56.22%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	109	2	10	0	3	0	2	3	5	3	2	3	5	6	3	5	2	2	2	0	0	4	8	4	1	1	5	4	2	4	1	1	5	2	2	2	0	1	3	1					
		0.46%	0.26%	1.77%	0.00%	0.45%	0.00%	0.31%	0.48%	0.84%	0.58%	0.29%	1.22%	0.84%	0.65%	0.40%	1.10%	0.38%	0.49%	0.42%	0.00%	0.00%	0.56%	0.65%	0.70%	0.15%	0.16%	0.60%	0.91%	0.42%	0.31%	0.17%	0.16%	1.13%	0.52%	0.42%	0.33%	0.00%	0.11%	0.67%	0.54%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
