Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Бай-Тайгинская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45					
1	"Число избирателей, внесенных в список избирателей"	5623	1758	416	456	505	710	925	853					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6024	1904	430	470	620	750	960	890					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	337	0	0	0	22	239	52	24					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4853	1664	330	356	404	450	848	801					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	255	94	69	27	11	19	25	10					
6	Число погашенных избирательных бюллетеней	579	146	31	87	183	42	35	55					
7	Число избирательных бюллетеней в переносных ящиках для голосования	589	94	69	27	32	258	77	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4853	1664	330	356	404	450	848	801					
9	Число недействительных избирательных бюллетеней	74	62	0	2	7	0	0	3					
10	Число действительных избирательных бюллетеней	5368	1696	399	381	429	708	925	830					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	20	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	26	11	0	6	3	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	13	4	0	1	1	2	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	54	9	10	4	7	10	4	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3	3	0	0	0	0	0	0					
		0.06%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	19	6	3	2	5	0	0	3					
		0.35%	0.34%	0.75%	0.52%	1.15%	0.00%	0.00%	0.36%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1	0	0	0	1	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5345	1687	396	379	423	708	925	827					
		98.22%	95.96%	99.25%	98.96%	97.02%	100.00%	100.00%	99.28%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
