Выборы Президента Российской Федерации																																																						
																																																						
"Наименование Избирательной комиссии:    Смоленск, Промышленная"																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749					
1	"Число избирателей, внесенных в список"	108113	1852	2335	1661	2424	2662	2504	2303	2652	2408	2359	2757	2420	1547	1849	2542	2382	2423	2685	2616	2767	2921	2055	2320	2039	1810	2611	1861	2660	2955	2536	2728	2945	1553	2862	2801	2550	2715	2047	1387	2215	2951	2445	2044	1723	1157	1692	1382					
2	Число полученных избирательных бюллетеней	109240	1900	2490	1650	2490	2680	2400	2330	2650	2420	2390	2790	2460	1500	1850	2630	2470	2480	2700	2630	2800	2960	2070	2350	2050	1830	2670	1900	2680	2960	2560	2700	2950	1640	2860	2900	2600	2750	2050	1400	2120	2980	2450	2090	1740	1170	1700	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56879	1015	1175	893	1388	1492	1224	1154	1375	1259	1289	1342	1312	787	954	1321	1384	1422	1457	1415	1356	1647	1240	1212	1081	1051	1422	886	1497	1666	1231	1547	1583	702	1542	1469	1275	1398	1135	629	1238	1519	1333	861	832	484	806	579					
5	"Число избирательных бюллетеней, выданных вне помещения"	1989	29	38	151	46	21	72	40	28	61	47	58	33	3	12	51	41	28	35	26	22	33	22	53	18	47	20	22	27	16	10	13	17	8	15	97	19	62	14	24	97	108	124	64	33	97	48	39					
6	Число погашенных избирательных бюллетеней	50372	856	1277	606	1056	1167	1104	1136	1247	1100	1054	1390	1115	710	884	1258	1045	1030	1208	1189	1422	1280	808	1085	951	732	1228	992	1156	1278	1319	1140	1350	930	1303	1334	1306	1290	901	747	785	1353	993	1165	875	589	846	782					
7	Число избирательных бюллетеней в переносных ящиках	1989	29	38	151	46	21	72	40	28	61	47	58	33	3	12	51	41	28	35	26	22	33	22	53	18	47	20	22	27	16	10	13	17	8	15	97	19	62	14	24	97	108	124	64	33	97	48	39					
8	Число бюллетеней в стационарных ящиках для голосования	56862	1014	1175	893	1388	1492	1223	1154	1375	1259	1288	1341	1312	787	954	1321	1384	1422	1457	1415	1353	1647	1240	1212	1081	1051	1422	886	1497	1666	1231	1544	1583	701	1542	1469	1275	1398	1135	629	1234	1519	1333	859	832	484	806	579					
9	Число недействительных избирательных бюллетеней	404	8	19	6	7	12	5	12	13	7	5	31	0	3	6	6	3	13	16	7	4	18	8	13	9	7	4	5	11	8	9	13	4	2	7	7	4	12	7	12	5	8	3	7	8	23	2	5					
10	Число действительных избирательных бюллетеней	58447	1035	1194	1038	1427	1501	1290	1182	1390	1313	1330	1368	1345	787	960	1366	1422	1437	1476	1434	1371	1662	1254	1252	1090	1091	1438	903	1513	1674	1232	1544	1596	707	1550	1559	1290	1448	1142	641	1326	1619	1454	916	857	558	852	613					
