Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Большеулуйская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №736	УИК №737	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №2268					
1	"Число избирателей, внесенных в списки избирателей"	6342	255	91	2790	405	137	457	116	177	173	133	505	138	281	135	90	67	234	59	99					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6244	252	89	2750	409	138	451	114	175	173	139	499	138	275	133	67	64	232	55	91					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3967	167	79	1626	259	101	300	98	114	94	103	339	77	159	95	39	56	149	43	69					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	693	45	2	230	87	24	41	6	19	40	8	27	34	44	8	23	4	40	7	4					
6	Число погашенных избирательных бюллетеней	1584	40	8	894	63	13	110	10	42	39	28	133	27	72	30	5	4	43	5	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	693	45	2	230	87	24	41	6	19	40	8	27	34	44	8	23	4	40	7	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3967	167	79	1626	259	101	300	98	114	94	103	339	77	159	95	39	56	149	43	69					
9	Число недействительных избирательных бюллетеней	54	3	1	19	12	3	3	0	2	0	2	2	0	5	1	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	4606	209	80	1837	334	122	338	104	131	134	109	364	111	198	102	62	60	189	50	72					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	137	1	7	29	30	6	6	1	3	6	3	7	7	5	7	1	3	5	3	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	133	1	7	29	30	6	6	0	3	6	2	7	7	5	7	1	3	3	3	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	54	2	3	18	3	1	0	0	2	2	0	7	1	5	3	0	0	3	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	0	5	1	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	131	6	6	53	10	3	7	0	5	3	1	16	4	4	1	1	2	4	0	5					
		2.81%	2.83%	7.41%	2.86%	2.89%	2.40%	2.05%	0.00%	3.76%	2.24%	0.90%	4.37%	3.60%	1.97%	0.97%	1.61%	3.33%	2.12%	0.00%	6.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	22	1	0	16	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0					
		0.47%	0.47%	0.00%	0.86%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.49%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	610	18	5	282	36	21	45	9	14	7	31	60	10	19	10	5	7	14	5	12					
		13.09%	8.49%	6.17%	15.19%	10.40%	16.80%	13.20%	8.65%	10.53%	5.22%	27.93%	16.39%	9.01%	9.36%	9.71%	8.06%	11.67%	7.41%	10.00%	16.44%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	16	2	0	10	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0					
		0.34%	0.94%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.97%	0.00%	0.00%	0.53%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	9	0	0	3	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0					
		0.19%	0.00%	0.00%	0.16%	0.00%	0.80%	0.29%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%	0.49%	0.97%	0.00%	0.00%	0.53%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	410	26	11	187	26	9	17	5	9	14	3	29	12	23	4	4	2	21	6	2					
		8.80%	12.26%	13.58%	10.08%	7.51%	7.20%	4.99%	4.81%	6.77%	10.45%	2.70%	7.92%	10.81%	11.33%	3.88%	6.45%	3.33%	11.11%	12.00%	2.74%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	279	11	3	142	9	16	20	5	10	13	3	20	2	4	8	1	1	9	1	1					
		5.99%	5.19%	3.70%	7.65%	2.60%	12.80%	5.87%	4.81%	7.52%	9.70%	2.70%	5.46%	1.80%	1.97%	7.77%	1.61%	1.67%	4.76%	2.00%	1.37%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	32	0	0	14	1	0	7	2	1	2	1	1	0	0	0	1	1	1	0	0					
		0.69%	0.00%	0.00%	0.75%	0.29%	0.00%	2.05%	1.92%	0.75%	1.49%	0.90%	0.27%	0.00%	0.00%	0.00%	1.61%	1.67%	0.53%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3082	145	54	1125	245	72	241	83	92	95	69	234	83	145	77	50	45	137	38	52					
		66.14%	68.40%	66.67%	60.61%	70.81%	57.60%	70.67%	79.81%	69.17%	70.90%	62.16%	63.93%	74.77%	71.43%	74.76%	80.65%	75.00%	72.49%	76.00%	71.23%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	14	0	1	4	6	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0					
		0.30%	0.00%	1.23%	0.22%	1.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
