Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Серпуховская городская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769					
1	"Число избирателей, внесенных в список избирателей"	107091	2413	1429	1475	1102	2175	1525	1466	2283	2231	1027	2077	2148	1146	1774	2134	1920	2333	1555	1870	1978	1595	2071	2431	2591	1846	2121	2847	2154	1615	2178	2619	1810	2200	2341	2096	1700	2184	1794	1958	2573	1913	1655	2261	2312	2397	1927	2037	1753	1808	1788	2498	2063	1519	1308	582	485					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86310	1920	1150	1170	860	1740	1230	1180	1830	1810	1610	1700	1730	910	1390	1740	1240	1860	840	1530	1590	1280	1690	1900	2070	1490	1700	2140	1740	1290	1760	2140	1460	1790	1910	1700	1370	1750	1450	1580	2080	1540	1340	1810	1820	1930	1570	1660	1420	1470	1410	2010	1670	1100	1300	440	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	50186	987	555	580	398	906	663	669	811	1162	981	978	1243	395	724	990	760	875	391	814	810	634	711	1229	1268	821	925	1303	1009	655	988	1330	796	1074	1173	976	815	1069	857	869	1315	965	695	1147	1076	1194	897	1031	851	977	729	1386	992	998	1254	0	485					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1958	50	22	16	22	11	20	27	34	33	46	38	25	22	28	34	12	33	9	27	52	26	37	33	21	6	10	38	33	30	33	37	40	36	34	24	23	35	29	22	32	22	19	32	37	30	40	31	27	30	32	26	22	13	28	429	0					
6	Число погашенных избирательных бюллетеней	34164	883	573	574	440	822	547	484	985	615	583	684	462	493	637	716	468	952	440	689	728	620	942	638	781	663	765	799	698	605	739	773	624	680	703	700	532	646	564	689	733	553	626	631	707	706	633	598	542	463	649	598	656	89	18	11	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1958	50	22	16	22	11	20	27	34	33	46	38	25	22	28	34	12	33	9	27	52	26	37	33	21	6	10	38	33	30	33	37	40	36	34	24	23	35	29	22	32	22	19	32	37	30	40	31	27	30	32	26	22	13	28	429	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50150	987	555	578	398	906	663	669	810	1162	981	978	1243	395	724	990	760	873	391	809	810	634	707	1229	1268	821	924	1303	1009	655	988	1328	796	1071	1173	976	815	1069	857	869	1315	965	695	1147	1076	1194	897	1031	851	977	727	1383	992	995	1246	0	485					
9	Число недействительных избирательных бюллетеней	1400	29	9	17	9	29	21	18	20	28	29	35	29	14	25	42	14	13	17	16	20	21	22	24	23	16	19	32	21	15	26	25	27	31	41	34	25	23	27	24	34	17	22	28	39	33	27	33	22	37	26	40	27	20	19	14	52					
10	Число действительных избирательных бюллетеней	50708	1008	568	577	411	888	662	678	824	1167	998	981	1239	403	727	982	758	893	383	820	842	639	722	1238	1266	811	915	1309	1021	670	995	1340	809	1076	1166	966	813	1081	859	867	1313	970	692	1151	1074	1191	910	1029	856	970	733	1369	987	988	1255	415	433					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2265	40	25	31	25	55	25	25	45	51	42	48	55	20	19	55	25	40	19	25	25	25	55	50	50	35	43	60	40	30	45	60	40	45	50	45	35	35	35	45	40	35	35	45	45	55	40	45	25	42	25	40	35	45	195	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2017	37	20	25	19	50	24	25	38	49	37	48	55	15	12	54	25	23	14	21	24	24	53	46	42	31	43	58	35	28	35	50	34	39	42	45	29	34	28	41	39	29	32	39	44	52	38	28	25	40	22	30	32	44	171	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	991	22	4	7	4	7	17	13	7	13	16	10	40	5	13	18	6	22	17	23	17	15	9	55	37	5	18	8	17	21	12	12	13	13	17	15	23	11	17	16	25	20	13	20	16	18	20	11	23	12	9	19	6	17	3	16	128					
