Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Гдовская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538					
1	"Число избирателей, внесенных в списки избирателей"	12364	1267	1844	1102	1019	372	303	560	174	1244	263	730	640	304	332	629	617	417	210	337					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11460	1100	1600	1000	900	350	250	550	160	1200	270	750	570	300	330	610	600	410	210	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5334	660	874	474	381	159	70	214	69	795	84	254	147	135	84	187	344	202	113	88					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2388	61	54	62	167	100	156	120	55	28	97	263	310	102	143	297	78	78	43	174					
6	Число погашенных избирательных бюллетеней	3738	379	672	464	352	91	24	216	36	377	89	233	113	63	103	126	178	130	54	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2388	61	54	62	167	100	156	120	55	28	97	263	310	102	143	297	78	78	43	174					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5331	659	874	473	381	159	70	214	69	795	84	254	147	134	84	187	344	202	113	88					
9	Число недействительных избирательных бюллетеней	54	6	4	2	4	0	2	3	1	12	1	4	3	0	0	6	4	1	1	0					
10	Число действительных избирательных бюллетеней	7665	714	924	533	544	259	224	331	123	811	180	513	454	236	227	478	418	279	155	262					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	305	30	30	30	10	10	15	10	10	50	10	20	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	134	8	14	4	2	0	11	1	5	36	8	17	4	6	4	3	8	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	169	8	6	7	11	6	10	7	7	17	5	8	52	2	3	9	4	0	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	171	22	16	26	8	10	4	9	5	14	2	3	6	4	6	7	2	9	8	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	253	18	30	17	16	20	5	11	7	17	10	17	13	12	5	18	14	10	2	11					
		3.28%	2.50%	3.23%	3.18%	2.92%	7.72%	2.21%	3.29%	5.65%	2.07%	5.52%	3.29%	2.84%	5.08%	2.20%	3.72%	3.32%	3.57%	1.28%	4.20%					
19	2.Всероссийская политическая партия «Гражданская Сила»	34	3	8	1	1	0	0	1	0	7	0	1	1	0	1	1	6	1	0	2					
		0.44%	0.42%	0.86%	0.19%	0.18%	0.00%	0.00%	0.30%	0.00%	0.85%	0.00%	0.19%	0.22%	0.00%	0.44%	0.21%	1.42%	0.36%	0.00%	0.76%					
20	3.Политическая партия «Демократическая партия России»	13	0	3	0	0	1	1	0	2	2	1	0	0	0	1	2	0	0	0	0					
