Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																													
																																																																													
Наименование Избирательной комиссии:    Арская																																																																													
																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																													
																																																																													
		Сумма	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992					
1	"Число избирателей, внесенных в списки"	36258	1433	1221	1642	2165	2031	1732	1900	610	843	196	531	198	636	198	531	371	426	309	205	318	425	160	483	250	150	595	223	579	105	574	246	371	215	160	473	566	138	909	252	217	238	246	245	180	173	328	184	295	309	334	1862	203	389	208	266	154	216	145	626	546	550	702	748	332	214	525	511	432	299	211					
2	"Число бюллетеней, полученных участковыми комиссиями"	36509	1427	1226	1621	2149	2046	1714	1903	602	857	200	529	201	642	201	541	372	430	311	201	321	434	163	488	257	150	611	229	588	105	570	249	377	221	158	488	579	138	902	264	220	243	247	244	185	177	331	189	304	317	335	1865	208	395	214	272	159	224	148	629	556	565	700	753	336	220	528	527	438	303	212					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	31981	1205	1059	1494	1846	1797	1577	1793	554	767	156	419	164	593	180	447	301	418	303	194	308	336	155	447	225	134	532	184	432	98	521	229	301	160	147	338	429	127	768	230	202	195	228	222	173	161	289	154	262	270	292	1608	182	329	189	246	146	197	128	544	451	493	596	684	308	197	511	484	407	264	201					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3233	87	40	114	54	83	48	41	43	72	39	106	34	42	18	80	70	8	6	7	10	89	5	35	23	16	47	39	147	6	48	17	68	52	9	135	137	11	101	22	15	43	18	22	7	12	39	30	33	39	42	218	21	60	19	20	8	17	17	82	95	57	97	64	24	17	14	27	23	34	10					
6	Число погашенных бюллетеней	1295	135	127	13	249	166	89	69	5	18	5	4	3	7	3	14	1	4	2	0	3	9	3	6	9	0	32	6	9	1	1	3	8	9	2	15	13	0	33	12	3	5	1	0	5	4	3	5	9	8	1	39	5	6	6	6	5	10	3	3	10	15	7	5	4	6	3	16	8	5	1					
7	Число бюллетеней в переносных ящиках для голосования	3233	87	40	114	54	83	48	41	43	72	39	106	34	42	18	80	70	8	6	7	10	89	5	35	23	16	47	39	147	6	48	17	68	52	9	135	137	11	101	22	15	43	18	22	7	12	39	30	33	39	42	218	21	60	19	20	8	17	17	82	95	57	97	64	24	17	14	27	23	34	10					
8	Число бюллетеней в стационарных ящиках для голосования	31979	1203	1059	1494	1846	1797	1577	1793	554	767	156	419	164	593	180	447	301	418	303	194	308	336	155	447	225	134	532	184	432	98	521	229	301	160	147	338	429	127	768	230	202	195	228	222	173	161	289	154	262	270	292	1608	182	329	189	246	146	197	128	544	451	493	596	684	308	197	511	484	407	264	201					
9	Число недействительных бюллетеней	343	20	22	2	30	3	0	10	4	5	0	0	0	2	0	26	0	3	0	0	1	0	0	3	3	0	82	2	1	0	0	0	12	13	0	0	4	0	3	0	0	0	2	0	1	0	0	2	0	0	0	17	0	14	0	0	2	0	0	1	0	0	19	17	0	0	14	0	0	0	3					
10	Число действительных бюллетеней	34869	1270	1077	1606	1870	1877	1625	1824	593	834	195	525	198	633	198	501	371	423	309	201	317	425	160	479	245	150	497	221	578	104	569	246	357	199	156	473	562	138	866	252	217	238	244	244	179	173	328	182	295	309	334	1809	203	375	208	266	152	214	145	625	546	550	674	731	332	214	511	511	430	298	208					
