Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Табасаранская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34326	389	349	436	150	377	231	332	417	353	170	398	533	302	569	475	965	844	579	1015	405	1174	1493	423	435	279	575	217	318	186	479	539	359	280	434	349	204	113	1510	824	847	1061	827	312	267	207	182	246	519	989	203	721	838	1337	212	343	1404	612	659	429	183	223	409	761	320	348	387									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33100	380	340	410	150	360	230	310	410	340	170	380	520	280	550	460	960	800	560	1000	380	1090	1480	410	390	270	550	210	300	160	450	510	340	270	410	340	200	120	1510	800	820	1040	810	300	250	160	160	230	500	940	200	710	820	1330	200	320	1340	600	630	410	170	200	400	740	310	330	380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27806	209	274	367	107	318	189	276	355	295	148	339	438	247	481	397	612	579	473	881	342	942	1267	362	186	144	485	194	271	153	408	454	303	249	339	287	167	103	1359	756	730	898	690	245	227	142	131	204	427	618	172	619	692	1143	174	288	1207	403	512	360	130	191	347	630	269	273	328									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	438	0	6	7	0	7	5	6	7	6	4	7	9	6	8	7	0	29	8	12	6	0	26	6	46	0	9	5	5	3	8	9	5	0	0	6	4	3	0	0	11	14	12	6	5	4	4	7	9	0	4	8	12	0	3	6	0	0	9	6	0	5	8	9	6	7	8									
6	Число погашенных избирательных бюллетеней	4856	171	60	36	43	35	36	28	48	39	18	34	73	27	61	56	348	192	79	107	32	148	187	42	158	126	56	11	24	4	34	47	32	21	71	47	29	14	151	44	79	128	108	49	18	14	25	19	64	322	24	83	116	187	23	26	133	197	109	44	40	4	45	101	35	50	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	438	0	6	7	0	7	5	6	7	6	4	7	9	6	8	7	0	29	8	12	6	0	26	6	46	0	9	5	5	3	8	9	5	0	0	6	4	3	0	0	11	14	12	6	5	4	4	7	9	0	4	8	12	0	3	6	0	0	9	6	0	5	8	9	6	7	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27806	209	274	367	107	318	189	276	355	295	148	339	438	247	481	397	612	579	473	881	342	942	1267	362	186	144	485	194	271	153	408	454	303	249	339	287	167	103	1359	756	730	898	690	245	227	142	131	204	427	618	172	619	692	1143	174	288	1207	403	512	360	130	191	347	630	269	273	328									
9	Число недействительных избирательных бюллетеней	54	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	25	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	28190	209	280	374	107	325	194	282	362	301	148	346	447	253	489	404	612	608	481	893	348	942	1293	368	232	144	494	199	276	156	416	463	308	249	335	293	171	106	1334	756	741	912	702	251	232	146	135	211	436	612	176	627	704	1137	177	294	1198	403	521	366	130	196	355	639	275	280	336									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									
