Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																				
Дата голосования: 02.12.2007																																																																				
																																																																				
"Наименование Избирательной комиссии:    Оренбург, Ленинская"																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1082	УИК №1826					
1	"Число избирателей, внесенных в списки избирателей"	136650	1619	1151	3021	571	3319	3030	2523	2751	2568	2863	2615	2677	2736	2623	2662	2505	3068	2118	2224	2721	2782	2566	1851	2100	2006	2465	2713	2478	2921	2300	2008	2005	2615	2338	2489	2353	2407	2361	2226	1594	1998	2246	768	2032	1194	1822	2492	2253	1421	2184	1945	1478	2783	2793	3221	2758	2900	1774	324	602	1719					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	97000	1200	800	2220	500	2000	2100	1800	2000	1800	1850	2000	2000	2000	1910	1810	1600	2010	1500	1600	1800	1850	1800	1300	1500	1100	1800	2000	1800	2050	1600	1450	1450	1800	1600	1800	1650	1850	1850	1750	1050	1450	1600	600	1700	850	1250	1750	1550	1250	1500	1500	1000	2000	2050	2100	2050	2050	1200	310	640	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	67948	923	480	2127	353	1961	1534	1334	1384	1250	1270	1393	1399	1315	1316	1175	1333	1109	697	831	944	1298	1223	868	1056	1083	1148	1399	1274	1584	1148	1079	1163	1341	1262	1319	1367	1384	1448	1039	758	927	859	332	1412	549	896	1102	886	626	1084	780	497	1325	1488	1419	1387	1252	1165	170	602	821					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3253	37	272	18	23	9	23	17	32	26	187	35	58	38	36	68	85	65	75	134	145	47	46	43	56	17	34	39	34	25	23	22	16	22	14	34	34	35	41	29	32	45	69	11	32	21	107	46	44	63	28	169	142	56	35	41	26	87	29	140	0	36					
6	Число погашенных избирательных бюллетеней	25799	240	48	75	124	30	543	449	584	524	393	572	543	647	558	567	182	836	728	635	711	505	531	389	388	0	618	562	492	441	429	349	271	437	324	447	249	431	361	682	260	478	672	257	256	280	247	602	620	561	388	551	361	619	527	640	637	711	6	0	38	193					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3253	37	272	18	23	9	23	17	32	26	187	35	58	38	36	68	85	65	75	134	145	47	46	43	56	17	34	39	34	25	23	22	16	22	14	34	34	35	41	29	32	45	69	11	32	21	107	46	44	63	28	169	142	56	35	41	26	87	29	140	0	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	67907	923	480	2127	353	1961	1534	1334	1376	1250	1270	1393	1399	1315	1316	1174	1333	1108	696	831	943	1298	1223	866	1056	1083	1146	1398	1274	1580	1148	1079	1160	1340	1262	1319	1365	1384	1448	1039	756	927	853	332	1412	549	894	1100	886	626	1084	780	497	1325	1486	1419	1387	1252	1165	170	602	821					
9	Число недействительных избирательных бюллетеней	699	4	6	14	3	10	13	10	12	10	16	9	10	12	10	8	10	13	3	12	9	8	21	5	15	14	10	14	6	8	14	13	11	10	5	15	16	8	15	11	10	11	10	5	16	6	7	13	14	4	16	10	4	12	26	18	11	11	12	6	52	12					
10	Число действительных избирательных бюллетеней	70461	956	746	2131	373	1960	1544	1341	1396	1266	1441	1419	1447	1341	1342	1234	1408	1160	768	953	1079	1337	1248	904	1097	1086	1170	1423	1302	1597	1157	1088	1165	1352	1271	1338	1383	1411	1474	1057	778	961	912	338	1428	564	994	1133	916	685	1096	939	635	1369	1495	1442	1402	1328	1182	304	550	845					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	975	10	10	30	10	20	18	20	14	10	15	19	6	25	20	18	16	11	10	15	30	20	20	15	10	30	15	15	15	18	15	20	15	15	20	15	15	25	15	30	30	15	10	10	35	20	10	20	10	10	15	10	10	10	15	15	20	10	20	0	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	840	8	3	14	6	20	14	20	11	10	12	19	6	21	16	18	16	11	10	9	21	19	17	15	10	29	14	15	15	18	14	12	15	15	20	14	15	25	15	26	19	10	8	5	30	18	10	20	10	5	15	6	6	9	15	14	20	10	12	0	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	796	13	8	27	2	17	16	17	13	16	7	18	25	10	9	12	9	7	14	14	15	15	6	8	19	30	10	5	26	11	11	10	28	27	15	13	21	9	11	16	15	12	19	10	10	18	13	27	9	6	4	11	11	8	16	15	7	3	11	3	0	8					
