Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Родниковская 																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730					
1	"Число избирателей, внесенных в списки"	31637	2177	1764	1755	1642	1585	1580	1899	1993	2489	2243	2329	1959	1735	445	372	467	215	399	102	117	797	195	194	553	672	98	622	234	432	573					
2	"Число бюллетеней, полученных участковыми комиссиями"	31309	2159	1715	1705	1665	1585	1563	1843	1970	2430	2215	2274	1935	1765	442	370	469	227	402	103	115	799	194	198	545	660	97	626	225	427	586					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16112	1253	870	995	849	684	865	905	1084	1440	989	1238	946	745	267	181	264	85	231	74	57	314	131	95	276	352	46	287	126	187	276					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1551	52	62	45	49	115	89	108	32	29	47	39	131	48	20	58	47	34	26	6	13	99	12	25	33	49	19	78	29	66	91					
6	Число погашенных бюллетеней	13646	854	783	665	767	786	609	830	854	961	1179	997	858	972	155	131	158	108	145	23	45	386	51	78	236	259	32	261	70	174	219					
7	Число бюллетеней в переносных ящиках для голосования	1551	52	62	45	49	115	89	108	32	29	47	39	131	48	20	58	47	34	26	6	13	99	12	25	33	49	19	78	29	66	91					
8	Число бюллетеней в стационарных ящиках для голосования	16099	1252	870	993	849	684	865	905	1082	1440	986	1235	946	744	267	181	264	85	231	74	57	314	131	95	276	352	46	286	126	187	276					
9	Число недействительных бюллетеней	234	18	9	11	9	14	15	10	26	14	11	6	13	27	1	2	2	2	0	3	3	7	5	1	4	8	0	8	2	0	3					
10	Число действительных бюллетеней	17416	1286	923	1027	889	785	939	1003	1088	1455	1022	1268	1064	765	286	237	309	117	257	77	67	406	138	119	305	393	65	356	153	253	364					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	294	15	15	15	15	15	15	15	15	15	15	15	15	15	8	7	7	5	7	4	5	8	5	5	6	6	3	7	5	7	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	128	8	5	7	5	6	7	5	13	14	10	6	10	8	2	0	1	1	7	2	1	0	1	0	0	3	1	2	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	169	10	6	9	16	5	9	5	5	12	4	7	4	4	7	3	3	1	5	3	4	3	5	5	1	11	3	0	8	4	7					
14	Число погашенных открепительных удостоверений	166	7	10	8	10	9	8	10	2	1	5	9	5	7	6	7	6	4	0	2	4	8	4	5	6	3	2	5	5	7	1					
15	Число открепительных удостоверений выданных ТИК	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
