Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Саракташская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33090	1859	2267	2876	2165	2771	1860	667	1288	433	319	185	233	585	481	446	243	489	471	470	273	662	1864	608	479	116	135	284	181	321	517	223	323	199	771	175	410	286	727	493	1001	277	200	243	104	958	411	383	358									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31910	1800	2200	2800	2100	2700	1800	650	1250	400	300	180	220	550	450	400	240	450	450	450	270	650	1800	600	450	110	130	280	170	320	500	220	320	190	750	180	400	280	700	450	900	270	200	240	100	900	400	390	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13048	657	811	957	615	963	674	206	512	200	137	87	78	190	244	219	136	154	180	241	161	234	761	270	211	68	45	118	80	200	206	134	157	105	328	96	153	103	291	165	392	104	76	111	45	495	239	230	209									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1225	51	25	40	25	33	19	17	35	46	30	8	26	23	18	11	8	11	47	11	10	35	93	48	19	10	32	5	14	0	15	2	27	8	28	10	24	15	15	40	67	20	19	18	7	80	31	19	30									
6	Число погашенных избирательных бюллетеней	17637	1092	1364	1803	1460	1704	1107	427	703	154	133	85	116	337	188	170	96	285	223	198	99	381	946	282	220	32	53	157	76	120	279	84	136	77	394	74	223	162	394	245	441	146	105	111	48	325	130	141	111									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1225	51	25	40	25	33	19	17	35	46	30	8	26	23	18	11	8	11	47	11	10	35	93	48	19	10	32	5	14	0	15	2	27	8	28	10	24	15	15	40	67	20	19	18	7	80	31	19	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13045	657	811	955	615	963	674	206	512	200	137	87	78	190	244	219	136	154	180	241	161	234	760	270	211	68	45	118	80	200	206	134	157	105	328	96	153	103	291	165	392	104	76	111	45	495	239	230	209									
9	Число недействительных избирательных бюллетеней	361	8	24	47	9	19	15	9	18	6	4	1	4	7	3	7	4	11	4	0	3	4	15	10	7	4	0	9	3	0	6	1	3	1	3	4	4	4	11	5	21	1	3	10	2	22	1	4	0									
10	Число действительных избирательных бюллетеней	13909	700	812	948	631	977	678	214	529	240	163	94	100	206	259	223	140	154	223	252	168	265	838	308	223	74	77	114	91	200	215	135	181	112	353	102	173	114	295	200	438	123	92	119	50	553	269	245	239									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	456	22	20	25	15	20	15	5	20	10	10	5	5	10	10	5	5	10	5	10	5	10	15	10	10	5	5	5	5	5	10	5	10	5	15	8	10	5	10	5	10	5	5	5	5	25	6	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	224	19	11	21	9	15	9	5	10	10	1	1	2	0	4	0	1	4	0	2	1	1	10	2	3	1	0	2	0	0	4	1	3	0	4	8	10	0	3	0	9	0	3	1	0	25	6	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	112	3	3	7	4	5	3	1	10	3	4	1	5	3	1	0	1	5	0	2	1	1	2	1	1	4	1	3	2	1	1	3	3	1	3	1	2	1	5	1	0	3	2	3	2	2	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	232	3	9	4	6	5	6	0	10	0	9	4	3	10	6	5	4	6	5	8	4	9	5	8	7	4	5	3	5	5	6	4	7	5	11	0	0	5	7	5	1	5	2	4	5	0	0	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	3	2	2	1	2	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	5	9	6	8	9	8	0	8	4	0	1	0	3	0	3	1	0	2	1	1	0	6	3	3	2	0	0	1	4	4	0	1	1	1	1	0	1	2	3	4	1	0	0	0	3	1	1	2									
		0.80%	0.71%	1.08%	0.60%	1.25%	0.90%	1.15%	0.00%	1.46%	1.63%	0.00%	1.05%	0.00%	1.41%	0.00%	1.30%	0.69%	0.00%	0.88%	0.40%	0.58%	0.00%	0.70%	0.94%	1.30%	2.56%	0.00%	0.00%	1.06%	2.00%	1.81%	0.00%	0.54%	0.88%	0.28%	0.94%	0.00%	0.85%	0.65%	1.46%	0.87%	0.81%	0.00%	0.00%	0.00%	0.52%	0.37%	0.40%	0.84%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	507	23	26	35	24	36	26	5	19	11	3	2	2	9	3	17	4	3	13	3	9	11	37	10	7	1	1	4	5	8	10	0	6	3	17	2	7	3	12	11	14	1	5	9	8	11	5	25	1									
		3.55%	3.25%	3.11%	3.52%	3.75%	3.61%	3.75%	2.24%	3.47%	4.47%	1.80%	2.11%	1.92%	4.23%	1.15%	7.39%	2.78%	1.82%	5.73%	1.19%	5.26%	4.09%	4.34%	3.14%	3.04%	1.28%	1.30%	3.25%	5.32%	4.00%	4.52%	0.00%	3.26%	2.65%	4.78%	1.89%	3.95%	2.54%	3.92%	5.37%	3.05%	0.81%	5.26%	6.98%	15.38%	1.91%	1.85%	10.04%	0.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	226	13	10	21	26	17	15	7	14	7	5	0	0	5	3	1	2	2	2	3	1	5	13	3	3	1	1	0	0	2	6	0	1	1	3	1	1	0	3	6	8	1	1	1	2	8	1	0	0									
		1.58%	1.84%	1.20%	2.11%	4.06%	1.71%	2.16%	3.14%	2.56%	2.85%	2.99%	0.00%	0.00%	2.35%	1.15%	0.43%	1.39%	1.21%	0.88%	1.19%	0.58%	1.86%	1.52%	0.94%	1.30%	1.28%	1.30%	0.00%	0.00%	1.00%	2.71%	0.00%	0.54%	0.88%	0.84%	0.94%	0.56%	0.00%	0.98%	2.93%	1.74%	0.81%	1.05%	0.78%	3.85%	1.39%	0.37%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6328	266	298	345	210	410	253	86	214	114	93	55	55	89	152	106	71	67	91	124	73	138	432	171	92	34	38	52	40	82	94	101	65	53	143	54	78	45	138	91	206	72	54	58	20	333	140	172	160									
		44.34%	37.57%	35.65%	34.67%	32.81%	41.16%	36.51%	38.57%	39.12%	46.34%	55.69%	57.89%	52.88%	41.78%	58.02%	46.09%	49.31%	40.61%	40.09%	49.21%	42.69%	51.30%	50.64%	53.77%	40.00%	43.59%	49.35%	42.28%	42.55%	41.00%	42.53%	74.26%	35.33%	46.90%	40.17%	50.94%	44.07%	38.14%	45.10%	44.39%	44.88%	58.06%	56.84%	44.96%	38.46%	57.91%	51.85%	69.08%	66.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	59	2	4	7	1	4	7	1	3	0	0	0	1	2	1	1	2	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	2	4	1	0	0	2	0	3	0	0	0									
		0.41%	0.28%	0.48%	0.70%	0.16%	0.40%	1.01%	0.45%	0.55%	0.00%	0.00%	0.00%	0.96%	0.94%	0.38%	0.43%	1.39%	0.61%	0.00%	0.40%	0.58%	0.37%	0.12%	0.31%	0.43%	0.00%	0.00%	0.81%	0.00%	0.50%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.56%	0.00%	0.65%	1.95%	0.22%	0.00%	0.00%	1.55%	0.00%	0.52%	0.00%	0.00%	0.00%									
