Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Малоархангельская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9865	883	515	466	447	311	251	224	273	233	227	472	253	234	234	112	480	730	1144	1168	1208									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10044	912	530	474	453	319	260	227	281	242	234	466	258	240	238	113	488	738	1172	1170	1229									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5275	531	227	207	287	177	133	126	120	96	134	166	169	134	144	50	213	389	676	663	633									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2189	212	251	78	139	49	83	72	100	99	80	216	75	81	43	52	170	118	82	88	101									
6	Число погашенных избирательных бюллетеней	2580	169	52	189	27	93	44	29	61	47	20	84	14	25	51	11	105	231	414	419	495									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2189	212	251	78	139	49	83	72	100	99	80	216	75	81	43	52	170	118	82	88	101									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5275	531	227	207	287	177	133	126	120	96	134	166	169	134	144	50	213	389	676	663	633									
9	Число недействительных избирательных бюллетеней	134	0	3	8	0	0	2	11	4	0	0	10	2	0	6	0	16	29	10	16	17									
10	Число действительных избирательных бюллетеней	7330	743	475	277	426	226	214	187	216	195	214	372	242	215	181	102	367	478	748	735	717									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	23	10	11	8	6	5	5	6	5	5	10	5	5	4	2	10	15	23	23	24									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	95	19	1	1	0	6	5	2	3	5	4	6	2	2	2	0	3	0	16	11	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	1	0	0	0	2	1	1	0	0	0	1	2	1	0	2	0	0	2	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	110	4	9	10	8	0	0	3	3	0	1	4	3	3	2	2	7	15	7	12	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	4	2	2	0	0	0	0	2	0	0	0	0	3	0	0	1	5	6	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	76	19	5	0	2	0	1	0	0	0	1	10	2	0	2	0	0	2	14	7	11									
		1.02%	2.56%	1.05%	0.00%	0.47%	0.00%	0.46%	0.00%	0.00%	0.00%	0.47%	2.62%	0.82%	0.00%	1.07%	0.00%	0.00%	0.39%	1.85%	0.93%	1.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	262	16	14	8	7	10	8	14	6	17	2	36	2	0	4	2	21	21	23	22	29									
		3.51%	2.15%	2.93%	2.81%	1.64%	4.42%	3.70%	7.07%	2.73%	8.72%	0.93%	9.42%	0.82%	0.00%	2.14%	1.96%	5.48%	4.14%	3.03%	2.93%	3.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	93	11	2	4	1	0	3	4	3	2	1	2	3	8	0	0	1	7	8	14	19									
		1.25%	1.48%	0.42%	1.40%	0.23%	0.00%	1.39%	2.02%	1.36%	1.03%	0.47%	0.52%	1.23%	3.72%	0.00%	0.00%	0.26%	1.38%	1.06%	1.86%	2.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4503	458	332	163	286	150	171	118	117	127	187	194	203	143	127	77	224	284	417	375	350									
		60.33%	61.64%	69.46%	57.19%	67.14%	66.37%	79.17%	59.60%	53.18%	65.13%	87.38%	50.79%	83.20%	66.51%	67.91%	75.49%	58.49%	56.02%	55.01%	49.93%	47.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	1	0	0	3	0	0	2	0	2	1	0	0	0	0	0	0	1	8	1	2									
		0.28%	0.13%	0.00%	0.00%	0.70%	0.00%	0.00%	1.01%	0.00%	1.03%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	1.06%	0.13%	0.27%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	0	3	1	0	0	2	0	0	0	1	0	0	0	0	0	1	1	1	1									
		0.15%	0.00%	0.00%	1.05%	0.23%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.13%	0.13%	0.14%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	977	94	58	49	33	16	14	17	38	14	14	56	5	10	18	16	43	64	94	158	166									
		13.09%	12.65%	12.13%	17.19%	7.75%	7.08%	6.48%	8.59%	17.27%	7.18%	6.54%	14.66%	2.05%	4.65%	9.63%	15.69%	11.23%	12.62%	12.40%	21.04%	22.62%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	30	0	3	2	3	0	0	0	0	1	0	3	0	0	0	0	0	1	5	6	6									
		0.40%	0.00%	0.63%	0.70%	0.70%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.66%	0.80%	0.82%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	2	2	3	0	0	1	1	0	1	1	0	0	0	0	0	0	0	5	7	3									
		0.35%	0.27%	0.42%	1.05%	0.00%	0.00%	0.46%	0.51%	0.00%	0.51%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.93%	0.41%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0									
		0.07%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.39%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	0	8	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	2	3	7									
		0.32%	0.00%	1.67%	0.00%	0.00%	0.00%	0.00%	0.51%	0.45%	0.00%	0.00%	0.26%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.40%	0.95%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1059	126	37	27	83	45	15	18	50	24	5	57	26	46	28	5	69	79	140	96	83									
		14.19%	16.96%	7.74%	9.47%	19.48%	19.91%	6.94%	9.09%	22.73%	12.31%	2.34%	14.92%	10.66%	21.40%	14.97%	4.90%	18.02%	15.58%	18.47%	12.78%	11.31%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	0	1	1	2	0	0	3	1	0	1	0	0	0	0	0	0	1	1	5	1									
		0.23%	0.00%	0.21%	0.35%	0.47%	0.00%	0.00%	1.52%	0.45%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.13%	0.67%	0.14%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	226	16	13	16	5	5	1	7	0	6	1	12	0	8	2	2	8	15	30	40	39									
		3.03%	2.15%	2.72%	5.61%	1.17%	2.21%	0.46%	3.54%	0.00%	3.08%	0.47%	3.14%	0.00%	3.72%	1.07%	1.96%	2.09%	2.96%	3.96%	5.33%	5.31%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
