Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Мичуринская городская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №726					
1	"Число избирателей, внесенных в списки избирателей"	73150	1593	1448	1458	1738	1442	1452	1640	1073	1059	1731	1388	903	2055	1152	916	1075	1414	1373	1283	1916	1690	1200	1475	2499	2342	2337	1867	1781	1977	1439	972	1536	866	1421	1150	1523	1819	2017	831	1397	1184	1597	1571	1257	2238	1659	1699	1625	72					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50864	1082	975	980	1147	977	984	1033	737	1366	1206	942	618	1417	791	625	721	980	914	894	1329	1155	821	947	1703	1603	1601	1276	1236	1344	987	672	1047	590	944	782	1038	1241	1255	580	952	824	1066	1063	861	1561	1147	1206	1144	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	35150	732	644	648	881	674	812	767	439	972	759	569	403	1020	621	398	499	760	643	702	1026	874	486	670	1199	1251	1051	813	869	900	743	522	702	343	611	452	739	953	1077	409	533	597	695	545	554	943	809	890	879	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3433	104	51	94	52	62	72	57	45	74	112	46	105	41	37	98	44	51	157	49	43	28	149	228	79	39	111	68	72	25	42	14	92	51	102	37	72	46	49	35	108	72	42	137	78	114	52	44	53	0					
6	Число погашенных избирательных бюллетеней	12281	246	280	238	214	241	100	209	253	320	335	327	110	356	133	129	178	169	114	143	260	253	186	49	425	313	439	395	295	419	202	136	253	196	231	293	227	242	129	136	311	155	329	381	229	504	286	272	212	428					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3433	104	51	94	52	62	72	57	45	74	112	46	105	41	37	98	44	51	157	49	43	28	149	228	79	39	111	68	72	25	42	14	92	51	102	37	72	46	49	35	108	72	42	137	78	114	52	44	53	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35146	732	644	648	881	673	812	767	439	972	759	569	403	1019	621	398	499	760	643	702	1026	874	485	670	1199	1251	1051	813	868	900	743	522	702	343	611	452	739	953	1077	409	533	597	695	545	554	943	809	890	879	72					
9	Число недействительных избирательных бюллетеней	339	10	3	0	13	6	7	7	2	13	8	7	5	14	5	2	2	10	7	7	7	5	6	8	10	9	10	3	8	15	9	1	10	7	6	1	16	7	7	0	13	9	4	3	4	12	9	4	7	1					
10	Число действительных избирательных бюллетеней	38240	826	692	742	920	729	877	817	482	1033	863	608	503	1046	653	494	541	801	793	744	1062	897	628	890	1268	1281	1152	878	932	910	776	535	784	387	707	488	795	992	1119	444	628	660	733	679	628	1045	852	930	925	71					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	789	12	12	12	23	20	10	20	9	22	12	12	8	25	20	8	9	10	10	20	13	21	10	20	15	25	25	23	23	13	12	18	12	8	10	10	23	15	32	8	12	10	23	13	20	15	32	32	22	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	558	9	11	10	17	14	10	13	2	19	7	8	4	18	11	6	6	8	8	17	8	21	7	17	12	17	14	8	16	13	2	11	6	2	8	6	18	10	32	5	7	6	15	11	16	12	24	20	16	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	600	6	7	16	10	10	34	139	1	12	2	11	27	13	1	2	26	12	8	7	7	7	6	4	14	2	6	6	6	4	2	5	2	6	7	4	4	8	23	0	6	2	7	25	6	18	1	5	18	45					
14	Число погашенных неиспользованных открепительных удостоверений	231	3	1	2	6	6	0	7	7	3	5	4	4	7	9	2	3	2	2	3	5	0	3	3	3	8	11	15	7	0	10	7	6	6	2	4	5	5	0	3	5	4	8	2	4	3	8	12	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	0	1	1	1	3	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	1.Политическая партия «Аграрная партия России»	1073	17	7	13	27	26	15	58	10	42	21	12	7	31	9	10	10	27	35	23	18	25	32	43	44	48	33	16	37	16	25	18	15	11	13	10	30	39	19	0	22	13	21	19	18	25	24	18	19	2					
		2.78%	2.03%	1.01%	1.75%	2.89%	3.54%	1.70%	7.04%	2.07%	4.02%	2.41%	1.95%	1.38%	2.92%	1.37%	2.02%	1.84%	3.33%	4.38%	3.06%	1.68%	2.77%	5.05%	4.79%	3.44%	3.72%	2.84%	1.82%	3.94%	1.73%	3.18%	3.36%	1.89%	2.79%	1.82%	2.04%	3.70%	3.90%	1.69%	0.00%	3.43%	1.94%	2.85%	2.79%	2.85%	2.37%	2.79%	1.93%	2.04%	2.78%					
19	2.Всероссийская политическая партия «Гражданская Сила»	290	5	2	2	19	8	4	7	1	13	5	7	3	10	4	3	5	6	6	4	7	4	1	10	5	11	9	7	7	7	7	3	7	1	8	9	2	11	13	0	5	9	7	0	3	4	6	6	7	0					
		0.75%	0.60%	0.29%	0.27%	2.04%	1.09%	0.45%	0.85%	0.21%	1.24%	0.57%	1.14%	0.59%	0.94%	0.61%	0.60%	0.92%	0.74%	0.75%	0.53%	0.65%	0.44%	0.16%	1.11%	0.39%	0.85%	0.77%	0.79%	0.74%	0.76%	0.89%	0.56%	0.88%	0.25%	1.12%	1.84%	0.25%	1.10%	1.15%	0.00%	0.78%	1.35%	0.95%	0.00%	0.47%	0.38%	0.70%	0.64%	0.75%	0.00%					
20	3.Политическая партия «Демократическая партия России»	33	0	1	1	1	1	0	3	1	0	1	1	0	1	2	0	0	0	1	2	0	1	0	1	1	0	2	0	1	2	1	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0					
		0.09%	0.00%	0.14%	0.13%	0.11%	0.14%	0.00%	0.36%	0.21%	0.00%	0.11%	0.16%	0.00%	0.09%	0.30%	0.00%	0.00%	0.00%	0.13%	0.27%	0.00%	0.11%	0.00%	0.11%	0.08%	0.00%	0.17%	0.00%	0.11%	0.22%	0.13%	0.19%	0.00%	0.00%	0.14%	0.20%	0.00%	0.10%	0.00%	0.00%	0.00%	0.15%	0.14%	0.15%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8318	189	137	154	216	161	107	135	67	218	151	128	91	267	192	72	92	238	225	205	265	190	63	208	356	367	276	124	224	246	234	146	174	75	113	106	189	252	197	75	118	153	183	117	112	221	174	168	133	14					
		21.56%	22.61%	19.71%	20.75%	23.15%	21.90%	12.10%	16.38%	13.84%	20.84%	17.34%	20.81%	17.91%	25.19%	29.18%	14.52%	16.94%	29.35%	28.13%	27.30%	24.79%	21.06%	9.94%	23.16%	27.86%	28.45%	23.75%	14.07%	23.83%	26.59%	29.81%	27.24%	21.91%	19.04%	15.85%	21.68%	23.30%	25.23%	17.50%	16.89%	18.41%	22.87%	24.83%	17.16%	17.72%	20.91%	20.21%	17.99%	14.27%	19.44%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	147	8	1	1	10	6	1	4	1	11	5	2	0	4	1	1	2	3	3	5	5	5	0	6	4	4	5	0	1	0	7	1	4	0	0	1	2	2	9	0	0	5	11	0	1	1	1	2	0	1					
		0.38%	0.96%	0.14%	0.13%	1.07%	0.82%	0.11%	0.49%	0.21%	1.05%	0.57%	0.33%	0.00%	0.38%	0.15%	0.20%	0.37%	0.37%	0.38%	0.67%	0.47%	0.55%	0.00%	0.67%	0.31%	0.31%	0.43%	0.00%	0.11%	0.00%	0.89%	0.19%	0.50%	0.00%	0.00%	0.20%	0.25%	0.20%	0.80%	0.00%	0.00%	0.75%	1.49%	0.00%	0.16%	0.09%	0.12%	0.21%	0.00%	1.39%					
23	6.Политическая партия «Партия социальной справедливости»	75	2	2	1	2	2	1	4	1	5	0	1	0	5	2	0	3	2	2	1	5	1	1	1	3	1	1	0	1	1	1	3	1	0	1	0	0	0	4	0	0	3	1	2	1	3	2	2	0	0					
		0.19%	0.24%	0.29%	0.13%	0.21%	0.27%	0.11%	0.49%	0.21%	0.48%	0.00%	0.16%	0.00%	0.47%	0.30%	0.00%	0.55%	0.25%	0.25%	0.13%	0.47%	0.11%	0.16%	0.11%	0.23%	0.08%	0.09%	0.00%	0.11%	0.11%	0.13%	0.56%	0.13%	0.00%	0.14%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.45%	0.14%	0.29%	0.16%	0.28%	0.23%	0.21%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3455	79	69	72	86	76	65	85	59	102	104	53	27	93	39	53	45	86	63	63	34	90	48	79	112	104	114	93	83	101	51	38	88	52	73	53	85	97	145	8	63	69	68	62	58	99	60	52	48	9					
		8.96%	9.45%	9.93%	9.70%	9.22%	10.34%	7.35%	10.32%	12.19%	9.75%	11.94%	8.62%	5.31%	8.77%	5.93%	10.69%	8.29%	10.60%	7.88%	8.39%	3.18%	9.98%	7.57%	8.80%	8.76%	8.06%	9.81%	10.56%	8.83%	10.92%	6.50%	7.09%	11.08%	13.20%	10.24%	10.84%	10.48%	9.71%	12.88%	1.80%	9.83%	10.31%	9.23%	9.09%	9.18%	9.37%	6.97%	5.57%	5.15%	12.50%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2495	62	46	46	76	60	38	69	30	83	64	44	18	72	57	20	36	61	44	51	63	61	21	66	92	90	77	40	66	53	51	37	47	20	42	21	47	91	71	2	58	47	67	39	42	65	56	34	44	8					
		6.47%	7.42%	6.62%	6.20%	8.15%	8.16%	4.30%	8.37%	6.20%	7.93%	7.35%	7.15%	3.54%	6.79%	8.66%	4.03%	6.63%	7.52%	5.50%	6.79%	5.89%	6.76%	3.31%	7.35%	7.20%	6.98%	6.63%	4.54%	7.02%	5.73%	6.50%	6.90%	5.92%	5.08%	5.89%	4.29%	5.80%	9.11%	6.31%	0.45%	9.05%	7.03%	9.09%	5.72%	6.65%	6.15%	6.50%	3.64%	4.72%	11.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	342	8	10	2	6	13	6	12	7	15	9	0	1	13	7	1	1	5	2	7	5	8	3	13	9	20	11	8	9	12	10	2	5	2	4	7	6	12	12	1	7	9	9	2	6	8	6	8	3	0					
		0.89%	0.96%	1.44%	0.27%	0.64%	1.77%	0.68%	1.46%	1.45%	1.43%	1.03%	0.00%	0.20%	1.23%	1.06%	0.20%	0.18%	0.62%	0.25%	0.93%	0.47%	0.89%	0.47%	1.45%	0.70%	1.55%	0.95%	0.91%	0.96%	1.30%	1.27%	0.37%	0.63%	0.51%	0.56%	1.43%	0.74%	1.20%	1.07%	0.23%	1.09%	1.35%	1.22%	0.29%	0.95%	0.76%	0.70%	0.86%	0.32%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	21665	450	407	446	465	362	635	432	298	519	496	355	355	541	334	333	341	365	408	380	655	510	452	446	627	623	610	587	494	461	383	280	440	222	446	278	431	466	635	357	354	346	362	437	381	609	519	633	666	33					
		56.16%	53.83%	58.56%	60.11%	49.84%	49.25%	71.83%	52.43%	61.57%	49.62%	56.95%	57.72%	69.88%	51.04%	50.76%	67.14%	62.80%	45.01%	51.00%	50.60%	61.27%	56.54%	71.29%	49.67%	49.06%	48.29%	52.50%	66.63%	52.55%	49.84%	48.79%	52.24%	55.42%	56.35%	62.55%	56.85%	53.14%	46.65%	56.39%	80.41%	55.23%	51.72%	49.12%	64.08%	60.28%	57.62%	60.28%	67.77%	71.46%	45.83%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	347	6	10	4	12	14	5	8	7	25	7	5	1	9	6	1	6	8	4	3	5	2	7	17	15	13	14	3	9	11	6	6	3	4	6	2	3	21	14	1	1	5	3	0	6	9	4	7	5	4					
		0.90%	0.72%	1.44%	0.54%	1.29%	1.90%	0.57%	0.97%	1.45%	2.39%	0.80%	0.81%	0.20%	0.85%	0.91%	0.20%	1.10%	0.99%	0.50%	0.40%	0.47%	0.22%	1.10%	1.89%	1.17%	1.01%	1.20%	0.34%	0.96%	1.19%	0.76%	1.12%	0.38%	1.02%	0.84%	0.41%	0.37%	2.10%	1.24%	0.23%	0.16%	0.75%	0.41%	0.00%	0.95%	0.85%	0.46%	0.75%	0.54%	5.56%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
