Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Псковская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180					
1	"Число избирателей, внесенных в список"	28953	474	202	265	295	201	1029	1058	652	938	115	402	314	849	383	480	516	1153	306	161	245	178	186	1376	1506	893	346	88	211	302	132	91	1131	724	178	838	320	377	2132	1586	238	267	2842	530	1211	190	488	364	190					
2	Число полученных избирательных бюллетеней	28840	485	190	264	299	208	928	1067	681	952	114	397	307	860	385	485	524	1190	310	166	244	180	207	1389	1527	896	346	88	218	296	131	93	1127	738	184	821	334	377	2179	1596	245	282	2529	534	1211	195	516	356	189					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13307	151	36	94	163	73	292	540	317	344	57	178	164	409	101	210	191	548	102	61	102	39	99	852	866	311	130	22	133	211	65	43	516	385	71	279	156	146	1180	732	117	54	1413	244	572	86	225	158	69					
5	"Число избирательных бюллетеней, выданных вне помещения"	4705	178	116	113	73	103	270	44	103	190	33	129	79	181	113	106	138	321	133	59	96	126	87	86	48	181	73	41	8	23	33	26	120	8	74	227	67	48	116	80	26	82	86	109	81	56	27	111	77					
6	Число погашенных избирательных бюллетеней	10828	156	38	57	63	32	366	483	261	418	24	90	64	270	171	169	195	321	75	46	46	15	21	451	613	404	143	25	77	62	33	24	491	345	39	315	111	183	883	784	102	146	1030	181	558	53	264	87	43					
7	Число избирательных бюллетеней в переносных ящиках	4705	178	116	113	73	103	270	44	103	190	33	129	79	181	113	106	138	321	133	59	96	126	87	86	48	181	73	41	8	23	33	26	120	8	74	227	67	48	116	80	26	82	86	109	81	56	27	111	77					
8	Число бюллетеней в стационарных ящиках для голосования	13307	151	36	94	163	73	292	540	317	344	57	178	164	409	101	210	191	548	102	61	102	39	99	852	866	311	130	22	133	211	65	43	516	385	71	279	156	146	1180	732	117	54	1413	244	572	86	225	158	69					
9	Число недействительных избирательных бюллетеней	124	0	1	0	1	1	4	7	4	3	1	0	1	6	2	1	3	6	0	0	0	1	0	4	11	4	3	1	1	0	2	0	4	2	1	4	0	1	7	8	1	1	13	1	11	0	1	1	0					
10	Число действительных избирательных бюллетеней	17888	329	151	207	235	175	558	577	416	531	89	307	242	584	212	315	326	863	235	120	198	164	186	934	903	488	200	62	140	234	96	69	632	391	144	502	223	193	1289	804	142	135	1486	352	642	142	251	268	146					
11	Число полученных открепительных  удостоверений	1450	9	3	5	6	3	18	22	14	18	2	8	6	18	8	10	11	23	6	3	5	3	3	28	31	18	7	2	4	6	3	2	22	15	4	17	7	15	33	31	5	6	931	11	24	4	10	7	3					
12	Число выданных открепительных удостоверений	817	8	3	0	6	3	0	3	8	3	1	0	0	2	0	2	3	1	0	1	0	0	0	6	5	3	3	0	2	0	0	0	0	2	0	0	0	0	14	7	1	0	716	0	4	0	5	4	1					
