Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Красноармейская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11562	907	828	922	897	165	239	317	232	114	373	167	173	93	421	301	353	340	321	647	110	168	79	1108	201	109	99	487	436	283	672									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11681	901	812	927	870	165	241	319	237	117	375	167	179	92	442	303	376	353	323	671	109	176	79	1122	205	110	98	484	432	283	713									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9840	774	716	756	793	120	209	239	214	105	339	155	153	80	330	244	296	305	236	588	97	128	72	926	171	80	70	449	375	223	597									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1433	84	73	73	72	42	22	75	18	8	30	12	19	12	87	53	53	33	82	50	12	40	7	172	28	29	28	34	57	58	70									
6	Число погашенных избирательных бюллетеней	408	43	23	98	5	3	10	5	5	4	6	0	7	0	25	6	27	15	5	33	0	8	0	24	6	1	0	1	0	2	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1433	84	73	73	72	42	22	75	18	8	30	12	19	12	87	53	53	33	82	50	12	40	7	172	28	29	28	34	57	58	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9840	774	716	756	793	120	209	239	214	105	339	155	153	80	330	244	296	305	236	588	97	128	72	926	171	80	70	449	375	223	597									
9	Число недействительных избирательных бюллетеней	184	28	29	35	20	62	3	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	11089	830	760	794	845	100	228	314	232	113	369	167	172	92	416	297	349	338	317	638	107	166	79	1098	199	108	98	483	432	281	667									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	349	27	20	33	16	0	14	5	6	3	10	0	5	1	15	5	15	15	9	26	2	5	2	46	10	5	0	5	4	6	39									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	349	27	20	33	16	0	14	5	6	3	10	0	5	1	15	5	15	15	9	26	2	5	2	46	10	5	0	5	4	6	39									
