Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Ленинская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №795	УИК №796	УИК №797	УИК №798									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80759	2118	2468	2579	1716	1932	2575	1948	2257	2516	2847	2408	1347	2195	2189	2588	2772	2467	2218	1453	1973	1829	2042	1059	1295	1232	1056	2085	1516	1245	2625	1322	2058	2000	2350	1495	2841	1312	1240	1771	1688	1733	116	32	61	190									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76170	2000	2300	2400	1500	1800	2500	2200	2500	2400	2600	2300	1300	2100	2100	2400	2600	2300	1800	1400	1800	1700	1900	1200	1200	1100	900	1900	1400	1200	2500	1210	1900	1900	2100	1400	2730	1200	1200	1600	1600	1600	120	40	80	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	55986	1171	1970	1514	1169	1071	2194	1914	2178	1193	1202	1596	1047	1574	1613	1730	2046	1795	1414	983	1079	1421	1488	1014	1046	859	643	1101	1003	996	1554	1113	917	996	1618	834	2671	802	971	1267	1222	1598	116	32	61	190									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3179	312	72	39	18	30	21	34	79	71	104	35	112	148	41	82	6	35	310	100	99	42	135	45	51	98	83	51	53	78	37	87	40	41	308	128	59	17	38	23	15	2	0	0	0	0									
6	Число погашенных избирательных бюллетеней	17005	517	258	847	313	699	285	252	243	1136	1294	669	141	378	446	588	548	470	76	317	622	237	277	141	103	143	174	748	344	126	909	10	943	863	174	438	0	381	191	310	363	0	4	8	19	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3179	312	72	39	18	30	21	34	79	71	104	35	112	148	41	82	6	35	310	100	99	42	135	45	51	98	83	51	53	78	37	87	40	41	308	128	59	17	38	23	15	2	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	55876	1171	1970	1506	1167	1071	2194	1914	2178	1193	1202	1596	1047	1574	1613	1730	2035	1783	1414	974	1079	1421	1478	1014	1046	859	643	1101	1003	996	1546	1113	906	996	1618	834	2663	801	971	1246	1213	1598	116	32	61	190									
9	Число недействительных избирательных бюллетеней	549	3	26	21	25	3	0	56	18	28	25	3	3	10	25	36	30	23	0	0	16	0	0	5	3	9	9	17	19	0	11	0	29	1	17	16	41	14	1	2	3	0	0	0	1	0									
10	Число действительных избирательных бюллетеней	58506	1480	2016	1524	1160	1098	2215	1892	2239	1236	1281	1628	1156	1712	1629	1776	2011	1795	1724	1074	1162	1463	1613	1054	1094	948	717	1135	1037	1074	1572	1200	917	1036	1909	946	2681	804	1008	1267	1225	1600	116	32	60	190									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2086	40	60	55	40	40	76	60	70	60	55	50	40	60	50	60	105	40	50	45	50	55	50	40	40	40	40	40	40	40	55	40	40	40	55	40	75	50	50	50	60	40	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1752	37	55	51	33	37	70	60	55	50	49	39	33	49	38	59	90	38	36	35	46	47	50	18	34	32	18	38	36	26	53	18	39	35	49	35	61	46	31	48	59	19	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1371	41	33	74	60	17	12	15	19	52	56	23	3	6	14	23	40	16	168	15	60	15	36	16	38	22	32	68	27	9	33	5	17	12	25	22	24	56	12	24	29	30	22	2	0	48									
14	Число погашенных неиспользованных открепительных удостоверений	334	3	5	4	7	3	6	0	15	10	6	11	7	11	12	1	15	2	14	10	4	8	0	22	6	8	22	2	4	14	2	22	1	5	6	5	14	4	19	2	1	21	0	0	0	0									
