Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																														
Дата голосования: 02.12.2007																																																																																														
																																																																																														
"Наименование Избирательной комиссии:    Казань, Приволжская"																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351					
1	"Число избирателей, внесенных в списки избирателей"	170834	832	1930	820	1020	2532	2622	2539	916	1864	2438	2150	1160	1737	1099	1889	1220	2394	2225	1833	1832	1277	1638	2392	1997	1433	1381	2561	2010	1400	2737	2237	1682	1895	2633	2523	2610	2553	2669	2703	2233	1774	1949	2015	2469	2470	2568	2432	2579	1622	2624	2690	2550	2242	2658	2723	1706	2540	2702	2313	2740	2432	2360	2588	1907	2416	2747	2507	2483	2503	2207	1918	2359	2244	2616	1793	2489	2405	2034	960	1388	302	275	252	96	96	35	440					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	169310	800	1800	800	1050	2500	2600	2450	800	1850	2350	2250	1150	1750	1350	1700	1200	2300	2200	1700	1700	1200	1550	2100	2000	1350	1300	2450	1800	1500	2500	2200	1650	1800	2600	2600	2600	2600	2700	2700	2400	1800	2100	2100	2400	2400	2600	2400	2600	1600	2600	2650	2550	2500	2600	2700	1700	2600	2750	2300	2750	2400	2300	2600	1850	2400	2600	2600	2700	2500	2300	1850	2400	2150	2600	1750	2400	2400	2000	950	1400	300	325	250	100	100	35	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	120475	696	1328	605	685	2054	1842	1763	629	1644	1500	1213	913	1446	836	1444	917	1482	1441	970	1115	1123	857	1446	1304	837	998	1745	1147	1296	1754	1578	1068	1155	1825	2183	1921	2203	1928	1796	1639	1204	1287	1433	1629	1564	1799	1748	1760	1159	1784	2019	1784	1749	1974	2115	1139	1693	1806	1800	1918	1672	1542	1719	1348	1714	1655	1810	1692	1782	1508	1355	1901	1569	1775	1354	1806	1651	1775	650	1388	289	240	250	96	96	35	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5048	16	23	74	50	103	150	30	45	96	38	56	127	49	137	56	26	28	36	38	57	37	71	40	63	28	35	50	106	104	20	30	33	18	48	66	63	204	68	59	73	63	86	41	90	99	78	33	50	41	42	62	36	22	27	39	55	37	22	10	49	31	39	32	29	27	42	54	29	17	37	38	145	37	387	27	62	41	76	110	0	0	35	0	0	0	0	320					
6	Число погашенных избирательных бюллетеней	43787	88	449	121	315	343	608	657	126	110	812	981	110	255	377	200	257	790	723	692	528	40	622	614	633	485	267	655	547	100	726	592	549	627	727	351	616	193	704	845	688	533	727	626	681	737	723	619	790	400	774	569	730	729	599	546	506	870	922	490	783	697	719	849	473	659	903	736	979	701	755	457	354	544	438	369	532	708	149	190	12	11	50	0	4	4	0	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5048	16	23	74	50	103	150	30	45	96	38	56	127	49	137	56	26	28	36	38	57	37	71	40	63	28	35	50	106	104	20	30	33	18	48	66	63	204	68	59	73	63	86	41	90	99	78	33	50	41	42	62	36	22	27	39	55	37	22	10	49	31	39	32	29	27	42	54	29	17	37	38	145	37	387	27	62	41	76	110	0	0	35	0	0	0	0	320					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	120438	696	1328	605	685	2054	1842	1763	629	1644	1499	1208	913	1441	836	1444	915	1482	1441	970	1115	1123	857	1446	1304	834	998	1745	1147	1296	1754	1576	1068	1155	1825	2183	1921	2203	1928	1796	1639	1204	1287	1432	1629	1564	1799	1748	1760	1159	1784	2019	1783	1745	1974	2115	1139	1693	1803	1800	1917	1672	1542	1719	1348	1712	1655	1810	1692	1782	1508	1355	1901	1563	1775	1354	1806	1651	1775	650	1388	288	240	250	96	96	35	113					
9	Число недействительных избирательных бюллетеней	1235	9	10	2	13	15	7	15	8	14	18	18	1	26	6	24	20	20	28	27	9	11	6	23	1	27	12	13	7	8	34	29	16	13	17	10	10	0	25	15	4	20	7	18	8	18	20	8	20	18	22	8	28	28	17	19	3	16	13	20	1	7	17	5	15	20	4	23	18	36	7	15	12	37	66	16	11	9	4	5	10	6	0	3	2	0	2	2					
10	Число действительных избирательных бюллетеней	124251	703	1341	677	722	2142	1985	1778	666	1726	1519	1246	1039	1464	967	1476	921	1490	1449	981	1163	1149	922	1463	1366	835	1021	1782	1246	1392	1740	1577	1085	1160	1856	2239	1974	2407	1971	1840	1708	1247	1366	1455	1711	1645	1857	1773	1790	1182	1804	2073	1791	1739	1984	2135	1191	1714	1812	1790	1965	1696	1564	1746	1362	1719	1693	1841	1703	1763	1538	1378	2034	1563	2096	1365	1857	1683	1847	755	1378	282	275	247	94	96	33	431					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4396	50	49	31	50	50	60	40	50	50	50	50	50	50	65	50	50	63	42	45	50	50	35	65	50	100	42	50	50	100	50	50	50	50	50	150	50	150	55	53	50	50	50	50	56	44	50	50	100	50	50	50	58	50	50	50	43	75	55	55	65	50	45	55	50	50	50	50	50	50	50	50	56	41	53	50	50	50	100	50	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	4213	50	49	12	50	50	60	40	50	50	50	50	50	50	65	31	30	63	42	45	50	50	29	65	50	61	42	50	50	96	50	50	50	50	50	148	50	137	55	53	50	50	50	50	55	44	50	50	85	34	50	48	58	50	50	50	40	74	55	55	65	50	45	55	50	50	50	50	50	49	50	50	56	41	53	50	50	50	78	50	0	0	0	0	0	0	0	0					
