Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																													
Дата голосования: 04.12.2011																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Казань, Приволжская"																																																																																													
																																																																																													
Сводная таблица результатов выборов																																																																																													
																																																																																													
		Сумма	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348					
1	"Число избирателей, внесенных в список избирателей"	183209	766	2765	816	1680	2845	2972	2969	1085	2244	1773	1179	2908	2640	1282	2449	1499	2238	2168	1699	1735	1255	1403	1988	1813	1727	1525	2864	2288	2487	2905	2238	1630	1940	2620	2706	2664	3165	2728	2767	2543	1853	2128	2242	2471	2342	2680	2488	2192	1979	2668	2538	2625	2960	2560	2652	2479	2718	2799	2667	3038	2450	2806	2122	1820	2366	3033	2577	2516	2529	2274	1810	2621	2817	2748	2732	2491	2693	1050	1749	1649	328	263	33	209	45	431					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	172003	750	2300	800	1700	2800	2800	2800	1000	2000	1700	1100	2800	2500	1300	2000	1300	2000	2100	1700	1600	1200	1300	1900	1700	1500	1400	2800	2000	2000	2800	2200	1600	1900	2500	2500	2500	2900	2700	2700	2400	1800	2000	2100	2300	2200	2600	2400	2100	1900	2600	2400	2600	2500	2500	2600	1800	2500	2700	2500	2800	2400	2800	2000	1800	2300	2300	2500	2500	2500	2200	1700	2500	2600	2500	2500	2400	2500	1000	1600	1600	325	270	33	230	45	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	102356	378	1419	493	739	1499	1443	1529	645	1655	1038	671	1251	1351	645	1415	815	1243	1124	872	848	605	718	1263	945	914	850	1421	1943	1543	1382	1280	946	955	1368	1488	1465	1741	1356	1336	1530	958	1088	1159	1417	1290	1643	1484	1221	1278	1403	1305	1415	1865	1446	1419	1590	1492	1550	1389	1767	1251	1421	1327	893	1219	2015	1409	1290	1372	1155	1104	1383	1869	1454	1610	1486	1377	677	854	1594	325	252	33	209	45	431					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3280	45	20	38	63	63	46	107	62	27	29	20	223	38	144	24	37	27	18	32	24	48	68	24	37	34	23	31	47	198	11	25	24	31	24	18	12	10	39	54	55	55	40	29	41	44	63	18	36	47	45	92	25	15	19	30	35	21	9	80	28	44	22	32	19	13	38	17	18	7	36	18	27	21	32	9	34	48	40	133	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	66367	327	861	269	898	1238	1311	1164	293	318	633	409	1326	1111	511	561	448	730	958	796	728	547	514	613	718	552	527	1348	10	259	1407	895	630	914	1108	994	1023	1149	1305	1310	815	787	872	912	842	866	894	898	843	575	1152	1003	1160	620	1035	1151	175	987	1141	1031	1005	1105	1357	641	888	1068	247	1074	1192	1121	1009	578	1090	710	1014	881	880	1075	283	613	6	0	18	0	21	0	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3280	45	20	38	63	63	46	107	62	27	29	20	223	38	144	24	37	27	18	32	24	48	68	24	37	34	23	31	47	198	11	25	24	31	24	18	12	10	39	54	55	55	40	29	41	44	63	18	36	47	45	92	25	15	19	30	35	21	9	80	28	44	22	32	19	13	38	17	18	7	36	18	27	21	32	9	34	48	40	133	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	102307	378	1419	493	739	1499	1434	1529	645	1653	1038	671	1251	1351	645	1415	815	1242	1124	872	848	605	717	1261	945	914	850	1421	1943	1543	1382	1278	943	953	1368	1488	1465	1741	1356	1336	1530	958	1088	1159	1417	1290	1643	1483	1214	1278	1403	1304	1414	1865	1441	1414	1587	1492	1549	1389	1767	1251	1421	1325	893	1219	2015	1409	1290	1372	1155	1104	1383	1869	1453	1610	1486	1377	677	854	1594	325	252	33	209	45	431					
9	Число недействительных избирательных бюллетеней	1057	4	44	9	19	16	0	10	10	7	15	7	5	2	3	4	9	12	10	6	9	10	2	73	0	25	17	7	3	29	10	26	0	7	7	3	3	2	8	13	26	6	0	0	20	7	10	26	36	25	3	17	22	0	5	16	21	35	20	6	4	11	10	11	3	2	63	10	12	14	4	15	2	38	12	22	7	23	4	5	14	12	2	0	5	3	2					
10	Число действительных избирательных бюллетеней	104530	419	1395	522	783	1546	1480	1626	697	1673	1052	684	1469	1387	786	1435	843	1257	1132	898	863	643	783	1212	982	923	856	1445	1987	1712	1383	1277	967	977	1385	1503	1474	1749	1387	1377	1559	1007	1128	1188	1438	1327	1696	1475	1214	1300	1445	1379	1417	1880	1455	1428	1601	1478	1538	1463	1791	1284	1433	1346	909	1230	1990	1416	1296	1365	1187	1107	1408	1852	1473	1597	1513	1402	713	982	1580	313	250	33	204	42	429					
