Выборы Президента Российской Федерации																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Томский район																																																																																												
																																																																																												
Итоги голосования 																																																																																												
																																																																																												
		Сумма	УИК №369	УИК №370	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755					
1	"Число избирателей, внесенных в список"	60734	126	1330	1290	64	193	310	410	237	108	627	978	123	697	375	1330	1201	1687	1540	1548	1715	411	1263	611	146	586	211	875	229	202	178	754	128	443	287	1370	769	508	2020	682	792	851	1157	1175	151	1507	880	676	390	282	285	303	1251	115	138	168	928	369	223	883	1199	1277	128	541	788	480	801	283	260	396	1248	780	578	809	2560	1183	170	433	621	214	1476	69	1040	1260	1630	424					
2	Число полученных избирательных бюллетеней	61081	126	1292	1272	72	195	313	376	236	110	684	1012	120	782	376	1308	1209	1640	1513	1527	1666	414	1270	600	141	605	207	887	232	216	181	757	133	438	286	1374	806	526	1989	706	791	892	1194	1186	150	1512	878	695	402	299	282	308	1274	120	148	167	933	371	222	912	1193	1262	140	560	792	481	819	287	265	432	1256	908	506	838	2523	1152	158	446	601	217	1494	79	1050	1320	1592	377					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	37436	99	741	796	61	130	192	309	141	90	481	457	104	367	213	892	887	1014	1092	856	930	313	836	380	110	337	132	475	123	134	104	574	101	321	207	810	588	309	1206	399	461	592	670	608	96	825	476	363	256	202	192	190	820	77	99	145	530	269	161	450	737	716	61	311	540	310	610	183	136	182	757	406	277	550	1628	675	154	293	479	179	910	63	541	818	927	200					
5	"Число избирательных бюллетеней, выданных вне помещения"	3514	16	24	67	0	7	18	25	54	14	43	255	0	101	45	47	44	69	23	14	18	13	34	8	0	52	10	83	50	20	26	55	4	37	26	45	25	11	51	45	16	118	59	92	16	67	48	50	29	10	8	27	56	18	20	17	34	44	11	79	39	80	12	111	72	33	19	30	26	87	40	60	68	24	3	55	0	43	8	20	102	0	78	39	17	150					
6	Число погашенных избирательных бюллетеней	20130	11	527	409	11	58	103	42	41	6	160	300	16	314	118	369	278	557	398	657	718	88	400	212	31	216	65	329	59	62	51	128	28	80	53	519	193	206	732	262	314	182	465	486	38	620	354	282	117	87	81	91	398	25	29	5	369	58	50	383	417	466	67	138	180	138	190	74	103	163	459	442	161	264	892	422	4	110	114	18	482	16	431	463	648	27					
7	Число избирательных бюллетеней в переносных ящиках	3514	16	24	67	0	7	18	25	54	14	43	255	0	101	45	47	44	69	23	14	18	13	34	8	0	52	10	83	50	20	26	55	4	37	26	45	25	11	51	45	16	118	59	92	16	67	48	50	29	10	8	27	56	18	20	17	34	44	11	79	39	80	12	111	72	33	19	30	26	87	40	60	68	24	3	55	0	43	8	20	102	0	78	39	17	150					
8	Число бюллетеней в стационарных ящиках для голосования	37427	99	741	796	61	130	192	308	141	90	481	457	104	367	213	892	887	1014	1092	856	930	313	836	380	110	337	132	475	123	134	104	574	101	321	207	810	587	309	1205	399	461	592	670	608	96	825	476	363	256	202	192	190	820	77	99	145	530	269	161	450	737	716	61	311	540	310	608	183	136	182	757	405	277	550	1628	675	154	293	479	179	910	63	539	818	926	200					
9	Число недействительных избирательных бюллетеней	428	2	2	2	0	1	2	2	1	2	13	16	0	2	5	7	10	29	21	13	6	1	6	8	0	6	0	5	1	0	1	2	0	2	1	10	4	5	12	4	8	4	1	5	2	8	15	10	3	1	0	3	13	1	5	6	8	0	2	3	6	8	0	5	2	5	11	1	4	3	6	4	0	7	9	8	6	3	4	1	6	0	7	12	7	1					
10	Число действительных избирательных бюллетеней	40513	113	763	861	61	136	208	331	194	102	511	696	104	466	253	932	921	1054	1094	857	942	325	864	380	110	383	142	553	172	154	129	627	105	356	232	845	608	315	1244	440	469	706	728	695	110	884	509	403	282	211	200	214	863	94	114	156	556	313	170	526	770	788	73	417	610	338	616	212	158	266	791	461	345	567	1622	722	148	333	483	198	1006	63	610	845	936	349					
